dataset,medsam_dice_mean,medsam_dice_std,samus_dice_mean,samus_dice_std,ultrasam_dice_mean,ultrasam_dice_std,samus_minus_medsam_dice_mean,samus_minus_medsam_dice_std,ultrasam_minus_medsam_dice_mean,ultrasam_minus_medsam_dice_std,medsam_assd_mean,medsam_assd_std,samus_assd_mean,samus_assd_std,ultrasam_assd_mean,ultrasam_assd_std,samus_minus_medsam_assd_mean,samus_minus_medsam_assd_std,ultrasam_minus_medsam_assd_mean,ultrasam_minus_medsam_assd_std
aulid,0.8148729217844037,0.11489751551080968,0.3664559602231759,0.2762299114799711,0.9208617387180714,0.044126783450861795,-0.44841696156122784,nan,0.10598881693366768,nan,9.167911087839808,4.714718646298119,82.36363715756501,50.03001702654578,4.4002138697266515,2.8122894286115248,73.1957260697252,nan,-4.767697218113157,nan
blusg,0.8825559730545642,0.07100188093919346,0.756825857161457,0.2227568102734447,0.9207519204765879,0.046671775646422844,-0.12573011589310723,nan,0.0381959474220237,nan,6.693325554836826,4.5851141496772705,22.212083829790217,33.3397966625288,4.6340074268750175,3.3456360607044546,15.518758274953392,nan,-2.0593181279618085,nan
busi,0.9268420179609541,0.06160840519139861,nan,nan,0.9242748416340955,0.04086039339293704,nan,nan,-0.0025671763268586556,nan,3.519989384281577,3.78626021792564,nan,nan,5.040520640820454,4.039988027896131,nan,nan,1.5205312565388773,nan
camus,0.8345703043527521,0.07649370126126594,0.3616679256646409,0.2818755797582987,0.9515991458872868,0.02247774694209993,-0.47290237868811125,nan,0.11702884153453463,nan,10.148724957357784,3.6058072921273094,67.75929238025114,74.9125169280412,3.119933001971381,1.1508389488756121,57.610567422893354,nan,-7.028791955386403,nan
oku,0.9366594900501739,0.029417459069814557,0.779693908769387,0.1733104818462981,0.9543059282966575,0.01771721755494699,-0.15696558128078686,nan,0.017646438246483598,nan,8.915287107959779,4.4071181900016,33.86672003147183,27.403384301669828,6.308772209406984,3.172657608627769,24.95143292351205,nan,-2.6065148985527955,nan
uns,0.9175908290015463,0.04318600181738132,0.24842545811906802,0.164126150907917,0.9219976415905488,0.03507972628465322,-0.6691653708824783,nan,0.00440681258900244,nan,3.2999958685895185,1.6675005110161432,85.37965692362398,36.371100546917816,3.1463350660067135,1.4328832368498978,82.07966105503446,nan,-0.153660802582805,nan
busbra,0.9205054910620194,0.04044496647707004,0.7757466211870755,0.1553931771763205,0.939277847360613,0.027821279498207417,-0.1447588698749439,nan,0.01877235629859364,nan,3.3313761060610387,1.8794071238558476,12.665104593314288,21.163340264325523,2.5545932360086843,1.455226242252304,9.33372848725325,nan,-0.7767828700523545,nan
mmotu,nan,nan,nan,nan,0.9433555827912007,0.03295284679383985,nan,nan,nan,nan,nan,nan,nan,nan,5.694167524758055,3.5025224127760186,nan,nan,nan,nan
gist514,nan,nan,nan,nan,0.924950089390517,0.040940115771642645,nan,nan,nan,nan,nan,nan,nan,nan,2.652837239717808,1.9128720159883874,nan,nan,nan,nan
tnsc2020,0.9307004746024768,0.04594968471177793,0.7620271638823294,0.20324205171117235,0.9364418795763134,0.03157612737559272,-0.16867331072014746,nan,0.0057414049738365724,nan,4.559478702364242,3.2118262690744666,20.121118010294396,25.872245942364465,4.192168234309968,2.812128077579224,15.561639307930154,nan,-0.36731046805427336,nan
ultrabones100k,0.35996056969452334,0.4208970362478779,nan,nan,0.9029244236246639,0.07665512121642377,nan,nan,0.5429638539301405,nan,34.28940075360928,27.02761985159125,nan,nan,17.967322146967806,15.251579081821282,nan,nan,-16.322078606641472,nan
umud,nan,nan,nan,nan,0.7522873236998237,0.12243244351056573,nan,nan,nan,nan,nan,nan,nan,nan,4.271588128455794,3.7933450706956977,nan,nan,nan,nan
roblus,0.6017633368964128,0.1071634558414832,0.036783027951676636,0.06900220810631989,0.5726537636404074,0.10613115194047104,-0.5649803089447362,nan,-0.029109573256005383,nan,3.435120526937615,1.494091089615393,82.02526615471585,126.47220795782493,4.367109117640661,1.570620255023925,78.59014562777824,nan,0.9319885907030461,nan
