experiment,dataset,jitter_value,n,dice_mean,dice_std,dice_delta_mean,dice_delta_std
scale,aulid,1.0,100,0.9098205547179186,0.045609100630269905,0.0,0.0
scale,aulid,0.85,100,0.894379790571314,0.04003658524108007,-0.01544076414660458,0.05570962788329675
scale,aulid,0.9,100,0.913791736091735,0.039309361953705005,0.003971181373816477,0.04185902609363633
scale,aulid,0.95,100,0.9191761408546906,0.038967761194001756,0.009355586136772022,0.019573290519082853
scale,aulid,1.05,100,0.8916947347315503,0.05224597516525211,-0.018125819986368242,0.0166396916316445
scale,aulid,1.1,100,0.8687975612565363,0.056211650513273974,-0.041022993461382204,0.025376985909623437
scale,aulid,1.15,100,0.843782884213876,0.0659244351211441,-0.06603767050404243,0.03538999605862476
scale,blusg,1.0,100,0.9152882423806168,0.056322259713017936,0.0,0.0
scale,blusg,0.85,100,0.8821591389279742,0.05073312879349833,-0.0331291034526426,0.03982484158402496
scale,blusg,0.9,100,0.9037435390577809,0.05011482667386053,-0.011544703322835762,0.030294368349465334
scale,blusg,0.95,100,0.9125596686992767,0.054721537730275646,-0.002728573681339965,0.02020987820375789
scale,blusg,1.05,100,0.910479815943748,0.06047148413450036,-0.004808426436868736,0.013254908858525654
scale,blusg,1.1,100,0.90109665497599,0.06572057604334504,-0.014191587404626737,0.024270832109926612
scale,blusg,1.15,100,0.8870220873856745,0.07188160769136402,-0.028266154994942304,0.036994471231087143
scale,busbra,1.0,100,0.9362192354260672,0.027106945889886744,0.0,0.0
scale,busbra,0.85,100,0.9048997455733737,0.03332619577816947,-0.03131948985269346,0.03148521164755409
scale,busbra,0.9,100,0.9277751561184145,0.029507573810100565,-0.008444079307652768,0.021566144074829062
scale,busbra,0.95,100,0.9362917192209997,0.028681662265322382,7.24837949324808e-05,0.014220884319717653
scale,busbra,1.05,100,0.9283357795914046,0.033689044876294996,-0.007883455834662725,0.014344021757288923
scale,busbra,1.1,100,0.9212555433189685,0.04103452204981565,-0.014963692107098798,0.023788075434869313
scale,busbra,1.15,100,0.9119158453401165,0.04817667663671274,-0.02430339008595078,0.031951113063110534
scale,busi,1.0,100,0.9387666246928938,0.02528957387385149,0.0,0.0
scale,busi,0.85,100,0.9143339581724057,0.03218967799704864,-0.024432666520488203,0.0361538725867963
scale,busi,0.9,100,0.9340083529028479,0.025308351072456308,-0.004758271790046022,0.025893574913018105
scale,busi,0.95,100,0.9404713327559948,0.0236182993714919,0.001704708063100866,0.014423660320584971
scale,busi,1.05,100,0.9329102097600677,0.028252128089428584,-0.0058564149328263,0.013460995938165654
scale,busi,1.1,100,0.9263782775016918,0.034802858416749835,-0.012388347191202085,0.02143262131794015
scale,busi,1.15,100,0.9121791918253505,0.04170359167062708,-0.026587432867543517,0.02759833740112756
scale,camus,1.0,100,0.9504953372854448,0.017429465163717957,0.0,0.0
scale,camus,0.85,100,0.90420112015834,0.025278419948583562,-0.04629421712710484,0.025977707719849405
scale,camus,0.9,100,0.9310458904576809,0.021075505169021118,-0.01944944682776385,0.020032256644076946
scale,camus,0.95,100,0.9445563463349279,0.016616180270967368,-0.005938990950516781,0.012371621438787204
scale,camus,1.05,100,0.9491775913677898,0.022097310294566803,-0.00131774591765499,0.01302278332759512
scale,camus,1.1,100,0.9243710712477764,0.11508596417710702,-0.026124266037668365,0.11561616329281563
scale,camus,1.15,100,0.847009734847702,0.2318320059833647,-0.10348560243774269,0.232820906682233
scale,gist514,1.0,100,0.9276152738001422,0.03421435203606511,0.0,0.0
scale,gist514,0.85,100,0.901660770055145,0.027285420498476747,-0.025954503744997116,0.03275626786373116
scale,gist514,0.9,100,0.9206162795034659,0.030011474075579418,-0.006998994296676253,0.02494098319484638
scale,gist514,0.95,100,0.9285907763248121,0.029899542154456702,0.00097550252467,0.014260580873594225
scale,gist514,1.05,100,0.9189484343446078,0.04180227068620285,-0.00866683945553436,0.013607203563757445
scale,gist514,1.1,100,0.9038056370101912,0.04741671613978802,-0.023809636789950885,0.022061031952973164
scale,gist514,1.15,100,0.8864730638758904,0.05264180536620086,-0.04114220992425173,0.02882828019847816
scale,mmotu,1.0,100,0.9505629283843767,0.024168535407407262,0.0,0.0
scale,mmotu,0.85,100,0.9054360122962944,0.03733528395180363,-0.045126916088082177,0.03368153317989742
scale,mmotu,0.9,100,0.934226196952433,0.029841743924335154,-0.016336731431943703,0.02159028523171622
scale,mmotu,0.95,100,0.9463865673509224,0.024241072837885333,-0.004176361033454288,0.013357285705207911
scale,mmotu,1.05,100,0.9492305406183238,0.027760535301920887,-0.0013323877660529648,0.013222556811228702
scale,mmotu,1.1,100,0.9444028524513085,0.03373450316162357,-0.006160075933068163,0.018350756097791177
scale,mmotu,1.15,100,0.9328148419989177,0.04106347706898203,-0.017748086385458894,0.029716901974417845
scale,oku,1.0,100,0.9575135157742397,0.018359061121724043,0.0,0.0
scale,oku,0.85,100,0.9231634417858463,0.022797820067954052,-0.03435007398839347,0.019622635246084572
scale,oku,0.9,100,0.9433356401949773,0.02002798253934551,-0.014177875579262375,0.014314520158434551
scale,oku,0.95,100,0.9541194289002022,0.01836489568909103,-0.0033940868740375565,0.01028333553635104
scale,oku,1.05,100,0.9581670621596758,0.020460787307870886,0.0006535463854361645,0.009065142936361728
scale,oku,1.1,100,0.9542320271842706,0.022562849743705423,-0.0032814885899690705,0.01727024138088652
scale,oku,1.15,100,0.9426042990631949,0.03177185532168625,-0.014909216711044872,0.028327922968620047
scale,uns,1.0,39,0.9259583907391007,0.024919651352302244,0.0,0.0
scale,uns,0.85,39,0.8647307651218247,0.02412713986512367,-0.061227625617276064,0.0231357411175494
scale,uns,0.9,39,0.8962730730517984,0.024580905645191595,-0.029685317687302256,0.01632950034078616
scale,uns,0.95,39,0.9179922010015212,0.026043547101221774,-0.00796618973757936,0.009403442198645497
scale,uns,1.05,39,0.9142927758253842,0.025453304537844054,-0.01166561491371645,0.009999388405333232
scale,uns,1.1,39,0.8904638732913799,0.0265751913830614,-0.03549451744772066,0.015021618804982338
scale,uns,1.15,39,0.8636075621110638,0.02733684480096605,-0.06235082862803687,0.019425923763662187
scale,tnsc2020,1.0,100,0.9462069895670296,0.023372085400086243,0.0,0.0
