dataset,scale,n,dice_mean,dice_std,dice_delta_mean,dice_delta_std
aulid,1.0,100,0.9098205547179186,0.045609100630269905,0.0,0.0
aulid,0.75,100,0.8223303424308991,0.047726410660911954,-0.08749021228701943,0.08036968363867568
aulid,1.25,100,0.7956987681561809,0.07964991484031878,-0.11412178656173767,0.050301413394918046
aulid,1.5,100,0.6532247376740109,0.07931633010019658,-0.25659581704390755,0.057347517727292026
aulid,2.0,100,0.42975733227361845,0.053448682171097724,-0.48006322244430016,0.04816290247567227
blusg,1.0,100,0.9152882423806168,0.056322259713017936,0.0,0.0
blusg,0.75,100,0.8102586140865397,0.053445422535091415,-0.10502962829407714,0.055166423956593096
blusg,1.25,100,0.8415143231828311,0.08625517496701325,-0.07377391919778555,0.059259167322232575
blusg,1.5,100,0.6958756730403916,0.10751347438479857,-0.21941256934022527,0.09442404047969764
blusg,2.0,100,0.5019592495318392,0.11478204127444247,-0.4133289928487775,0.10805815417630084
busbra,1.0,100,0.9362192354260672,0.027106945889886744,0.0,0.0
busbra,0.75,100,0.8207596048577507,0.0403059460779377,-0.11545963056831657,0.04506644821629174
busbra,1.25,100,0.8782748623010375,0.06369461880190284,-0.05794437312502986,0.04778355603294047
busbra,1.5,100,0.7477153914089704,0.09904100728020604,-0.18850384401709694,0.09280608389413449
busbra,2.0,100,0.5430610362684151,0.1433958372984536,-0.39315819915765227,0.1394785527402986
busi,1.0,100,0.9387666246928938,0.02528957387385149,0.0,0.0
busi,0.75,100,0.8264531727831366,0.047877259392383936,-0.11231345190975729,0.05835132420476922
busi,1.25,100,0.8782879850206711,0.05538353982174028,-0.06047863967222288,0.042951924114982665
busi,1.5,100,0.712168223154878,0.07438737547265667,-0.22659840153801586,0.07310965394851025
busi,2.0,100,0.4892239277437608,0.09474545426072879,-0.44954269694913307,0.08840317972614599
camus,1.0,100,0.9504953372854448,0.017429465163717957,0.0,0.0
camus,0.75,100,0.8146489775587621,0.03533695837049312,-0.13584635972668274,0.037349642571272525
camus,1.25,100,0.5886303782851546,0.37915144079174024,-0.3618649590002901,0.3825597350986963
camus,1.5,100,0.428692624016258,0.3583905468998307,-0.5218027132691867,0.36299194852412575
camus,2.0,100,0.2631300170360589,0.29650148329092657,-0.6873653202493858,0.30044796636141585
gist514,1.0,100,0.9276152738001422,0.03421435203606511,0.0,0.0
gist514,0.75,100,0.823212003916415,0.035220479286538736,-0.10440326988372714,0.052201366028077546
gist514,1.25,100,0.8437209223393368,0.06485134022447218,-0.0838943514608052,0.0440456781070704
gist514,1.5,100,0.7187328173996944,0.08665103135182244,-0.20888245640044772,0.07037769884957523
gist514,2.0,100,0.5251521704194779,0.09181642324234819,-0.4024631033806642,0.07869245304597816
mmotu,1.0,100,0.9505629283843767,0.024168535407407262,0.0,0.0
mmotu,0.75,100,0.8050159150540614,0.046218116764419274,-0.14554701333031528,0.04909659304114799
mmotu,1.25,100,0.8969469054469663,0.054632776044676756,-0.05361602293741043,0.045110362615246744
mmotu,1.5,100,0.7781737339479754,0.09854318892771458,-0.17238919443640124,0.08945721733650079
mmotu,2.0,100,0.5945759582266719,0.14104903254755033,-0.3559869701577048,0.13785412379333759
oku,1.0,100,0.9575135157742397,0.018359061121724043,0.0,0.0
oku,0.75,100,0.8283192472729833,0.03340721512535246,-0.12919426850125648,0.03480947284455334
oku,1.25,100,0.9030653762991713,0.05505008449696377,-0.054448139475068394,0.05236039118704153
oku,1.5,100,0.7314485136273635,0.08641105788494731,-0.22606500214687628,0.08304992334063732
oku,2.0,100,0.5152517331523481,0.0864333266019627,-0.44226178262189175,0.08667117447513852
uns,1.0,39,0.9259583907391007,0.024919651352302244,0.0,0.0
uns,0.75,39,0.7816889371951576,0.024716899907200725,-0.144269453543943,0.03254077784174765
uns,1.25,39,0.8114467260787926,0.030050282112786677,-0.11451166466030799,0.025809611912563524
uns,1.5,39,0.6885985574652074,0.032462839413616995,-0.2373598332738933,0.03311798260588399
uns,2.0,39,0.5519849474309552,0.05386683990832594,-0.3739734433081454,0.053927180843894265
tnsc2020,1.0,100,0.9462069895670296,0.023372085400086243,0.0,0.0
tnsc2020,0.75,100,0.7878758244009378,0.05098238726194657,-0.15833116516609175,0.05893937765740516
tnsc2020,1.25,100,0.8868348739639383,0.04924674342897271,-0.05937211560309137,0.04141838232698078
tnsc2020,1.5,100,0.770678218937148,0.08771529400351405,-0.17552877062988156,0.08126354552221825
tnsc2020,2.0,100,0.6109193855061194,0.14377492965586336,-0.33528760406091024,0.13793036227923205
