dataset,jitter_value,n,dice_mean,dice_std,dice_delta_mean,dice_delta_std
aulid,0.0,100,0.9098205547179186,0.045609100630269905,0.0,0.0
aulid,0.025,100,0.9063408187203953,0.04432619953951715,-0.0034797359975232245,0.011407280159577943
aulid,0.05,100,0.8925000843687526,0.04809817933583949,-0.01732047034916595,0.02879323263450758
aulid,0.075,100,0.8751853421913391,0.04644379183426247,-0.034635212526579355,0.032491097926506084
aulid,0.1,100,0.8524359911413829,0.04916462098644315,-0.057384563576535624,0.0385280192364143
aulid,0.15,100,0.7973149016118205,0.053900025356548,-0.11250565310609803,0.05457212898597405
blusg,0.0,100,0.9152882423806168,0.056322259713017936,0.0,0.0
blusg,0.025,100,0.9134207749929414,0.05715982552123144,-0.00186746738767542,0.010283444478803567
blusg,0.05,100,0.9058308314278909,0.06002408509766944,-0.00945741095272585,0.023324378436756405
blusg,0.075,100,0.8914996937537439,0.06341407540942241,-0.02378854862687281,0.033038189829144624
blusg,0.1,100,0.8659024700593696,0.0702380313729612,-0.04938577232124716,0.04422487298146794
blusg,0.15,100,0.800633517618603,0.08575071010547405,-0.11465472476201373,0.07187389948025673
busbra,0.0,100,0.9362192354260672,0.027106945889886744,0.0,0.0
busbra,0.025,100,0.9328795704599513,0.027863210546859106,-0.0033396649661159594,0.00932505189986195
busbra,0.05,100,0.9269415147630714,0.028659386447448122,-0.009277720662995894,0.013791252399913245
busbra,0.075,100,0.9141752638675423,0.03157819037759644,-0.022043971558524937,0.021122007392711948
busbra,0.1,100,0.8960606637676439,0.040335569139430434,-0.04015857165842334,0.032213248537574006
busbra,0.15,100,0.8368030360225213,0.0615914420985374,-0.09941619940354597,0.05729271813790394
busi,0.0,100,0.9387666246928938,0.02528957387385149,0.0,0.0
busi,0.025,100,0.936286647545393,0.02589044244770209,-0.0024799771475008414,0.009262210249825027
busi,0.05,100,0.9307671360206917,0.028464633172778142,-0.007999488672202053,0.013915513626305134
busi,0.075,100,0.9212116198054444,0.03250647640174126,-0.01755500488744939,0.020006467334748326
busi,0.1,100,0.9039465591425937,0.03676215243153961,-0.03482006555030017,0.025755082782558194
busi,0.15,100,0.8493705642369944,0.052184530859804,-0.08939606045589947,0.04871168632026316
camus,0.0,100,0.9504953372854448,0.017429465163717957,0.0,0.0
camus,0.025,100,0.9480256381513728,0.0183700095387989,-0.002469699134071994,0.008995139302655962
camus,0.05,100,0.9430256873078445,0.01995820528821444,-0.007469649977600151,0.015754004251172127
camus,0.075,100,0.9300775868145774,0.0283006874127444,-0.020417750470867274,0.024061501300132074
camus,0.1,100,0.8971575553514315,0.10898780895056136,-0.053337781934013284,0.10727325322454022
camus,0.15,100,0.8067803734647279,0.20968144709293848,-0.1437149638207169,0.2073866061262746
gist514,0.0,100,0.9276152738001422,0.03421435203606511,0.0,0.0
gist514,0.025,100,0.9242055342307245,0.03414953318128003,-0.0034097395694176525,0.011160240423352438
gist514,0.05,100,0.91637346334277,0.035679189187893874,-0.011241810457372102,0.017468089846596965
gist514,0.075,100,0.9026161943249901,0.03928238325578758,-0.024999079475152057,0.024543105215005283
gist514,0.1,100,0.8809400840774455,0.04392854931485647,-0.04667518972269659,0.033054255241550944
gist514,0.15,100,0.8163425214062668,0.06443989743316131,-0.1112727523938753,0.05960013155136182
mmotu,0.0,100,0.9505629283843767,0.024168535407407262,0.0,0.0
mmotu,0.025,100,0.9493778110954956,0.024990055987195878,-0.0011851172888810246,0.00832447770727066
mmotu,0.05,100,0.9454075477076946,0.028514298831650933,-0.005155380676681979,0.014694246491047358
mmotu,0.075,100,0.9309032847115372,0.03438231426553329,-0.019659643672839483,0.025359238683961692
mmotu,0.1,100,0.9063338662339495,0.03883656060190831,-0.044229062150427094,0.03144188644326843
mmotu,0.15,100,0.8341089973652313,0.06932226097596973,-0.11645393101914545,0.06817643341703113
oku,0.0,100,0.9575135157742397,0.018359061121724043,0.0,0.0
oku,0.025,100,0.9569994174084566,0.016881165574099067,-0.0005140983657830722,0.007219334049495392
oku,0.05,100,0.9527067135379444,0.018455207116222627,-0.004806802236295343,0.015541627543207998
oku,0.075,100,0.9400351393627239,0.026340129460848193,-0.01747837641151589,0.024379939025899303
