Model,Prompt,busbra_dice_mean,busbra_assd_mean,gist514_dice_mean,gist514_assd_mean,mmotu_dice_mean,mmotu_assd_mean,tnsc2020_dice_mean,tnsc2020_assd_mean,ultrabones100k_dice_mean,ultrabones100k_assd_mean,umud_dice_mean,umud_assd_mean,roblus_dice_mean,roblus_assd_mean,avg_dice_mean,avg_assd_mean
Medical SAM3,Text (object),59.99,38.33,3.90,58.05,26.34,101.36,18.55,115.44,17.16,178.11,0.38,476.20,1.23,78.74,18.22,149.46
Medical SAM3,Text (label),81.58,10.42,44.10,91.71,35.56,383.37,18.56,111.93,2.10,1033.64,0.37,102.15,0.68,87.80,26.14,260.15
MedSAM-3,Text (object),73.37,38.40,23.29,103.41,62.03,69.14,20.23,143.94,21.20,178.43,2.86,665.85,1.23,347.22,29.17,220.92
MedSAM-3,Text (label),77.88,15.46,23.46,92.53,66.91,55.43,72.73,47.68,18.48,223.00,8.70,604.08,5.34,427.19,39.07,209.34
SAMUS,Bbox,77.57,12.67,19.83,70.40,72.84,29.88,76.20,20.12,23.12,192.71,10.49,180.65,3.68,82.03,40.53,84.06
MedSAM-3,Text + Bbox,88.36,6.06,65.53,54.13,82.75,27.74,82.41,21.35,30.24,69.36,11.35,53.08,66.79,18.60,61.06,35.76
UltraSam,Point,90.78,4.02,86.92,5.04,88.02,11.75,88.74,7.77,69.60,33.29,72.94,5.21,1.45,180.13,71.21,35.32
MedSAM,Bbox,92.05,3.33,83.84,5.26,90.31,9.14,93.07,4.56,36.00,34.29,53.69,10.61,60.18,3.44,72.73,10.09
UltraSam,Point + Bbox,92.59,3.10,89.41,3.75,92.36,7.49,91.87,5.20,83.06,33.04,73.67,4.84,2.12,180.01,75.01,33.92
UltraSam,Bbox,93.93,2.55,92.50,2.65,94.34,5.69,93.64,4.19,90.29,17.97,75.23,4.27,57.27,4.37,85.31,5.96
