sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
specimen01_fibula_record01_24363,,,,,,,811,950,[],0.0,0.0,0.0,0.0,1.0,0.5,1247.6782437792206,1247.6782437792206,-1.0,478.24386903084815,bone surface,0.0
specimen01_fibula_record01_24502,,,,,,,811,950,[],0.0,0.0,0.0,0.0,1.0,0.5,1247.6782437792206,1247.6782437792206,-1.0,106.01453389972448,bone surface,0.0
specimen01_fibula_record01_24643,,,,,,,811,950,[],0.0,0.0,0.0,0.0,1.0,0.5,1247.6782437792206,1247.6782437792206,-1.0,102.58782794699073,bone surface,0.0
specimen01_fibula_record01_24797,,,,,,,811,950,[],0.0,0.0,0.0,0.0,1.0,0.5,1247.6782437792206,1247.6782437792206,-1.0,100.58622900396585,bone surface,0.0
specimen01_fibula_record01_24939,,,,,,,811,950,[],0.0,0.0,0.0,0.0,1.0,0.5,1247.6782437792206,1247.6782437792206,-1.0,102.7414109557867,bone surface,0.0
specimen01_fibula_record01_25083,,,,,,,811,950,[],0.0,0.0,0.0,0.0,0.9923144561684698,0.4961572280842349,349.62670005814067,218.3479809825035,-0.893148671128477,104.12333812564611,bone surface,0.29296875
specimen01_fibula_record01_25228,,,,,,,811,950,[],0.0,0.0,0.0,0.0,1.0,0.5,1247.6782437792206,1247.6782437792206,-1.0,102.50181681476533,bone surface,0.0
specimen01_fibula_record01_25374,,,,,,,811,950,[],0.07663413606683984,0.03984376425924912,0.19247046376300475,0.047841332456717074,0.9873637592781657,0.5176025458674414,248.91464384058276,93.80961551219191,-0.7514354591277668,102.00213710777462,bone surface,0.2177734375
specimen01_fibula_record01_25513,,,,,,,811,950,[],0.0,0.0,0.0,0.0,0.9855384250931739,0.49276921254658695,335.4653366858441,219.54854247512745,-0.7634495809678291,103.00603718496859,bone surface,0.7421875
specimen01_fibula_record01_25655,,,,,,,811,950,[],0.0,0.0,0.0,0.0,1.0,0.5,1247.6782437792206,1247.6782437792206,-1.0,102.39518387243152,bone surface,0.0
