sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
aponeurosis/image_0000,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9331308215938041,0.46656541079690206,247.11535022712206,103.73649627128574,2.6710143239781066,978.2922561280429,muscle aponeurosis,0.453125
aponeurosis/image_0001,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9583086836765202,0.4791543418382601,391.86732443014955,159.42511197514403,1.343224883804076,109.98978419229388,muscle aponeurosis,0.443359375
aponeurosis/image_0002,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.8949885383714927,0.44749426918574636,130.0,62.275989309442544,4.315517797612647,108.41487301513553,muscle aponeurosis,0.6328125
aponeurosis/image_0003,,,aponeurosis,aponeurosis,,,800,1200,[],0.0002870744719025861,0.0001435578418471109,0.00016970885503092472,0.0009307616733026527,0.8872643811107296,0.4440975713920161,137.3644786689776,61.688465035928104,4.484461450954031,118.84582135826349,muscle aponeurosis,0.5390625
aponeurosis/image_0004,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9927963473118245,0.49639817365591227,673.6423316388206,303.61275030621437,-0.664834892816476,108.844721224159,muscle aponeurosis,0.421875
aponeurosis/image_0005,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9593127480008863,0.47965637400044314,157.0,80.04608725967809,1.297240677560304,108.87905210256577,muscle aponeurosis,0.57421875
aponeurosis/image_0006,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.951941881728343,0.4759709408641715,218.1020370761533,96.546114073875,1.9129709261279764,108.52291528135538,muscle aponeurosis,0.466796875
aponeurosis/image_0007,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9994080674675789,0.49970403373378947,315.41147727433975,168.76628864273695,-0.9677922077922078,106.13782797008753,muscle aponeurosis,0.4609375
aponeurosis/image_0008,,,aponeurosis,aponeurosis,,,800,1200,[],0.0004857168877690416,0.0002429174384356117,0.00030476190476190474,0.0011956359288596622,0.9162424315930918,0.4587190337609757,155.0,84.06250000962577,2.923180391570767,107.72672900930047,muscle aponeurosis,0.451171875
aponeurosis/image_0009,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9959494776288653,0.49797473881443266,727.9534217423777,362.4854024727378,-0.7672067243269582,106.74598906189203,muscle aponeurosis,0.427734375
aponeurosis/image_0010,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9438659070545873,0.47193295352729364,144.02777493174642,73.46170835118578,2.9203069657615113,106.70631797984242,muscle aponeurosis,0.51171875
aponeurosis/image_0011,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9954295558225843,0.49771477791129215,415.5795874950874,244.20779294877372,-0.7808261091279959,106.646538246423,muscle aponeurosis,0.412109375
aponeurosis/image_0012,,,aponeurosis,aponeurosis,,,800,1200,[],0.0002864016496735021,0.00014322133424994986,0.00024703557312252963,0.0003406922867266285,0.9785946405676784,0.4894676664272025,263.8879484230012,105.91440784906997,0.3791223766693922,105.58273596689105,muscle aponeurosis,0.5078125
aponeurosis/image_0013,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9781364798293579,0.48906823991467896,183.0002732220041,108.35965061782258,0.39020452099031216,108.8248211890459,muscle aponeurosis,0.46875
aponeurosis/image_0014,,,aponeurosis,aponeurosis,,,800,1200,[],0.10545713577799802,0.05566363145935165,0.06968177632252123,0.21672713385526066,0.9518579587393267,0.5842925462972937,311.9707518210841,99.7477670398929,2.110241232257654,106.91447323188186,muscle aponeurosis,0.4453125
aponeurosis/image_0015,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9663571833851394,0.4831785916925697,223.74314488668742,145.69797708217826,0.30432080864990263,107.05427499487996,muscle aponeurosis,0.51953125
aponeurosis/image_0016,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9965765257442094,0.4982882628721047,412.81301134560647,231.59554987314758,-0.7616420216287795,107.26970992982388,muscle aponeurosis,0.44921875
aponeurosis/image_0017,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.8897574052587801,0.44487870262939005,260.01826858718135,113.52812404093379,5.404555247768545,105.33922212198377,muscle aponeurosis,0.5859375
aponeurosis/image_0018,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.8761963314614575,0.43809816573072874,265.6689669494727,119.41865289472801,7.774932614555256,106.99976468458772,muscle aponeurosis,0.65234375
aponeurosis/image_0019,,,aponeurosis,aponeurosis,,,800,1200,[],4.6180844185831714e-05,2.3090955272819636e-05,2.759686499613644e-05,0.0001414027149321267,0.9233815718248867,0.4617614872699094,297.25602107931337,103.11878032680588,4.123868778280543,107.45315393432975,muscle aponeurosis,0.65234375
