sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
case001,,,,,,,537,485,[],0.3419381443298969,0.20622761639474732,0.8750527648796961,0.21248462484624847,0.9975428853664712,0.6050137551063598,111.36512834134507,34.44213889509335,-0.7571750717507175,1791.5003071539104,object,0.515625
case002,,,,,,,572,761,[],0.961339252682205,0.9255565449688334,0.9592985694508537,0.9633886365742886,0.9989611380838298,0.9811748873290592,5.385164807134504,2.0617500201765977,0.0042636018166651215,110.26663891971111,object,0.8046875
case003,,,,,,,532,545,[],0.6826829426660607,0.51823738170347,0.5371411055481762,0.9364089775561097,0.9840675843925635,0.9602382809743366,107.31051392207617,22.200455581022066,0.7433202707516922,106.98911594226956,object,0.69921875
case004,,,,,,,537,485,[],0.7965004374453193,0.6618202965978482,0.6627839254513687,0.997807978956598,0.9955144791682806,0.9966612290624393,14.0,5.738689448449542,0.505480052608505,104.54810899682343,object,0.65625
case005,,,,,,,538,831,[],0.5376446682569131,0.36765665401996084,0.9986543700154256,0.367838880090908,0.9998874730003815,0.6838631765456448,96.74709297958259,38.20672771695775,-0.6316654779318431,110.4390318505466,object,0.52734375
case006,,,,,,,537,485,[],0.7274644730944659,0.5716653544938466,0.9583883292810004,0.5862156879408515,0.9974716243652679,0.7918436561530597,35.84689665786984,15.307516529586577,-0.38833177530381574,107.24757006391883,object,0.5
case007,,,,,,,537,485,[],0.6972314121539265,0.535192066080355,0.9999500549395665,0.535206372968349,0.9999955164389764,0.7676009447036627,76.00460506384762,23.183696950657282,-0.46476689478186484,106.31982190534472,object,0.52734375
case008,,,,,,,569,794,[],0.0,0.0,0.0,0.0,0.9915198718881933,0.4957599359440967,283.0208472216335,211.00810737250077,-0.6936729663105998,110.47926312312484,object,0.263671875
case009,,,,,,,338,476,[],0.7147821133580177,0.5561563691162131,0.8831644144144144,0.6003253277198354,0.994482740283308,0.7974040340015717,17.69180601295413,6.4104347249612506,-0.3202564347909291,106.430304935202,object,0.5078125
case010,,,,,,,469,433,[],0.8495284243315739,0.7384175691937425,0.9841619887730554,0.7472979144466433,0.9995979807437865,0.8734479475952148,15.0,5.823939199806217,-0.24067590196376923,106.03032680228353,object,0.54296875
case011,,,,,,,542,789,[],0.8887562449406782,0.7997851424534966,0.9520531147081494,0.8333512228781722,0.9924480510342887,0.9128996369562304,40.503084891652286,14.391052690327053,-0.12467990492984743,109.20392908155918,object,0.72265625
case012,,,,,,,469,433,[],0.916296484325422,0.8455232183638812,0.9609983361064892,0.8755684919046752,0.9968593570793093,0.9362139244919923,11.180339887498949,4.651353632610397,-0.08889697410708872,104.6487099956721,object,0.8359375
case013,,,,,,,538,831,[],0.8373347224562963,0.7201855414700998,0.9926620168555652,0.7240401685169975,0.9995065190784121,0.8617733437977049,24.758836806279895,13.708481743268319,-0.27060756206777775,109.24502997659147,object,0.73046875
case014,,,,,,,532,545,[],0.9631008946534823,0.9288279734136977,0.9882285764483683,0.9392193696514297,0.9977853985043177,0.9685023840778737,8.06225774829855,3.922696400253037,-0.0495929868503444,106.82608210481703,object,0.9140625
case015,,,,,,,541,437,[],0.47510094212651416,0.3115622241835834,1.0,0.3115622241835834,1.0,0.6557811120917917,96.49739029060675,26.684238343383786,-0.6884377758164166,107.8930830117315,object,0.6484375
case016,,,,,,,526,623,[],0.8262733348697857,0.7039742381401194,0.7186497754971135,0.9718096064187358,0.9889818667085328,0.9803957365636343,29.055971844896405,9.361716072604738,0.3522714951751057,109.45001291111112,object,0.6328125
case017,,,,,,,579,930,[],0.7643263757115749,0.6185503685503686,0.6678984271366306,0.8932961601824864,0.9933940091861909,0.9433450846843386,34.741887653992606,11.138503621931125,0.3374730705867444,114.15482289157808,object,0.55078125
case018,,,,,,,537,485,[],0.9608484425110342,0.9246470696082626,0.9908316961362148,0.9326265179066757,0.9994267510707471,0.9660266344887114,5.385164807134504,2.622528591459462,-0.05874375886087653,106.57987813465297,object,0.890625
case019,,,,,,,572,761,[],0.7659543378995434,0.6206855721982121,0.6240104755669306,0.991488556837526,0.9851266016509779,0.9883075792442519,74.50359193991429,23.095790070925283,0.5888972952525061,109.72352791577578,object,0.53515625
case020,,,,,,,609,761,[],0.862524355921195,0.7582794061667301,0.9984962406015038,0.7591463414634146,0.999986905310115,0.8795666233867648,10.0,4.6376086269879435,-0.23971036585365854,110.81611993722618,object,0.703125
case021,,,,,,,537,485,[],0.8247216777009284,0.7017245720040282,0.9880361573909962,0.7077382085951882,0.9994482860085332,0.8535932473018607,32.2490309931942,11.623849523815078,-0.2836919951755221,107.15577891096473,object,0.4453125
case022,,,,,,,538,831,[],0.4172621661543375,0.26363315340765775,0.9470822761870242,0.2675746249551994,0.9993170341506314,0.6334458295529154,231.18965401897273,73.85880981270432,-0.717474783677231,109.30075985379517,object,0.75
case023,,,,,,,532,545,[],0.0,0.0,0.0,0.0,0.9863272849344864,0.4931636424672432,187.52973053952994,122.30469792304228,-0.014865205341395817,107.8413319773972,object,0.34375
case024,,,,,,,469,433,[],0.8559164401201889,0.7481240620310156,0.9441287878787878,0.7827793771264067,0.9981886560749098,0.8904840166006582,16.0,5.64382607246725,-0.17089767076681497,105.38319405168295,object,0.640625
case025,,,,,,,609,761,[],0.9574411734745849,0.9183569781529684,0.961535313855471,0.95338175031444,0.9978578037474761,0.975619777030958,8.0,2.9704687731164734,-0.008479733841846878,109.34513085521758,object,0.7578125
case026,,,,,,,518,727,[],0.8840407872895423,0.7921801954951126,0.9839656878917848,0.802540229266455,0.9993212385301882,0.9009307338983216,15.357825100959012,7.534476161839751,-0.18438189548463485,108.87089092284441,object,0.78515625
case027,,,,,,,469,433,[],0.9209825908634757,0.853538212697129,0.9848824188129899,0.8648692944357945,0.9981866111456252,0.9315279527907099,16.30018078673678,5.820966225561653,-0.12185528148815865,104.86848512664437,object,0.7734375
case028,,,,,,,537,485,[],0.942583484338597,0.8914022718370544,0.9907488027862429,0.898884171027945,0.9996604319305843,0.9492723014792647,7.211102550927978,2.943222621847379,-0.0927224251999605,106.63057817146182,object,0.86328125
case029,,,,,,,483,930,[],0.8434498834498835,0.7292808771364077,1.0,0.7292808771364077,1.0,0.8646404385682038,20.988061301782107,7.892970067303443,-0.2707191228635924,111.46105197258294,object,0.71484375
case030,,,,,,,526,623,[],0.9179336558396682,0.8483155037521954,0.943024494142705,0.8941433860652979,0.9990023496065341,0.946572867835916,5.881666326391703,2.717458654862391,-0.05183439919219118,107.43353515863419,object,0.84765625
case031,,,,,,,537,485,[],0.8852922286448298,0.794192210186679,0.9997098926602843,0.7943752881512217,0.9999960953820083,0.897185691766615,9.0,3.7518978119678796,-0.2053941908713693,106.71860119327903,object,0.71875
