sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
aponeurosis/image_0000,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997571131894962,0.4998785565947481,839.9073682888883,517.9064099791876,-0.9866658902992896,426.3166137970984,object,0.6328125
aponeurosis/image_0001,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997731171372896,0.4998865585686448,918.5708352180292,580.9701598518373,-0.9872482421642236,106.21300898492336,object,0.65625
aponeurosis/image_0002,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997599325261685,0.49987996626308423,808.7605329012604,492.121646710887,-0.9878481557156683,106.76706023514271,object,0.65625
aponeurosis/image_0003,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997735634835504,0.4998867817417752,899.9062659078439,577.2347967416565,-0.9889859868659187,102.76085883378983,object,0.65234375
aponeurosis/image_0004,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997520751733612,0.4998760375866806,840.0468964064751,500.64779838387864,-0.9884647754839349,103.30703109502792,object,0.63671875
aponeurosis/image_0005,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997604137844763,0.49988020689223817,824.3504098111208,516.1758649942877,-0.986472735978931,106.04236600920558,object,0.640625
aponeurosis/image_0006,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.999767052547651,0.4998835262738255,883.1200078081431,542.409786207363,-0.9858802387523266,103.28282974660397,object,0.640625
aponeurosis/image_0007,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997581350942796,0.4998790675471398,850.8045582470933,512.8977224939147,-0.9868398268398269,103.15850796177983,object,0.640625
aponeurosis/image_0008,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.999767003182162,0.499883501591081,910.3881428901484,577.8327810509862,-0.9890898221491555,103.14202681183815,object,0.63671875
aponeurosis/image_0009,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997562479996439,0.49987812399982195,828.3073101210686,469.1069053783927,-0.9859909855037154,103.3556223846972,object,0.66796875
aponeurosis/image_0010,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997664953594915,0.49988324767974573,824.3209326469879,524.2370190063939,-0.9836924439197167,103.3221217803657,object,0.63671875
aponeurosis/image_0011,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997564840119525,0.49987824200597625,823.0725081671189,467.24940950900196,-0.9883222845486996,105.65410787239671,object,0.68359375
aponeurosis/image_0012,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997662177200621,0.49988310886003107,824.2406808555928,529.1414136969523,-0.984941400926683,104.67052785679698,object,0.66015625
aponeurosis/image_0013,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997608809737435,0.49988044048687175,809.4376939355459,482.9000713125059,-0.9847954790096879,103.16114779561758,object,0.64453125
aponeurosis/image_0014,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997564304995611,0.49987821524978054,804.3225375186728,477.2994567772456,-0.9853605753930367,102.66268812119961,object,0.61328125
aponeurosis/image_0015,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997574426116699,0.49987872130583494,843.6442823897577,499.7278419479156,-0.9905961307427814,105.88635224848986,object,0.640625
aponeurosis/image_0016,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997601454765234,0.4998800727382617,809.8675327777675,484.44313891262925,-0.9833002280585595,105.47269368544221,object,0.640625
aponeurosis/image_0017,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997584118759636,0.4998792059379818,781.6373603996477,441.9625833438782,-0.9859649122807017,104.03441498056054,object,0.62890625
aponeurosis/image_0018,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997559800727623,0.49987799003638117,772.3314681070842,437.31387995565643,-0.9827044025157232,104.07808609306812,object,0.6015625
aponeurosis/image_0019,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.9997557767778604,0.4998778883889302,777.3604031440362,452.44573481653134,-0.9836679864253394,103.47195388749242,object,0.625
aponeurosis/image_0020,,,aponeurosis,aponeurosis,,,800,1200,[],0.0,0.0,0.0,0.0,0.999767843210421,0.4998839216052105,872.0982584684912,521.4568106895096,-0.9868642034548945,103.33276214078069,object,0.640625
