sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
case001,,,,,,,537,485,[],0.007141071874888421,0.003583330347224711,0.011771630370806356,0.005125051250512505,0.965156288262712,0.4851406697566123,122.4363076135771,57.003374617280635,-0.5646268962689627,716.362148988992,breast tumor,0.419921875
case002,,,,,,,572,761,[],0.9618945703252222,0.9265865901756902,0.9657137518684604,0.9581054778014645,0.9991354595845023,0.9786204686929834,5.656854249492381,2.0264912515218256,-0.00787839466122903,105.12325796298683,breast tumor,0.85546875
case003,,,,,,,532,545,[],0.0,0.0,0.0,0.0,1.0,0.5,760.1953696254667,760.1953696254667,-1.0,101.80772398598492,breast tumor,0.0
case004,,,,,,,537,485,[],0.8151998566051264,0.6880484114977307,0.6895087932080048,0.9969311705392372,0.9960335290745418,0.9964823498068895,13.48117979030658,5.173509155890653,0.4458570802279702,101.03863710537553,breast tumor,0.73046875
case005,,,,,,,538,831,[],0.5280122383997581,0.35870694864048336,0.9990239633817986,0.35883270269943546,0.9999204077319771,0.6793765552157063,94.19129471453293,46.16449270774852,-0.6408167212678764,103.34779811091721,breast tumor,0.31640625
case006,,,,,,,537,485,[],0.42639831500117015,0.27096966091612135,1.0,0.27096966091612135,1.0,0.6354848304580607,139.747830091657,45.09699705681329,-0.7290303390838786,100.60782707296312,breast tumor,0.6796875
case007,,,,,,,537,485,[],0.5085718842197592,0.3409965782720274,1.0,0.3409965782720274,1.0,0.6704982891360137,131.18399487064562,48.85161949014646,-0.6590034217279727,100.50544491969049,breast tumor,0.68359375
case008,,,,,,,569,794,[],0.8336456744388756,0.7147447873850983,0.8876102088167054,0.7858668857847165,0.9972453231911487,0.8915561044879325,27.24126976055051,8.439844856984761,-0.11462612982744454,102.29184408672154,breast tumor,0.41015625
case009,,,,,,,338,476,[],0.8463845692399982,0.73368,0.817379679144385,0.8775236819443115,0.9863796805307204,0.9319516812375159,13.45362404707371,5.009420013129981,0.07358147545689407,98.93051884137094,breast tumor,0.74609375
case010,,,,,,,469,433,[],0.858270418668497,0.7517282837391043,0.9832907411047769,0.7614553204445121,0.9995674476357197,0.880511384040116,15.01157731058638,5.514606711513217,-0.22560511493377988,99.5977041311562,breast tumor,0.82421875
case011,,,,,,,542,789,[],0.8884481576055069,0.7992862984164746,0.9634382393003083,0.8242888905926551,0.9943712181622028,0.909330054377429,45.29512251477371,14.193057957361555,-0.14442996243195583,103.32018812187016,breast tumor,0.81640625
case012,,,,,,,469,433,[],0.9152671755725191,0.8437719915552427,0.9624724061810155,0.8724758959432418,0.996993343552035,0.9347346197476384,11.940939982143911,4.7183582128590595,-0.09350554848098963,99.63097493164241,breast tumor,0.9140625
case013,,,,,,,538,831,[],0.8481102995885024,0.7362773530187187,0.9932778489116517,0.7399644948464534,0.9995382777515837,0.8697513862990185,24.022904925070023,12.828846824344502,-0.25502768872048964,102.1125300321728,breast tumor,0.83984375
case014,,,,,,,532,545,[],0.9619449863859528,0.9266801602709736,0.9888046544428772,0.9365059486537257,0.9979010866421518,0.9672035176479388,8.06225774829855,4.041434478977994,-0.052890836986015446,101.18273901753128,breast tumor,0.93359375
case015,,,,,,,541,437,[],0.470210970464135,0.30736981465136803,1.0,0.30736981465136803,1.0,0.6536849073256841,96.3690268583687,27.02382617641216,-0.692630185348632,101.88733506947756,breast tumor,0.1669921875
case016,,,,,,,526,623,[],0.8497162207278104,0.7387013848577826,0.7585149863760218,0.9658462539303914,0.9910950624067824,0.9784706581685869,26.05760721560795,8.231941588890358,0.27333839314756586,101.6066090669483,breast tumor,0.78125
case017,,,,,,,579,930,[],0.7566705644732646,0.6085841313269493,0.6516524764258903,0.9020402990748955,0.992828589145066,0.9474344441099807,34.75627652327913,11.627258517084655,0.3842352046635407,105.39873386733234,breast tumor,0.73046875
case018,,,,,,,537,485,[],0.9598753656365255,0.922846487742251,0.9912009980957384,0.9304690870985638,0.9994513188820008,0.9649602029902823,5.830951894845301,2.6879422604699097,-0.06127103495037909,101.33337299339473,breast tumor,0.9453125
case019,,,,,,,572,761,[],0.9004220583460878,0.8188797030538215,0.8834986802584873,0.9180064308681672,0.9969862355727801,0.9574963332204737,15.312746955321874,5.391215744877234,0.03905806695668621,102.26282407529652,breast tumor,0.2431640625
case020,,,,,,,609,761,[],0.8573913043478261,0.7503805175038052,0.9979757085020243,0.7515243902439024,0.9999825404134867,0.8757534653286945,10.0,4.80141602380062,-0.24695121951219512,103.59520395286381,breast tumor,0.69921875
case021,,,,,,,537,485,[],0.9055827821378388,0.827456629297927,0.9840607775957099,0.838697390973148,0.9991254311542674,0.9189114110637078,21.825346145876356,5.777646844659676,-0.1477178950041262,101.2180601246655,breast tumor,0.3046875
case022,,,,,,,538,831,[],0.6918087596121698,0.5288284604375383,0.9968205029386261,0.5297219804413497,0.9999228155033247,0.7648223979723372,151.4065692521248,38.837180747171914,-0.46858839793149354,104.07282505184412,breast tumor,0.859375
case023,,,,,,,532,545,[],0.0,0.0,0.0,0.0,1.0,0.5,760.1953696254667,760.1953696254667,-1.0,102.19063190743327,breast tumor,0.0
case024,,,,,,,469,433,[],0.8575919971418363,0.750688016012009,0.9445931056193924,0.7852656372677309,0.9981988896564075,0.8917322634620692,16.289500691418244,5.673891610785397,-0.16867312221931433,98.97666005417705,breast tumor,0.796875
case025,,,,,,,609,761,[],0.9567737458671782,0.9171296658580483,0.9625888053878691,0.9510285227411044,0.9979238927807986,0.9744762077609515,8.0,3.0146952520941133,-0.012009575201850123,103.00861089490354,breast tumor,0.890625
case026,,,,,,,518,727,[],0.8800832961475532,0.7858471019497424,0.983903152853532,0.7960820192669932,0.9993240317872656,0.8977030255271294,16.278820596099706,7.783775184507679,-0.19089392390075885,102.36941603943706,breast tumor,0.875
case027,,,,,,,469,433,[],0.9111894273127753,0.8368668069266871,0.9852338763456225,0.8474965172498566,0.9982649674541476,0.9228807423520021,20.69242250247066,6.5351383148085755,-0.13980168810948126,100.70133907720447,breast tumor,0.90625
case028,,,,,,,537,485,[],0.9401620610845627,0.8870809645167614,0.9917808219178083,0.8936506369112274,0.9997003811152214,0.9466755090132244,7.810249675906654,3.06777757142842,-0.09894341858398341,101.92190599627793,breast tumor,0.890625
case029,,,,,,,483,930,[],0.8416678339636737,0.7266204450177363,1.0,0.7266204450177363,1.0,0.8633102225088681,20.518284528683193,7.9414676067130525,-0.2733795549822638,103.75319700688124,breast tumor,0.67578125
case030,,,,,,,526,623,[],0.9173475531091425,0.8473149030823006,0.9380826737027265,0.8975092561427129,0.9989060033068536,0.9482076297247832,6.024828759089462,2.7711521336568516,-0.0432514304947829,101.92581615410745,breast tumor,0.890625
case031,,,,,,,537,485,[],0.8848329048843188,0.7934532042415859,1.0,0.7934532042415859,1.0,0.8967266021207929,9.0,3.7646859867018034,-0.206546795758414,100.78054014593363,breast tumor,0.77734375
case032,,,,,,,537,485,[],0.9017764827521384,0.8211229031153714,0.9797794117647058,0.8352777294097162,0.9996113104726307,0.9174445199411735,11.0,3.4972869924745535,-0.14748389343548668,100.48667388036847,breast tumor,0.84375
case033,,,,,,,487,794,[],0.0,0.0,0.0,0.0,1.0,0.5,930.0779537221598,930.0779537221598,-1.0,100.607146974653,breast tumor,0.0
case034,,,,,,,469,433,[],0.8705424681218933,0.770761576731726,0.9259770114942528,0.8213703099510603,0.999197507788162,0.9102839088696111,8.246211251235321,3.0667463535227277,-0.11296900489396411,98.16967113874853,breast tumor,0.3984375
case035,,,,,,,532,545,[],0.0,0.0,0.0,0.0,1.0,0.5,760.1953696254667,760.1953696254667,-1.0,98.53329882025719,breast tumor,0.0
case036,,,,,,,537,485,[],0.5726608005948692,0.40120862709686383,0.9710010927124485,0.40607424071991,0.998512911804894,0.702293576262402,135.8933355475305,37.717894003472495,-0.5817983689538808,99.40568986348808,breast tumor,0.66796875
