sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
case001,,,,,,,537,485,[],0.0,0.0,0.0,0.0,0.9636205916167565,0.48181029580837825,274.2893921611187,143.75555163361176,-0.5507892578925789,1186.307290001423,breast tumor,0.63671875
case002,,,,,,,572,761,[],0.9522106486655639,0.9087806126802628,0.9196891191709845,0.9871165075539902,0.997809202761818,0.992462855157904,6.25201748332518,2.5348637052102307,0.0733154138474372,518.6169070002506,breast tumor,0.8671875
case003,,,,,,,532,545,[],0.6649276737016837,0.49804618117229127,0.49831171139150526,0.9989312433202707,0.9801425124680824,0.9895368778941765,79.072686343623,17.972525164745573,1.0046312789454934,527.3600710061146,breast tumor,0.81640625
case004,,,,,,,537,485,[],0.7681940700808625,0.6236323851203501,0.6238030095759234,0.9995615957913196,0.9946739282006787,0.9971177619959992,15.0,6.780294868217438,0.6023673827268742,515.5412629974307,breast tumor,0.80078125
case005,,,,,,,538,831,[],0.9534386331510049,0.9110202835230142,0.9697208366150346,0.9376941768112088,0.9933526733396092,0.965523425075409,16.0,6.661139912679028,-0.03302668004497044,525.1984150017961,breast tumor,0.875
case006,,,,,,,537,485,[],0.8888040712468194,0.799862605907946,0.8870735630237874,0.8905413444378346,0.9887383869892069,0.9396398657135208,17.253943051082224,6.504573926342089,0.003909237698648763,529.3617969946354,breast tumor,0.6171875
case007,,,,,,,537,485,[],0.772627955519207,0.6294977623073098,0.7109513647085253,0.8460222412318221,0.9423100203105315,0.8941661307711768,60.45771578492494,21.71078331583495,0.1899860992301112,521.2028449968784,breast tumor,0.60546875
case008,,,,,,,569,794,[],0.15491147006784536,0.08395882774987583,0.08395882774987583,1.0,0.6979591279662251,0.8489795639831126,323.8678736532387,157.67211163258017,10.910599835661463,506.2306090039783,breast tumor,0.65234375
case009,,,,,,,338,476,[],0.7438352190310414,0.5921478060046189,0.5988905109489051,0.9813414984212037,0.9543396903687258,0.9678405943949647,30.248112145221036,11.598988052771052,0.638599177112238,529.0652580006281,breast tumor,0.69140625
case010,,,,,,,469,433,[],0.829290758366595,0.7083661159192237,0.8363523765288744,0.8223473892525499,0.9946210841288904,0.9084842366907202,14.296790931331458,6.9606630662551146,-0.016745318922210383,535.506408996298,breast tumor,0.8203125
