sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
patient0001_2CH_ED_f000__lv,patient0001_2CH_ED_f000,patient0001_2CH_ED_f000__lv,1,LV,0,#1f77b4,549,389,[],0.9673663352447086,0.9367952723814699,0.9786064003405947,0.9563815401685101,0.9967355998267649,0.9765585699976375,7.0,2.646922570710599,-0.022710724316077804,924.9040689974208,left ventricle,0.90625
patient0001_2CH_ED_f000__la,patient0001_2CH_ED_f000,patient0001_2CH_ED_f000__la,3,LA,0,#2ca02c,549,389,[],0.9459976322739277,0.8975289441852428,0.916615194564546,0.9773261830840154,0.9953432676955828,0.9863347253897992,7.0,2.8732258312372485,0.06623388841847774,514.3782919985824,left atrium,0.86328125
patient0001_2CH_ES_f000__lv,patient0001_2CH_ES_f000,patient0001_2CH_ES_f000__lv,1,LV,0,#1f77b4,549,389,[],0.9431788765208388,0.8924678505817514,0.9006303299962922,0.9899470180681973,0.9919130552859349,0.9909300366770661,7.0,3.3293464842268485,0.0991713082461622,521.1659220003639,left ventricle,0.91015625
patient0001_2CH_ES_f000__la,patient0001_2CH_ES_f000,patient0001_2CH_ES_f000__la,3,LA,0,#2ca02c,549,389,[],0.9699036323202372,0.941565918249856,0.9745560719818853,0.9652954022310098,0.9978282761496913,0.9815618391903506,4.123105625617661,2.0084715403879003,-0.009502449389128254,518.4673159965314,left atrium,0.859375
patient0001_4CH_ED_f000__lv,patient0001_4CH_ED_f000,patient0001_4CH_ED_f000__lv,1,LV,0,#1f77b4,549,389,[],0.90513030650713,0.8267013982454564,0.9998189455388181,0.8268251781757202,0.999972247969939,0.9133987130728296,18.0,8.230380695788106,-0.17302509432832244,509.3315949998214,left ventricle,0.92578125
patient0001_4CH_ED_f000__la,patient0001_4CH_ED_f000,patient0001_4CH_ED_f000__la,3,LA,0,#2ca02c,549,389,[],0.8580191379733377,0.7513428346343909,0.8042778288868445,0.9194566170026293,0.9873708267582154,0.9534137218804224,17.282833771126143,8.030251685817413,0.1432077125328659,545.7224100027815,left atrium,0.83203125
patient0001_4CH_ES_f000__lv,patient0001_4CH_ES_f000,patient0001_4CH_ES_f000__lv,1,LV,0,#1f77b4,549,389,[],0.914382772915707,0.8422699549191196,0.9641209324915008,0.8695247481384144,0.9969738398439301,0.9332492939911723,12.062320276193434,5.210882860534828,-0.09811651335961455,533.9493840001523,left ventricle,0.921875
patient0001_4CH_ES_f000__la,patient0001_4CH_ES_f000,patient0001_4CH_ES_f000__la,3,LA,0,#2ca02c,549,389,[],0.9295062200394083,0.8682967032967033,0.9704022106232729,0.8919178236821311,0.9975388448910607,0.944728334286596,11.40175425099138,4.775319748332352,-0.08087820295744441,548.9605860057054,left atrium,0.8671875
patient0002_2CH_ED_f000__lv,patient0002_2CH_ED_f000,patient0002_2CH_ED_f000__lv,1,LV,0,#1f77b4,748,584,[],0.9627592708988058,0.9281926980760491,0.9718609225302963,0.9538265147269444,0.9978083288445668,0.9758174217857556,9.219544457292887,3.160012695704258,-0.018556572638395916,529.9078190000728,left ventricle,0.921875
patient0002_2CH_ED_f000__la,patient0002_2CH_ED_f000,patient0002_2CH_ED_f000__la,3,LA,0,#2ca02c,748,584,[],0.9621578966246996,0.9270754130089168,0.9477105709440362,0.9770525242223356,0.9982510251592395,0.9876517746907876,5.024754878398197,2.1766491231486516,0.030960880017483792,505.2163689979352,left atrium,0.89453125
