sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
AP/US_107,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,922.0100500024273,pleural line,0.0
AP/US_108,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,510.63752700429177,pleural line,0.0
AP/US_109,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,522.3518979983055,pleural line,0.0
AP/US_110,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,512.9073360003531,pleural line,0.0
AP/US_111,,,,,,,480,640,[],0.0,0.0,0.0,0.0,0.9760582351387227,0.48802911756936135,161.51685723149328,73.67127463890188,11.635111876075731,519.4473299998208,pleural line,0.53515625
AP/US_112,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,519.5591230003629,pleural line,0.0
AP/US_113,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,513.3087950016488,pleural line,0.0
AP/US_114,,,,,,,480,640,[],0.0,0.0,0.0,0.0,0.9820587612234588,0.4910293806117294,92.23336714431905,47.57372121203893,14.082191780821917,507.0454949964187,pleural line,0.53515625
AP/US_115,,,,,,,480,640,[],0.0010240655401945725,0.0005122950819672131,0.0005706676811869887,0.0049833887043189366,0.9828635542306212,0.49392347146747007,88.73443479692739,47.27908307917903,7.732558139534884,511.75375900493236,pleural line,0.5078125
AP/US_116,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,512.9609180003172,pleural line,0.0
AP/US_117,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,495.2510550065199,pleural line,0.0
AP/US_118,,,,,,,480,640,[],0.0,0.0,0.0,0.0,0.900597639422043,0.4502988197110215,303.3183146465112,155.49236715578402,92.57055214723927,491.63212600251427,pleural line,0.53515625
AP/US_119,,,,,,,480,640,[],0.0047377326565143825,0.0023744911804613297,0.0025197984161267097,0.03954802259887006,0.9819388227319241,0.5107434226653971,85.65044705228345,45.0328568279223,14.694915254237289,492.56208400038304,pleural line,0.52734375
AP/US_120,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,493.84008799825097,pleural line,0.0
AP/US_485,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,499.18006600637455,pleural line,0.0
AP/US_641,,,,,,,480,640,[],0.0,0.0,0.0,0.0,0.9827921113370963,0.49139605566854816,133.0,96.00178986099111,4.94250281848929,513.2870759989601,pleural line,0.5390625
AP/US_642,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,528.3546179998666,pleural line,0.0
AP/US_643,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,521.0805390015594,pleural line,0.0
AP/US_644,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,504.855270999542,pleural line,0.0
AP/US_767,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,519.62545299466,pleural line,0.0
AP/US_768,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,509.6307150015491,pleural line,0.0
AP/US_769,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,500.2790059952531,pleural line,0.0
AP/US_770,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,526.2756380034261,pleural line,0.0
AP/US_771,,,,,,,480,640,[],0.08979509843310567,0.04700809759175518,0.048761863204974366,0.5665399239543726,0.9715414916566312,0.7690407078055019,60.166435825965294,19.652518253618933,10.61850443599493,494.57955000252696,pleural line,0.50390625
AP/US_772,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,510.8402359983302,pleural line,0.0
AP/US_773,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,508.58782199793495,pleural line,0.0
AP/US_774,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,496.21853399730753,pleural line,0.0
AP/US_775,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,520.4635039990535,pleural line,0.0
AP/US_776,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,501.7659459990682,pleural line,0.0
AP/US_777,,,,,,,480,640,[],0.0,0.0,0.0,0.0,0.9486158785679792,0.4743079392839896,185.0,107.88530887727848,20.751381215469614,501.59945400082506,pleural line,0.51953125
AP/US_778,,,,,,,480,640,[],0.0,0.0,0.0,0.0,0.9486190639325275,0.47430953196626374,185.0,107.56493634305556,21.33758865248227,491.26122899906477,pleural line,0.51953125
AP/US_779,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,525.6068159942515,pleural line,0.0
AP/US_780,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,524.5984489956754,pleural line,0.0
AP/US_781,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,520.5174130023806,pleural line,0.0
AP/US_782,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,521.2785689946031,pleural line,0.0
AP/US_783,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,500.57886699505616,pleural line,0.0
AP/US_784,,,,,,,480,640,[],0.0,0.0,0.0,0.0,0.950466346954299,0.4752331734771495,184.6967785120918,105.9147120688024,16.183465458663647,500.38023299566703,pleural line,0.515625
AP/US_785,,,,,,,480,640,[],0.0,0.0,0.0,0.0,0.9531275513203185,0.47656377566015923,182.22156841027697,105.13985957322099,13.556795131845842,520.4497300001094,pleural line,0.5859375
AP/US_786,,,,,,,480,640,[],0.0,0.0,0.0,0.0,0.9942541306597629,0.49712706532988143,250.5575763955483,235.92182231142868,0.9708846584546472,502.46024900116026,pleural line,0.51171875
AP/US_787,,,,,,,480,640,[],0.0,0.0,0.0,0.0,1.0,0.5,798.6000250438263,798.6000250438263,-1.0,516.2681699948735,pleural line,0.0
