sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
case001,,,,,,,537,485,[],0.0,0.0,0.0,0.0,1.0,0.5,722.1855717196239,722.1855717196239,-1.0,579.686873825267,object,0.0
case002,,,,,,,572,761,[],0.9583920694829703,0.920108268575919,0.9407248705588288,0.9767355640003708,0.9984358178858571,0.987585690943114,6.082762530298219,2.141383223681861,0.038279729353971635,246.3388100732118,object,0.75390625
case003,,,,,,,532,545,[],0.7017900215818205,0.5405828280852728,0.5451676528599606,0.9846811542572141,0.9837791830504421,0.9842301686538282,95.00263150605448,19.502853752331667,0.8061987887424297,226.16327786818147,object,0.80078125
case004,,,,,,,537,485,[],0.8648751667619592,0.761920752182673,0.7650033715441672,0.9947391494958352,0.9973001657860895,0.9960196576409623,10.80044035214893,3.6301924713676437,0.30030688294607627,223.9738421048969,object,0.734375
case005,,,,,,,538,831,[],0.4738768473360561,0.31051022750613166,0.9982133146896606,0.31068289793401915,0.9998737501955499,0.6552783240647846,228.9842782766978,63.32775267448839,-0.688761015945165,263.32615688443184,object,0.77734375
case006,,,,,,,537,485,[],0.372410762057632,0.22881127091282652,0.24021940096141994,0.8281210164018017,0.7398136853079849,0.7839673508548932,199.56764258026058,70.44456762581831,2.4473527662105887,226.0427949950099,object,0.55078125
case007,,,,,,,537,485,[],0.6619827994853389,0.4947490953260622,0.9026315789473685,0.5226422155688623,0.9905441698014231,0.7565931926851427,82.51105189064873,30.112418231385817,-0.42097946963216426,223.9545718766749,object,0.6015625
case008,,,,,,,569,794,[],0.0,0.0,0.0,0.0,1.0,0.5,975.4347748568327,975.4347748568327,-1.0,244.5855939295143,object,0.0
case009,,,,,,,338,476,[],0.0,0.0,0.0,0.0,1.0,0.5,582.4036400985145,582.4036400985145,-1.0,220.16884200274944,object,0.0
case010,,,,,,,469,433,[],0.15730207310735117,0.08536508931369477,0.09003569697236789,0.6220124828741056,0.78985079487858,0.7059316388763428,227.35478056618908,83.94534737240978,5.908509666615923,228.41546521522105,object,0.703125
case011,,,,,,,542,789,[],0.9187566921195164,0.8497224310414618,0.9369241559600855,0.9012803802806103,0.9890818187587432,0.9451810995196768,28.861739379323623,11.05542264740494,-0.03804339492448056,226.2714598327875,object,0.58984375
case012,,,,,,,469,433,[],0.897250948697894,0.8136492592203426,0.858957293399889,0.939118306955309,0.9863708959943404,0.9627446014748247,18.980249470757705,6.091321586788572,0.09332363107149354,225.8206910919398,object,0.828125
case013,,,,,,,538,831,[],0.8437677945275271,0.7297563504406428,0.9710619804780464,0.7459791738427705,0.997950344093009,0.8719647589678897,27.221290439559166,13.393970599663046,-0.23179036061577596,226.29466000944376,object,0.51953125
case014,,,,,,,532,545,[],0.9683102283928609,0.9385672467067816,0.9729832251538396,0.9636819035691923,0.9947031359748791,0.9791925197720357,8.94427190999916,3.455579220996595,-0.009559590899603423,225.72610806673765,object,0.91796875
case015,,,,,,,541,437,[],0.865998696643858,0.7636664032756267,0.9703358890105878,0.7819211532803766,0.9985414301165509,0.8902312916984638,13.0,5.939814635190177,-0.1941747572815534,227.18693898059428,object,0.734375
