sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
train/1,train/1,,1,ovarian_tumor,,#ffffff,537,959,[],0.819040365575019,0.6935379852960144,0.6944516195691481,0.9981066231066231,0.9757625802432962,0.9869346016749596,74.59474623164463,17.754797591391018,0.4372586872586873,586.6041830740869,object,0.7734375
train/2,train/2,,1,ovarian_tumor,,#ffffff,536,959,[],0.8378201293336752,0.7209040101970782,0.7459733671528218,0.9554595367272019,0.979275436995466,0.967367486861334,85.14103026035309,17.338318437620856,0.2808225853610994,222.89677988737822,object,0.75
train/4,train/4,,1,ovarian_tumor,,#ffffff,535,478,[],0.9706233257546766,0.9429233729881036,0.9682475523219258,0.9730107866588437,0.9969731090494193,0.9849919478541315,5.0,2.1640100711491796,0.004919438552150562,222.6490336470306,object,0.84375
train/6,train/6,,1,ovarian_tumor,,#ffffff,534,958,[],0.9723206693649876,0.9461323589763957,0.966972899105657,0.9777279194483967,0.9944329906311862,0.9860804550397915,11.180339887498949,3.661263843893215,0.011122359636642223,217.01389737427235,object,0.87109375
train/7,train/7,,1,ovarian_tumor,,#ffffff,531,957,[],0.9759884145480876,0.9531029027541408,0.9854032687756341,0.9667517627036226,0.9972341379690871,0.9819929503363549,11.340122224586722,3.387617270151489,-0.018927789934354487,216.13352606073022,object,0.90234375
train/9,train/9,,1,ovarian_tumor,,#ffffff,536,480,[],0.8765343963812569,0.7802058145419783,0.7860493575362023,0.990561592392158,0.8991599331364455,0.9448607627643018,74.32226727527191,19.93860457359178,0.26017734496594463,221.74054104834795,object,0.78125
train/10,train/10,,1,ovarian_tumor,,#ffffff,542,483,[],0.897870378375263,0.8146685841286443,0.949734804608913,0.8513771996939556,0.9926772947288957,0.9220272472114257,19.4164878389476,9.233060928112671,-0.10356323095420264,221.05978522449732,object,0.78515625
train/11,train/11,,1,ovarian_tumor,,#ffffff,530,480,[],0.9666281048978359,0.9354116455840619,0.99736942142477,0.9377251672671127,0.9990620866133194,0.968393626940216,16.0,4.587908132347882,-0.059801566878252416,223.01798220723867,object,0.8125
train/13,train/13,,1,ovarian_tumor,,#ffffff,530,958,[],0.9805094075260208,0.9617640562495399,0.9750933067927345,0.9859860111709354,0.9953251387046758,0.9906555749378056,7.0710678118654755,2.6731048475234944,0.01117093544004428,217.32677426189184,object,0.91796875
train/14,train/14,,1,ovarian_tumor,,#ffffff,532,959,[],0.8933720715132918,0.8072921788039096,0.8255404725992961,0.9733485085597762,0.9814642297025302,0.9774063691311532,61.188035866178645,12.063883412069236,0.1790439607341016,216.8923243880272,object,0.8359375
