sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
case001,,,,,,,537,485,"[167, 4, 430, 216]",0.0,0.0,0.0,0.0,0.9669202641398231,0.48346013206991156,276.3157577050924,144.42464544100568,-0.5915334153341534,627.5995059404522,breast tumor,0.578125
case002,,,,,,,572,761,"[308, 199, 446, 299]",0.9536388140161725,0.9113858835651726,0.9252898613895911,0.9837797756974697,0.9979811685665354,0.9908804721320026,6.082762530298219,2.4557892941894752,0.06321253128186116,229.94395694695413,breast tumor,0.94140625
case003,,,,,,,532,545,"[144, 159, 327, 209]",0.7279632220667599,0.5722815839094909,0.5814795103778606,0.9731029568934806,0.9861708039363266,0.9796368804149036,47.38828028793545,11.72468718018448,0.6734948343427146,222.43475099094212,breast tumor,0.81640625
case004,,,,,,,537,485,"[262, 146, 313, 196]",0.8584923483846589,0.7520688513737173,0.7543160690571049,0.9960543621218764,0.9971336049952744,0.9965939835585753,8.0,3.858860749746016,0.32047347654537484,234.72400498576462,breast tumor,0.83984375
case005,,,,,,,538,831,"[256, 31, 642, 307]",0.9548829592050339,0.913661266568483,0.972973990288704,0.9374524002369411,0.994088215678579,0.96577030795776,17.0,6.396420615796728,-0.0365082627144256,230.76230403967202,breast tumor,0.92578125
case006,,,,,,,537,485,"[145, 41, 419, 238]",0.8687291342087692,0.7679231919414496,0.912133108992335,0.8292682926829268,0.9920645305621099,0.9106664116225183,21.02141643746577,8.035206078994813,-0.090847284779468,221.77723795175552,breast tumor,0.75
case007,,,,,,,537,485,"[63, 93, 436, 302]",0.8032140482794984,0.6711426108610287,0.7030742063651323,0.9366178357570573,0.9336567475351624,0.9351372916461098,49.64876634922564,18.444256677177123,0.3321749358426005,230.5292789824307,breast tumor,0.765625
case008,,,,,,,569,794,"[347, 94, 482, 221]",0.8217672117630892,0.6974574294378353,0.7061046168378793,0.9827444535743632,0.9886764812927646,0.9857104674335639,27.942731398075125,9.76121337255681,0.39178307313064914,225.13878787867725,breast tumor,0.73046875
case009,,,,,,,338,476,"[117, 80, 354, 174]",0.7749552500285638,0.6325934216253186,0.6436796153359484,0.9734953592957611,0.9625624015368559,0.9680288804163085,28.160255680657446,9.989716544578389,0.5123911587407903,220.97719204612076,breast tumor,0.8203125
case010,,,,,,,469,433,"[166, 22, 263, 133]",0.828285820066642,0.7069009100101112,0.8063725490196079,0.8514233521083879,0.9931656726443707,0.9222945123763793,16.1245154965971,7.2447518926051515,0.055868473131374635,220.71509715169668,breast tumor,0.8828125
case011,,,,,,,542,789,"[238, 69, 569, 355]",0.9220390263282551,0.855354738110426,0.918837843188013,0.925262592961742,0.985293427845363,0.9552780104035525,27.343999820186234,10.213019141570872,0.006992256382734033,221.64749586954713,breast tumor,0.8828125
