sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms,concept,text_score
patient0001_2CH_ED_f000__lv,patient0001_2CH_ED_f000,patient0001_2CH_ED_f000__lv,1,LV,0,#1f77b4,549,389,"[53, 218, 283, 380]",0.9677408019116562,0.9374978723404256,0.9809781640722403,0.9548559342602545,0.9971091381550454,0.97598253620765,7.0710678118654755,2.6167262457363374,-0.026628757671370618,640.5828739516437,left ventricle,0.921875
patient0001_2CH_ED_f000__la,patient0001_2CH_ED_f000,patient0001_2CH_ED_f000__la,3,LA,0,#2ca02c,549,389,"[284, 259, 388, 378]",0.9459137915255789,0.8973780170168432,0.9208017817371937,0.9724339072349233,0.9956192222025112,0.9840265647187172,6.324555320336759,2.834099708498058,0.05607300780882491,227.3040940053761,left atrium,0.86328125
patient0001_2CH_ES_f000__lv,patient0001_2CH_ES_f000,patient0001_2CH_ES_f000__lv,1,LV,0,#1f77b4,549,389,"[64, 241, 249, 343]",0.9443431844811874,0.8945550965036689,0.9065741782277216,0.9853960059774487,0.992481354261488,0.9889386801194684,6.708203932499369,3.271412432529745,0.08694470859937509,229.0115871001035,left ventricle,0.9140625
patient0001_2CH_ES_f000__la,patient0001_2CH_ES_f000,patient0001_2CH_ES_f000__la,3,LA,0,#2ca02c,549,389,"[246, 242, 388, 382]",0.9688614214404564,0.9396035039188566,0.975528032070843,0.9622853095673729,0.9979198242276902,0.9801025668975316,4.47213595499958,2.083935067198545,-0.013574927698754648,227.92272013612092,left atrium,0.84765625
patient0001_4CH_ED_f000__lv,patient0001_4CH_ED_f000,patient0001_4CH_ED_f000__lv,1,LV,0,#1f77b4,549,389,"[48, 210, 287, 397]",0.9053245710352513,0.8270255703934367,0.9998552036199095,0.827124633167635,0.9999777983759512,0.9135512157717931,17.0,8.22200601772294,-0.17275558483559922,223.02753198891878,left ventricle,0.9296875
patient0001_4CH_ED_f000__la,patient0001_4CH_ED_f000,patient0001_4CH_ED_f000__la,3,LA,0,#2ca02c,549,389,"[284, 249, 388, 381]",0.8722026395606197,0.7733682221253089,0.8192177394518017,0.9325153374233128,0.9883849201834273,0.96045012880337,17.08800749063506,7.177730560296722,0.1382997370727432,220.3000949230045,left atrium,0.796875
patient0001_4CH_ES_f000__lv,patient0001_4CH_ES_f000,patient0001_4CH_ES_f000__lv,1,LV,0,#1f77b4,549,389,"[54, 243, 247, 365]",0.913212771480488,0.8402866242038216,0.9648930334613275,0.8667871222076216,0.9970506459392617,0.9319188840734416,12.056102566973088,5.259121014497015,-0.1016754270696452,226.70636093243957,left ventricle,0.92578125
patient0001_4CH_ES_f000__la,patient0001_4CH_ES_f000,patient0001_4CH_ES_f000__la,3,LA,0,#2ca02c,549,389,"[245, 234, 388, 375]",0.9329579447474925,0.8743403693931399,0.971062271062271,0.8977311208940061,0.997579693938512,0.9476554074162591,10.295630140987,4.5951353012280745,-0.07551642397561802,228.46760298125446,left atrium,0.86328125
patient0002_2CH_ED_f000__lv,patient0002_2CH_ED_f000,patient0002_2CH_ED_f000__lv,1,LV,0,#1f77b4,748,584,"[106, 289, 365, 438]",0.9596259015613854,0.92238542174549,0.9774598766428779,0.9424310355563859,0.9982753252914404,0.9703531804239132,10.261473251156486,3.3708158930013767,-0.035836602528177344,235.75698002241552,left ventricle,0.9296875
patient0002_2CH_ED_f000__la,patient0002_2CH_ED_f000,patient0002_2CH_ED_f000__la,3,LA,0,#2ca02c,748,584,"[345, 318, 493, 442]",0.9635025966532026,0.9295755045233125,0.9540747089493608,0.9731186712318788,0.9984802826721499,0.9857994769520144,5.0,2.10134098966327,0.019960661470095432,228.1368151307106,left atrium,0.8984375
patient0002_2CH_ES_f000__lv,patient0002_2CH_ES_f000,patient0002_2CH_ES_f000__lv,1,LV,0,#1f77b4,748,584,"[121, 316, 322, 424]",0.9280114041339986,0.8656914893617021,0.8694490818030051,0.9950324799388612,0.993460179253691,0.9942463295962761,10.63014581273465,4.896819476666786,0.14444019870080244,224.00455502793193,left ventricle,0.921875
patient0002_2CH_ES_f000__la,patient0002_2CH_ES_f000,patient0002_2CH_ES_f000__la,3,LA,0,#2ca02c,748,584,"[316, 319, 495, 474]",0.9481607170049381,0.9014311714096624,0.9218307178207351,0.9760390541024723,0.9955416594291008,0.9857903567657865,11.0,4.0486055984365645,0.058805087782156935,222.80368604697287,left atrium,0.890625
