sample_id,height,width,bbox,dice,iou,infer_ms
case001,537,485,"[167, 4, 430, 216]",0.6065472785674294,0.4352837159368988,1326.399541925639
case002,572,761,"[308, 199, 446, 299]",0.9256190194337942,0.8615370489396185,1153.8994580041617
case003,532,545,"[144, 159, 327, 209]",0.8701240739088903,0.7701058619058775,1119.5239579537883
case004,537,485,"[262, 146, 313, 196]",0.9280328992462233,0.8657289002563268,1112.4369580065832
case005,538,831,"[256, 31, 642, 307]",0.9427142447335306,0.8916361920490867,1114.335458027199
case006,537,485,"[145, 41, 419, 238]",0.8691560929915972,0.7685906848903314,1107.484833104536
case007,537,485,"[63, 93, 436, 302]",0.7955975578376341,0.6605745139550449,1111.969375051558
case008,569,794,"[347, 94, 482, 221]",0.8743096383396248,0.7766875049459708,1135.9163749730214
case009,338,476,"[117, 80, 354, 174]",0.8707124010554659,0.7710280373833559,1115.218541934155
case010,469,433,"[166, 22, 263, 133]",0.8799133910727183,0.7855762081787575,1106.6546249203384
case011,542,789,"[238, 69, 569, 355]",0.9295894557608683,0.8684419830913087,1117.4849999370053
case012,469,433,"[105, 27, 298, 162]",0.9062453152640224,0.828563596491322,1113.1934589939192
case013,538,831,"[270, 30, 517, 261]",0.8897730329760729,0.8014334540632043,1116.9644580222666
case014,532,545,"[127, 123, 452, 322]",0.9531581524400247,0.9105082631743248,1113.7152920709923
case015,541,437,"[111, 256, 305, 370]",0.8484289130344219,0.7367577413480971,1114.5526659674942
case016,526,623,"[220, 76, 336, 175]",0.9003219267915225,0.8187140843545281,1099.7673330130056
case017,579,930,"[307, 152, 423, 247]",0.7907220351666362,0.6538794703630072,1104.1667090030387
case018,537,485,"[190, 101, 337, 239]",0.9528140622480398,0.9098804977208883,1109.983708942309
case019,572,761,"[344, 67, 463, 171]",0.9687440259988679,0.9393827046065999,1105.079000000842
case020,609,761,"[397, 190, 503, 256]",0.8563673868202623,0.7488133662431198,1109.6017499221489
case021,537,485,"[144, 22, 344, 128]",0.9544883563629483,0.9129390018484825,1118.5976250562817
case022,538,831,"[292, 131, 623, 274]",0.743600212305609,0.5918499983753317,1102.7790840016678
case023,532,545,"[204, 205, 293, 254]",0.7489361702131616,0.5986394557833241,1108.247125055641
case024,469,433,"[144, 47, 280, 148]",0.8529146827951017,0.7435494727397985,1110.441832919605
case025,609,761,"[196, 230, 466, 376]",0.9326128682300066,0.8737344122591479,1115.8032499952242
case026,518,727,"[207, 67, 391, 193]",0.8600782778865399,0.754506437768372,1111.696874955669
case027,469,433,"[168, 13, 344, 216]",0.9442513089005352,0.8943902245497523,1116.0775000462309
case028,537,485,"[222, 106, 335, 217]",0.9356854097758515,0.879143646408959,1122.2206669626758
case029,483,930,"[255, 140, 421, 251]",0.8993936174921882,0.8171800852571245,1123.5602910164744
case030,526,623,"[283, 127, 390, 206]",0.912990296012466,0.8399099774946138,1116.213290952146
