sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
case001,,,,,,,537,485,"[167, 4, 430, 216]",0.60648596321394,0.43522056269538034,0.5313415574402467,0.7063858138581386,0.9495419888516724,0.8279639013549055,47.16990566028302,17.762053775635344,0.3294382943829438,884.8655610345304
case002,,,,,,,572,761,"[308, 199, 446, 299]",0.9256190194337576,0.8615370489394913,0.9892461781760675,0.8696820836036704,0.9997597190125865,0.9347209013081285,7.211102550927978,3.9433645647503086,-0.12086384280285475,218.79418997559696
case003,,,,,,,532,545,"[144, 159, 327, 209]",0.8701240739087744,0.7701058619055143,0.8720701377706208,0.8681866761667261,0.9974852809802832,0.9328359785735046,8.0,3.439258409275294,-0.004453152832205202,212.91306498460472
case004,,,,,,,537,485,"[262, 146, 313, 196]",0.9280328992460589,0.8657289002557544,0.9689885496183206,0.8903989478298991,0.9997482220603957,0.9450735849451475,4.092329219213245,1.7662638021546462,-0.08110477860587462,214.80693196645007
case005,,,,,,,538,831,"[256, 31, 642, 307]",0.942707651244442,0.891624395422909,0.9736062448474856,0.913709940643851,0.994376394580041,0.9540431676119461,21.02379604162864,8.231660753300721,-0.06152004932242115,209.96729301987216
case006,,,,,,,537,485,"[145, 41, 419, 238]",0.8691560929915695,0.7685906848902444,0.8709360866968171,0.8673833602447523,0.9872314919948841,0.9273074261198182,18.973665961010276,8.00142298081632,-0.004079204555111753,210.3856430039741
case007,,,,,,,537,485,"[63, 93, 436, 302]",0.7955975578376102,0.6605745139549789,0.7072364316905801,0.9091905474764757,0.9368759443500406,0.9230332459132582,51.59306837638649,17.569435989077604,0.28555389221556887,209.00951203657314
case008,,,,,,,569,794,"[347, 94, 482, 221]",0.8743597737496103,0.7767666376513414,0.9545852377710785,0.8065735414954807,0.9989377092735479,0.9027556253845143,28.079630519674634,7.09147351659044,-0.15505341002465078,212.45725901098922
case009,,,,,,,338,476,"[117, 80, 354, 174]",0.8707506926425964,0.7710880909728172,0.8056640625,0.9472777724619653,0.9841262455379993,0.9657020089999824,13.96419413859206,4.752216253576219,0.17577265333460912,206.14942099200562
case010,,,,,,,469,433,"[166, 22, 263, 133]",0.8799133910726182,0.7855762081784387,0.9713182570325427,0.8042319987821587,0.999206139190262,0.9017190689862103,13.0,4.695590788847285,-0.17202009438270666,211.74879698082805
case011,,,,,,,542,789,"[238, 69, 569, 355]",0.9295967837294549,0.8684547744244621,0.9565541855937703,0.9041171509622019,0.9926108442344994,0.9483639975983507,21.93171219946131,9.016067943563943,-0.054818676684811773,210.67788201617077
case012,,,,,,,469,433,"[105, 27, 298, 162]",0.9062996611795748,0.8286544577256278,0.8963819691577699,0.9164392699047965,0.9906370252859271,0.9535381475953618,17.305649878223566,5.541746545579673,0.022375841368018918,210.51194600295275
case013,,,,,,,538,831,"[270, 30, 517, 261]",0.8897730329760574,0.8014334540631536,0.9554521680958462,0.8325428578998967,0.9964210418310585,0.9144819498654776,24.08318915758459,10.14716096197797,-0.12863994064810153,211.06004901230335
case014,,,,,,,532,545,"[127, 123, 452, 322]",0.9531581524400196,0.9105082631743062,0.9955676781452438,0.9142141515341264,0.9991943147543693,0.9567042331442479,9.848857801796104,4.945108696204349,-0.08171571696931747,205.8735209866427
case015,,,,,,,541,437,"[111, 256, 305, 370]",0.8484289130343583,0.7367577413479053,0.9874035738697393,0.7437481612238894,0.999421059953954,0.8715846105889218,12.529964086141668,6.763784836865982,-0.24676375404530745,209.44180496735498
case016,,,,,,,526,623,"[220, 76, 336, 175]",0.9003874813710879,0.8188225089450287,1.0,0.8188225089450287,1.0,0.9094112544725144,15.0,4.818017174213177,-0.18117749105497127,215.88333300314844
