sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
10_1,,,,,,,420,580,"[224, 102, 335, 218]",0.9488231210954755,0.9026293672709809,0.9494821924728467,0.9481649640559969,0.9983027186204497,0.9732338413382233,5.0,2.2611907026230025,-0.0013873123975280616,776.1683889984852
10_100,,,,,,,420,580,"[175, 98, 324, 254]",0.9522271336280177,0.9088106441668019,0.9880049391427059,0.9189499589827728,0.9994122985177822,0.9591811287502775,7.269758788527631,2.4554007119061305,-0.06989335520918787,207.84395599912386
10_104,,,,,,,420,580,"[262, 127, 342, 229]",0.9719549975542149,0.9454401268834258,0.9838257138141607,0.9603673272112131,0.9995871824358764,0.9799772548235448,3.0,1.2334420057803943,-0.023844047043660384,205.73546499872464
10_109,,,,,,,420,580,"[225, 90, 320, 215]",0.9508281573498965,0.906265416872225,0.9820903501737503,0.9214948582894407,0.9994313021483198,0.9604630802188803,7.0,2.149182449958195,-0.06170052671181339,212.4741459992947
10_11,,,,,,,420,580,"[224, 93, 335, 220]",0.8934629081909821,0.807440541130264,0.8987249544626594,0.8882621219395104,0.9964551065168233,0.9423586142281668,10.963330765278386,4.76141671396096,-0.011641862698031686,209.6927530001267
10_15,,,,,,,420,580,"[247, 101, 343, 218]",0.9294611520198197,0.8682180509128311,0.9799738789725729,0.8839005235602094,0.9994151551110357,0.9416578393356225,7.971537451386002,3.0763369448107625,-0.09803664921465968,187.0219119991816
10_16,,,,,,,420,580,"[253, 90, 324, 175]",0.9277708592777086,0.8652729384436701,0.9746206174777603,0.8852186311787072,0.9995948068440048,0.9424067190113561,6.0,2.3184903536022805,-0.09173003802281368,221.0289559989178
10_18,,,,,,,420,580,"[235, 89, 355, 202]",0.9181811947054386,0.8487384303283885,0.9642754249495823,0.876292708469695,0.9989489788566754,0.9376208436631852,6.708203932499369,3.3950289265721993,-0.09124230920277523,210.2581880026264
10_2,,,,,,,420,580,"[230, 95, 342, 219]",0.9214434834476588,0.8543302731998673,0.9945918104558331,0.8583175908434271,0.9998209726301251,0.929069281736776,8.06225774829855,3.6239178214964904,-0.1370152239137682,205.99607499752892
10_24,,,,,,,420,580,"[264, 107, 342, 208]",0.9003245248029671,0.8187183811129848,0.9568387859676784,0.8501138154438802,0.9990794025785135,0.9245966090111968,11.661903789690601,3.889307706775882,-0.11153913500262651,214.74581200163811
10_26,,,,,,,420,580,"[235, 89, 339, 203]",0.9218020917135962,0.8549470228324131,0.9731612026499066,0.8755922359773805,0.9993334936323331,0.9374628648048569,9.613541667956984,3.0510977571026343,-0.1002598196545927,210.30439199967077
10_27,,,,,,,420,580,"[225, 115, 345, 182]",0.953195772521389,0.9105769230769231,0.9744803457501543,0.9328211189913318,0.9994801361707837,0.9661506275810577,5.0,1.5837257901716382,-0.042750197005516154,216.10536299704108
10_28,,,,,,,420,580,"[258, 91, 369, 217]",0.9512969825304394,0.9071176173649672,0.9738781703880338,0.929739238410596,0.9989698037069968,0.9643545210587965,5.0,2.3999959969114606,-0.04532284768211921,212.3558499988576
10_3,,,,,,,420,580,"[283, 121, 354, 228]",0.8947004608294931,0.8094642484886387,0.9984571869375161,0.8104779795449801,0.9999748753187694,0.9052264274318748,14.170349535659327,3.3463832097996984,-0.18826967230223335,215.05498099941178
10_30,,,,,,,420,580,"[239, 86, 343, 199]",0.9176323207015346,0.8478009259259259,0.9814101490537598,0.8616379944125864,0.9995312480204731,0.9305846212165297,9.002769256906868,3.2364439774955334,-0.12204087634171445,211.601832001179
10_31,,,,,,,420,580,"[218, 86, 301, 221]",0.9470414425335253,0.8994099870484962,0.9794703024604294,0.9166911117629803,0.999446748485949,0.9580689301244647,4.242640687119285,1.9275945351500332,-0.06409504253446759,209.39877099954174
10_32,,,,,,,420,580,"[227, 122, 331, 223]",0.9512162701050113,0.9069708491761723,0.9766616623447523,0.9270630910739733,0.9992750581861193,0.9631690746300463,5.0,2.1689923102763173,-0.050783780282420005,215.4630979966896
10_35,,,,,,,420,580,"[241, 95, 329, 239]",0.9401093019325032,0.8869870295556028,0.9919153489478064,0.8934461340758192,0.9997097267162408,0.94657793039603,7.218003284763234,2.7488426949497793,-0.09927179267509102,211.1787519970676
