sample_id,height,width,bbox,dice,iou,infer_ms
case001,537,485,"[167, 4, 430, 216]",0.6065472785674294,0.4352837159368988,1272.2057499922812
case002,572,761,"[308, 199, 446, 299]",0.9256190194337942,0.8615370489396185,1143.3822080725804
case003,532,545,"[144, 159, 327, 209]",0.8701240739088903,0.7701058619058775,1112.215582979843
case004,537,485,"[262, 146, 313, 196]",0.9280328992462233,0.8657289002563268,1113.2969169411808
case005,538,831,"[256, 31, 642, 307]",0.9427142447335306,0.8916361920490867,1109.2695000115782
case006,537,485,"[145, 41, 419, 238]",0.8691560929915972,0.7685906848903314,1126.5647500986233
case007,537,485,"[63, 93, 436, 302]",0.7955975578376341,0.6605745139550449,1141.577500035055
case008,569,794,"[347, 94, 482, 221]",0.8743096383396248,0.7766875049459708,1116.7418329278007
case009,338,476,"[117, 80, 354, 174]",0.8707124010554659,0.7710280373833559,1116.3768339902163
case010,469,433,"[166, 22, 263, 133]",0.8799133910727183,0.7855762081787575,1119.3224590970203
case011,542,789,"[238, 69, 569, 355]",0.9295894557608683,0.8684419830913087,1113.8592909555882
case012,469,433,"[105, 27, 298, 162]",0.9062453152640224,0.828563596491322,1134.0151249896735
case013,538,831,"[270, 30, 517, 261]",0.8897730329760729,0.8014334540632043,1128.9343750104308
case014,532,545,"[127, 123, 452, 322]",0.9531581524400247,0.9105082631743248,1124.2729999357834
case015,541,437,"[111, 256, 305, 370]",0.8484289130344219,0.7367577413480971,1111.0682080034167
case016,526,623,"[220, 76, 336, 175]",0.9003219267915225,0.8187140843545281,1127.1514589898288
case017,579,930,"[307, 152, 423, 247]",0.7907220351666362,0.6538794703630072,1137.411959003657
case018,537,485,"[190, 101, 337, 239]",0.9528140622480398,0.9098804977208883,1134.095040964894
case019,572,761,"[344, 67, 463, 171]",0.9687440259988679,0.9393827046065999,1127.3319579195231
case020,609,761,"[397, 190, 503, 256]",0.8563673868202623,0.7488133662431198,1124.2239159764722
case021,537,485,"[144, 22, 344, 128]",0.9544883563629483,0.9129390018484825,1115.804750006646
case022,538,831,"[292, 131, 623, 274]",0.743600212305609,0.5918499983753317,1143.0175829445943
case023,532,545,"[204, 205, 293, 254]",0.7489361702131616,0.5986394557833241,1106.4667500322685
case024,469,433,"[144, 47, 280, 148]",0.8529146827951017,0.7435494727397985,1120.765959029086
case025,609,761,"[196, 230, 466, 376]",0.9326128682300066,0.8737344122591479,1120.7001250004396
case026,518,727,"[207, 67, 391, 193]",0.8600782778865399,0.754506437768372,1111.3408749224618
case027,469,433,"[168, 13, 344, 216]",0.9442513089005352,0.8943902245497523,1113.4266250301152
case028,537,485,"[222, 106, 335, 217]",0.9356854097758515,0.879143646408959,1118.0603749817237
case029,483,930,"[255, 140, 421, 251]",0.8993936174921882,0.8171800852571245,1121.8981250422075
case030,526,623,"[283, 127, 390, 206]",0.912990296012466,0.8399099774946138,1115.6982500106096
case031,537,485,"[191, 81, 266, 149]",0.8097132665663195,0.6802674043345314,1111.3300420111045
case032,537,485,"[223, 192, 318, 281]",0.9008068343617458,0.8195164075996209,1124.1673750337213
case033,487,794,"[226, 91, 298, 141]",0.920307443365857,0.8523791682283538,1117.1776249539107
case034,469,433,"[171, 84, 229, 144]",0.8784706417845278,0.7832792207801004,1125.7910419953987
case035,532,545,"[183, 167, 343, 291]",0.8998122844545773,0.8178715974924071,1119.1960419528186
case036,537,485,"[47, 17, 484, 201]",0.5712173778271074,0.3997930608635704,1110.459833056666
case037,413,794,"[271, 37, 537, 196]",0.9372376807088572,0.8818883241306608,1121.4793339604512
case038,385,930,"[0, 32, 929, 384]",0.8730761248686203,0.7747427702397732,1123.7678331090137
case039,537,485,"[161, 79, 351, 139]",0.8731357737750189,0.7748367136475593,1120.434291078709
case040,483,930,"[480, 49, 664, 165]",0.8833683070466786,0.7911008729390209,1121.6525409836322
case041,413,794,"[372, 103, 577, 184]",0.9150239744273153,0.8433587036583654,1121.0768329910934
case042,503,738,"[426, 38, 517, 125]",0.7753091384339245,0.6330651781322721,1122.046000091359
case043,537,485,"[160, 44, 337, 193]",0.913148752500286,0.840178225494072,1121.6375840594992
case044,500,797,"[283, 145, 388, 229]",0.7870697263903496,0.6488993996731873,1111.364790936932
case046,598,517,"[170, 86, 328, 329]",0.928386466867613,0.8663444778957905,1111.695416038856
case047,537,485,"[195, 104, 316, 230]",0.9034632932393698,0.8239243498819632,1118.3232499752194
case048,580,711,"[336, 123, 487, 265]",0.9362291469940396,0.8801041543378624,1115.506583941169
case049,537,485,"[168, 134, 279, 211]",0.8877867327961316,0.7982162764774674,1116.3746659876779
case050,469,433,"[236, 64, 303, 143]",0.9180794985041771,0.8485646563080101,1115.261874976568
case051,537,485,"[110, 63, 409, 191]",0.87208448636135,0.7731824554376884,1121.8536669621244
case052,576,761,"[143, 96, 424, 276]",0.8848691526429113,0.7935115011302238,1116.8716659303755
case053,537,485,"[145, 148, 390, 294]",0.7560160089164204,0.6077377316230471,1115.1498750550672
case054,493,930,"[229, 58, 390, 160]",0.8612790504188467,0.7563565513884497,1114.3833749229088
case055,538,831,"[428, 152, 517, 250]",0.8144564598749626,0.6869899183874428,1109.4855420524254
case056,469,433,"[93, 21, 308, 149]",0.9682116771555955,0.9383820845020532,1109.1072499984875
case057,618,676,"[218, 82, 307, 128]",0.8698134754475261,0.7696194004723151,1105.7854579994455
case058,470,503,"[113, 89, 363, 224]",0.9103215840472096,0.8354038867983734,1113.0584999918938
case059,532,545,"[198, 105, 337, 183]",0.7975087831365398,0.66321381142143,1103.4885830013081
case060,532,545,"[242, 99, 323, 217]",0.829965410522638,0.7093511747320533,1100.0576670048758
case062,519,1024,"[458, 145, 547, 262]",0.8345068105548237,0.7160117434510884,1101.159790996462
case063,469,433,"[193, 76, 259, 128]",0.8537680132297336,0.7448474855740114,1097.9751250706613
case064,537,485,"[189, 135, 365, 217]",0.9247675401521909,0.8600628930818832,1097.7949999505654
case065,532,545,"[236, 128, 335, 182]",0.8948269053575163,0.8096712720347554,1111.0627909656614
case066,470,503,"[149, 123, 299, 260]",0.8537957284838851,0.744889676038857,1102.7193749323487
case067,532,545,"[194, 68, 404, 201]",0.9140717150271545,0.8417422473253453,1108.5781659930944
case068,532,545,"[201, 22, 349, 100]",0.9412114367235682,0.8889512688076701,1111.4550000056624
case069,537,485,"[218, 178, 329, 268]",0.9162830615589325,0.8455003599714248,1104.5057500014082
case070,526,623,"[283, 79, 390, 194]",0.8376581873962433,0.7206642472234458,1107.1224580518901
case071,532,545,"[183, 58, 396, 147]",0.8586271438940148,0.7522757697458151,1103.5234169103205
case072,470,503,"[141, 109, 369, 250]",0.9267095544436676,0.86342849531596,1107.0809159427881
case073,537,485,"[116, 9, 299, 215]",0.5040444538230625,0.33693812300200443,1114.1795830335468
case074,385,930,"[472, 57, 598, 156]",0.8807789201335325,0.7869570507363584,1108.9649581117555
case075,469,433,"[180, 72, 224, 125]",0.6308835673012763,0.4607961399308758,1112.2280830750242
case076,537,485,"[146, 24, 383, 231]",0.9214434279231566,0.8543301777382598,1098.6113339895383
case077,538,831,"[214, 44, 636, 420]",0.9454452877898094,0.8965350747978742,1111.4211659878492
case078,470,503,"[56, 70, 456, 289]",0.9638529325291851,0.930227921101885,1102.284082910046
case079,537,485,"[148, 125, 358, 342]",0.8079512550406253,0.6777837386743927,1106.4624999416992
case080,609,761,"[382, 175, 557, 297]",0.9077149877150179,0.8310239337773193,1114.0789589844644
case081,537,485,"[143, 212, 349, 303]",0.947121485982407,0.8995543867339473,1103.8005410227925
case082,537,485,"[146, 48, 336, 211]",0.9224400240111108,0.85604518037579,1106.1383750056848
case083,562,795,"[211, 80, 647, 281]",0.9023033767161738,0.8219970414201446,1105.6578330462798
case084,469,433,"[257, 129, 323, 186]",0.8477508650522324,0.7357357357367277,1107.858999981545
case085,289,930,"[374, 63, 829, 247]",0.45748182308431906,0.29658115536712887,1106.089915963821
case086,469,433,"[86, 107, 384, 267]",0.8848277351099774,0.7934448900567576,1108.8450419483706
case087,537,485,"[163, 98, 296, 157]",0.8702345377163179,0.7702789355566363,1103.3062089700252
case088,386,930,"[312, 44, 512, 292]",0.9503968525020218,0.9054820907955264,1098.4531249850988
case089,537,485,"[167, 120, 257, 212]",0.854781801300042,0.7463920869146321,1106.1256660614163
case090,537,485,"[245, 127, 337, 226]",0.8726407073628017,0.7740573152341266,1106.125665945001
case091,532,545,"[207, 47, 357, 117]",0.8581631965501932,0.751563790865394,1107.0578750222921
case092,413,794,"[0, 27, 793, 412]",0.7803810949283339,0.6398565090154011,1107.0224579889327
case093,537,485,"[132, 148, 345, 262]",0.8564544527847724,0.7489465153972183,1105.138499988243
case094,538,831,"[290, 62, 520, 187]",0.8870052062894365,0.7969535987965789,1107.1464590495452
case095,533,887,"[392, 60, 498, 131]",0.9204631738801059,0.8526463864957752,1101.512375054881
case096,532,545,"[227, 129, 326, 190]",0.8452439625433154,0.7319675629540504,1117.4101249780506
case097,500,797,"[303, 93, 477, 227]",0.94688380833074,0.8991256765598649,1105.648749973625
case098,532,545,"[188, 115, 355, 183]",0.9321072197222121,0.8728471967755309,1109.9662909982726
case099,537,485,"[212, 89, 317, 173]",0.800039285012964,0.6667212309712445,1113.7079159962013
case100,538,831,"[314, 111, 561, 288]",0.8215874033415158,0.6971984224127237,1098.1799170840532
case101,538,831,"[287, 88, 653, 204]",0.8508945557968655,0.7404843133320823,1103.6146249389276
case102,469,433,"[131, 61, 270, 124]",0.8538438764434483,0.7449629757193991,1108.0033750040457
