sample_id,height,width,bbox,dice,iou,infer_ms
10_1,420,580,"[224, 102, 335, 218]",0.9488231210955078,0.9026293672710978,1662.756834
10_100,420,580,"[175, 98, 324, 254]",0.952227133628038,0.9088106441668758,1179.6783340000002
10_104,420,580,"[262, 127, 342, 229]",0.9720388032934115,0.9455987311658277,1131.5790420000003
10_109,420,580,"[225, 90, 320, 215]",0.9508281573499283,0.9062654168723405,1147.8970840000002
10_11,420,580,"[224, 93, 335, 220]",0.8934629081910463,0.807440541130474,1124.7624999999991
10_15,420,580,"[247, 101, 343, 218]",0.9294611520198682,0.8682180509130005,1120.2915420000004
10_16,420,580,"[253, 90, 324, 175]",0.9280378486056673,0.8657375145183142,1122.3456249999995
10_18,420,580,"[235, 89, 355, 202]",0.9181811947054948,0.8487384303285803,1114.595584
10_2,420,580,"[230, 95, 342, 219]",0.9214434834477057,0.8543302732000283,1148.801875
10_24,420,580,"[264, 107, 342, 208]",0.9003245248030595,0.8187183811132905,1106.435459
10_26,420,580,"[235, 89, 339, 203]",0.921802091713659,0.8549470228326296,1113.8864589999998
10_27,420,580,"[225, 115, 345, 182]",0.9530998389694514,0.9104018457990571,1132.314375
10_28,420,580,"[258, 91, 369, 217]",0.9512969825304651,0.907117617365061,1119.8091249999998
10_3,420,580,"[283, 121, 354, 228]",0.8947004608296143,0.809464248489036,1114.4033749999985
10_30,420,580,"[239, 86, 343, 199]",0.9176323207015991,0.8478009259261461,1123.4082090000009
10_31,420,580,"[218, 86, 301, 221]",0.9471131989695809,0.8995394358090104,1123.9873749999988
10_32,420,580,"[227, 122, 331, 223]",0.9512162701050437,0.9069708491762902,1106.5365000000043
10_35,420,580,"[241, 95, 329, 239]",0.9401690140845408,0.8870933446737327,1142.1588749999999
10_36,420,580,"[274, 126, 351, 238]",0.9774591678368358,0.955912113327615,1120.4002079999996
10_37,420,580,"[227, 120, 335, 212]",0.7791901675227046,0.6382567921670966,1121.049792000001
10_38,420,580,"[268, 103, 360, 212]",0.9399018806214637,0.8866178172003,1128.2700410000004
10_4,420,580,"[247, 93, 329, 212]",0.9301352670478803,0.8693952033369794,1141.847083000002
10_41,420,580,"[307, 91, 379, 218]",0.9299440157361705,0.8690610859730358,1150.0248330000034
10_42,420,580,"[238, 105, 324, 218]",0.9362114964831949,0.880072959416507,1152.0416670000059
10_45,420,580,"[260, 89, 360, 208]",0.836156794856043,0.7184445388868269,1218.051666000001
10_46,420,580,"[237, 89, 317, 197]",0.9031793394383134,0.8234521575988303,1134.897291999998
10_48,420,580,"[211, 98, 330, 181]",0.9326652601969649,0.8738263877452251,1144.4911669999983
10_49,420,580,"[291, 92, 366, 182]",0.9427694911668859,0.8917350410248315,1143.9769999999996
10_52,420,580,"[257, 89, 343, 197]",0.8459383753502708,0.7330097087382568,1215.238499999998
10_54,420,580,"[221, 102, 339, 217]",0.9171834625323533,0.8470349600288186,1129.8247920000008
10_55,420,580,"[239, 95, 329, 235]",0.9493211610487188,0.903531246518989,1131.6552079999979
10_58,420,580,"[241, 95, 327, 214]",0.9472165261639347,0.8997258692830764,1127.2869160000027
10_60,420,580,"[280, 97, 368, 188]",0.9484600879950122,0.9019725044831112,1117.8265000000067
10_64,420,580,"[223, 104, 311, 209]",0.8347989413473621,0.716441969519759,1124.1137499999923
10_68,420,580,"[184, 110, 314, 242]",0.9442543771382852,0.8943957300801617,1122.317541000001
10_7,420,580,"[301, 93, 377, 187]",0.9374235273554121,0.8822174699788087,1120.7818749999915
10_70,420,580,"[244, 91, 341, 209]",0.9620580440825014,0.9268900236643083,1136.6526249999965
10_72,420,580,"[243, 101, 320, 242]",0.9293988537983603,0.868109339407895,1138.590999999991
10_8,420,580,"[224, 102, 308, 210]",0.7760298410640805,0.634026765602711,1137.3582909999982
