sample_id,height,width,bbox,dice,iou,infer_ms
case001,537,485,"[175, 30, 438, 242]",0.3908913974310256,0.24292418597918555,1309.6765000373125
case002,572,761,"[299, 200, 437, 300]",0.9193156459211905,0.850679148311444,1153.2481249887496
case003,532,545,"[140, 163, 323, 213]",0.8265635074147311,0.7043956043960684,1117.2759169712663
case004,537,485,"[268, 142, 319, 192]",0.7827142510323314,0.6429996011182968,1118.9815420657396
case005,538,831,"[194, 43, 580, 319]",0.7229487456818467,0.566107854510408,1111.5655830362812
case006,537,485,"[90, 49, 364, 246]",0.7812244229825296,0.6409912027400305,1107.9325419850647
case007,537,485,"[75, 59, 448, 268]",0.8053169931487256,0.6740842453859549,1131.6100000403821
case008,569,794,"[365, 69, 500, 196]",0.6785897735233815,0.5135345254084999,1099.7326669748873
case009,338,476,"[152, 88, 389, 182]",0.6106599458603517,0.4395323837681809,1106.0548749519512
case010,469,433,"[165, 7, 262, 118]",0.879533138807937,0.7849702380955581,1101.4792080968618
case011,542,789,"[181, 111, 512, 397]",0.7669390727405319,0.6219798679738543,1116.9514580396935
case012,469,433,"[135, 21, 328, 156]",0.7191816751181096,0.5615017064848412,1132.5569169130176
case013,538,831,"[277, 0, 524, 224]",0.8147463603275968,0.6874025382050987,1137.8963749157265
case014,532,545,"[138, 147, 463, 346]",0.9261874903746808,0.8625225372889972,1112.8131669247523
case015,541,437,"[74, 275, 268, 389]",0.6951730746198367,0.5327703322932913,1108.6330419639125
case016,526,623,"[229, 93, 345, 192]",0.7693333333334731,0.6251354279526985,1097.739083925262
case017,579,930,"[313, 162, 429, 257]",0.8679139905055376,0.7666502220032478,1126.2438329868019
case018,537,485,"[196, 94, 343, 232]",0.9406467190916107,0.8879443109715469,1115.0602500420064
case019,572,761,"[327, 49, 446, 153]",0.7673826395041146,0.6225635498072194,1107.7135410159826
case020,609,761,"[394, 202, 500, 268]",0.8618975578129868,0.7573110520323636,1109.223207924515
case021,537,485,"[168, 35, 368, 141]",0.8450973451327982,0.7317476858948496,1114.3317921087146
case022,538,831,"[320, 143, 651, 286]",0.7016172395252303,0.5403778152975247,1133.8616670109332
case023,532,545,"[195, 197, 284, 246]",0.738999205719239,0.5860418241381052,1116.7268750723451
case024,469,433,"[142, 66, 278, 167]",0.7291627291628998,0.5737656157053601,1110.7505420222878
case025,609,761,"[201, 254, 471, 400]",0.9019782456586939,0.8214575367860729,1112.2311670333147
case026,518,727,"[220, 72, 404, 198]",0.853993982931217,0.745191534958615,1109.7791249630973
case027,469,433,"[135, 33, 311, 236]",0.7683301429017121,0.6238117613042167,1103.783083963208
case028,537,485,"[225, 116, 338, 227]",0.9071598015959095,0.8300937345832954,1115.7417920185253
case029,483,930,"[249, 140, 415, 251]",0.8998097934268591,0.8178674815054536,1106.8106250604615
case030,526,623,"[274, 127, 381, 206]",0.8734535457266326,0.7753373528570552,1117.841957951896
case031,537,485,"[184, 68, 259, 136]",0.6794520547950085,0.5145228215778826,1107.4389999266714
case032,537,485,"[224, 189, 319, 278]",0.8944954128441376,0.8091286307057242,1104.7969589708373
case033,487,794,"[216, 85, 288, 135]",0.8649350649353573,0.7620137299780243,1101.9412920577452
case034,469,433,"[177, 82, 235, 142]",0.8314076868667026,0.7114608555298165,1107.3237919481471
case035,532,545,"[192, 145, 352, 269]",0.7603675394374043,0.613381436536823,1109.4754170626402
case036,537,485,"[101, 0, 484, 168]",0.4211659828524705,0.2667576061057315,1122.2150420071557
case037,413,794,"[309, 33, 575, 192]",0.8699513801156407,0.7698353546989058,1115.2564169606194
case038,385,930,"[113, 38, 929, 384]",0.804751073036392,0.6732916088707792,1104.8601670190692
case039,537,485,"[154, 74, 344, 134]",0.8188324445693104,0.6932398716886143,1107.668707962148
case040,483,930,"[510, 27, 694, 143]",0.7049502221917031,0.5443421822633695,1108.7513340171427
case041,413,794,"[365, 94, 570, 175]",0.9008389860764455,0.8195696305320183,1103.1608330085874
case042,503,738,"[430, 54, 521, 141]",0.8179701144965865,0.6920045969468199,1099.344874965027
case043,537,485,"[148, 72, 325, 221]",0.7138263665595623,0.5550000000001855,1114.183041965589
case044,500,797,"[280, 141, 385, 225]",0.8719494959013738,0.7729702639495941,1114.888040930964
case046,598,517,"[144, 67, 302, 310]",0.8333600128061851,0.714324917672999,1153.358208015561
case047,537,485,"[191, 124, 312, 250]",0.6811809335314305,0.5165082541274666,1118.6502920463681
case048,580,711,"[351, 122, 502, 264]",0.9112674238513451,0.8369983996207474,1120.7997919991612
case049,537,485,"[169, 119, 280, 196]",0.6889196128780476,0.5254594757464214,1102.4862909689546
case050,469,433,"[236, 62, 303, 141]",0.9174964438123506,0.8475689881738566,1113.5542079573497
case051,537,485,"[124, 70, 423, 198]",0.8515139494909708,0.7414229795073382,1113.4291670750827
case052,576,761,"[154, 69, 435, 249]",0.6860442733398001,0.5221213009084086,1111.6383339976892
case053,537,485,"[131, 162, 376, 308]",0.6811518971697736,0.5164748659896103,1139.980458887294
case054,493,930,"[230, 56, 391, 158]",0.8594105566965314,0.753479318735033,1154.189790948294
case055,538,831,"[420, 171, 509, 269]",0.7082995951419956,0.5483466541301546,1125.597249949351
case056,469,433,"[83, 18, 298, 146]",0.9582023518453934,0.9197586052749577,1139.7887910716236
