sample_id,height,width,bbox,dice,iou,infer_ms
100_IM-0246-0030_anon,768,1024,"[293, 365, 478, 539]",0.923487126981096,0.857850519140898,1271.455500042066
100_IM-0246-0082_anon,768,1024,"[236, 220, 673, 533]",0.8011342827545177,0.6682435499075107,1140.185666969046
101_IM-0027-0028_anon,480,640,"[129, 171, 476, 337]",0.9468951655559152,0.899146157709719,1130.2327499724925
102_IM-0262-0010_anon,768,1024,"[293, 214, 602, 577]",0.9320180460770432,0.8726908190288443,1107.9883750062436
103_IM-0714-0081_anon,768,1024,"[140, 299, 718, 633]",0.8908554299354269,0.8031914449922172,1100.382582983002
104_IM-0112-0030_anon,768,1024,"[129, 253, 718, 633]",0.8674346712266315,0.7659025481259604,1141.0405829083174
104_IM-0112-0078_anon,768,1024,"[223, 319, 811, 590]",0.9154456936114457,0.8440754771052323,1113.7805830221623
105_IM-0418-0051_anon,768,1024,"[271, 304, 797, 597]",0.8634332360126387,0.7596854521625374,1141.0052500432357
106_IM-0451-0008_anon,768,1024,"[396, 267, 779, 587]",0.8240423953872393,0.7007415846922576,1128.1917080050334
107_IM-0250-0022_anon,768,1024,"[325, 308, 899, 617]",0.9133630930643252,0.84054120307769,1111.6866249358281
108_IM-0831-0005_anon,768,1024,"[363, 281, 693, 539]",0.8049970317218762,0.6736360101948718,1149.8949159868062
10_IM-0415-0078_anon,768,1024,"[297, 123, 641, 490]",0.7954420370432885,0.6603601167442481,1115.2275000931695
110_IM-0026-0001_anon,768,1024,"[310, 306, 864, 582]",0.8000862343700298,0.6667864452325787,1121.836791979149
110_IM-0026-0005_anon,768,1024,"[159, 334, 828, 685]",0.8527002710787106,0.7432236316140695,1111.454208032228
111_IM-0490-0016_anon,768,1024,"[433, 293, 897, 571]",0.8759123062117691,0.7792206169074914,1153.2868340145797
112_IM-0503-0038_anon,720,960,"[320, 372, 530, 514]",0.9172217384141226,0.8471002521520533,1103.7495420314372
113_IM-0536-0008_anon,768,1024,"[266, 275, 751, 551]",0.7193535720421307,0.5617113016816402,1114.042375003919
116_IM-0407-0048_anon,768,1024,"[102, 271, 708, 587]",0.8053758669811617,0.6741667481184846,1131.3492500921711
117_IM-0149-0027_anon,768,1024,"[358, 380, 582, 574]",0.8866837714305326,0.7964347852630272,1105.2783339982852
117_IM-0149-0055_anon,768,1024,"[244, 399, 744, 649]",0.9190523470682388,0.8502283571046041,1109.405625029467
118_IM-0230-0053_anon,768,1024,"[318, 392, 598, 605]",0.8846962278637293,0.7932334221099189,1121.1973750032485
119_IM-0855-0017_anon,768,1024,"[105, 237, 695, 497]",0.77921324430441,0.6382877604700433,1112.9883750109002
11_IM-0288-0017-0002_anon,768,1024,"[399, 324, 722, 617]",0.6889994812605621,0.5255524093332107,1112.2854170389473
121_IM-0084-0022_anon,768,1024,"[332, 393, 642, 625]",0.793748287514865,0.6580287342180132,1116.5093339513987
121_IM-0084-0066_anon,768,1024,"[272, 285, 659, 553]",0.7079965812478664,0.5479835199907679,1115.6785000348464
122_IM-0144-0001_anon,768,1024,"[178, 253, 670, 514]",0.7486662379421352,0.5982946042396765,1105.4174590390176
124_IM-0005-0003_anon,720,960,"[350, 240, 712, 498]",0.6866622407688664,0.5228375076727378,1107.9991669394076
125_IM-0277-0039_anon,768,1024,"[255, 329, 721, 656]",0.8938021368645043,0.8079948141746102,1107.6008329400793
126_IM-0068-0002_anon,768,1024,"[336, 357, 719, 639]",0.9006316774545816,0.8192265130664502,1109.5074580516666
127_IM-0676-0025_anon,768,1024,"[330, 380, 602, 629]",0.9478548526642631,0.9008784149833796,1109.7461249446496
128_IM-0894-1024_anon,970,1552,"[501, 387, 780, 621]",0.8295303185798383,0.7087157674800931,1115.91791594401
129_IM-0531-0078_anon,768,1024,"[318, 297, 566, 573]",0.9132004107653134,0.8402656937038375,1105.1381670404226
12_IM-0464-17664_anon,873,1164,"[237, 347, 748, 631]",0.9498093630851953,0.9044161409356116,1100.4259169567376
130_IM-0650-0033_anon,768,1024,"[581, 244, 767, 527]",0.958267982901258,0.9198795536399836,1109.2520829988644
130_IM-0650-0053_anon,768,1024,"[294, 292, 716, 556]",0.9274458264686324,0.8647076757111859,1109.0848749736324
131_IM-0052-0002_anon,480,640,"[131, 151, 440, 380]",0.8763383185040411,0.7798951703482254,1096.8883750028908
132_IM-0115-17408_anon,970,1552,"[479, 396, 892, 622]",0.6957480994748318,0.5334461074541814,1128.7460000021383
132_IM-0115-9216_anon,970,1552,"[321, 414, 939, 706]",0.8157270877818393,0.6887999204963521,1125.077958102338
133_IM-0658-0032_anon,720,960,"[426, 257, 613, 459]",0.7197579767553824,0.5622046173201992,1108.8405420305207
134_IM-0111-0012_anon,768,1024,"[124, 274, 737, 581]",0.9193865574915933,0.8508005928164701,1111.9726670440286
135_IM-0132-0054_anon,768,1024,"[185, 337, 717, 615]",0.8348158169972348,0.7164668291719055,1107.0729580242187
136_IM-0343-0009_anon,768,1024,"[239, 319, 748, 632]",0.9076291105595015,0.8308799871300008,1114.0558749902993
137_IM-0008-9984_anon,970,1552,"[489, 308, 921, 614]",0.8110813571821599,0.6822008907689815,1104.544874979183
138_IM-0235-0045_anon,768,1024,"[260, 343, 763, 651]",0.8385285783029547,0.7219536896377368,1108.473249943927
139_IM-0323-0015_anon,768,1024,"[255, 274, 597, 605]",0.7920052450678619,0.6556363277524143,1101.3540000421926
13_IM-0293-0055_anon,768,1024,"[93, 304, 612, 656]",0.5670711951115778,0.3957427564977789,1109.578791889362
140_IM-0392-0022_anon,768,1024,"[217, 273, 771, 565]",0.9297662916989943,0.8687507078944486,1100.9127909783274
141_IM-0120-0035_anon,768,1024,"[179, 312, 665, 598]",0.8297758457682908,0.709074276725283,1114.8200000170618
142_IM-0068-0078_anon,720,960,"[352, 272, 578, 437]",0.8235686536122466,0.7000567063612195,1108.6144589353353
143_IM-0391-0056_anon,768,1024,"[188, 277, 763, 548]",0.8793023716720679,0.7846026880452919,1099.1781250340864
144_IM-0257-0061_anon,768,1024,"[387, 422, 661, 594]",0.9079827776808186,0.8314729466926416,1109.9368749419227
145_IM-0003-0022_anon,768,1024,"[355, 297, 750, 592]",0.6414328085786263,0.4721391865113277,1108.474458917044
146_IM-0058-10752_anon,970,1552,"[417, 392, 1046, 704]",0.8005204561356214,0.6673898360588859,1121.3161250343546
147_IM-0010-0029_anon,768,1024,"[323, 265, 752, 638]",0.8665468816492569,0.7645193856011944,1104.310583905317
148_IM-0259-0004_anon,768,1024,"[275, 211, 795, 554]",0.8876350643126327,0.7979710936898072,1099.1088330047205
149_IM-0187-0007_anon,768,1024,"[296, 449, 772, 648]",0.8426206119767341,0.7280418337291281,1113.764625042677
14_IM-0699-0002_anon,720,960,"[274, 180, 636, 412]",0.9374959528589055,0.8823457711821976,1111.6472909925506
150_IM-0469-0037_anon,768,1024,"[346, 258, 845, 519]",0.9054009150627557,0.8271529983187159,1108.4412499330938
151_IM-0023-0006_anon,768,1024,"[291, 248, 768, 526]",0.9244918931262889,0.8595861688236005,1097.9087090818211
152_IM-0047-0021_anon,768,1024,"[159, 327, 643, 581]",0.8650453763568501,0.7621849881364507,1113.5232499800622
153_IM-0540-0002_anon,768,1024,"[82, 191, 756, 626]",0.8790371707529752,0.7841804811168,1110.0607080152258
154_IM-0694-0004_anon,720,960,"[168, 231, 658, 451]",0.9317892864524334,0.8722897782572647,1115.0208330946043
155_IM-0132-0002_anon,768,1024,"[220, 223, 749, 533]",0.8817847127840813,0.7885643514850506,1112.537291017361
156_IM-0209-0052_anon,768,1024,"[210, 301, 816, 639]",0.8794650861114376,0.7848618326933348,1114.0567919937894
