sample_id,height,width,bbox,dice,iou,infer_ms
100,564,623,"[59, 44, 432, 289]",0.7528279770166367,0.6036280185437641,1337.321333005093
1002,543,592,"[339, 101, 586, 311]",0.7936503658586164,0.6578941489243633,1146.2400000309572
1004,539,818,"[321, 177, 431, 256]",0.8988480353480363,0.8162797363143934,1139.8635000223294
1010,729,949,"[367, 101, 797, 457]",0.7438062269809134,0.5921110603766959,1124.8720419825986
1012,365,485,"[263, 141, 307, 188]",0.7158871279485277,0.5574954846504666,1152.1788330283016
102,340,796,"[289, 86, 465, 168]",0.7312207219621212,0.5763183042311039,1138.2882499601692
1020,622,840,"[205, 76, 587, 404]",0.7948653491295272,0.6595655917414801,1131.2380420276895
1024,547,927,"[232, 53, 740, 250]",0.8705032325323889,0.7707000653787774,1140.0251659797505
1026,597,900,"[163, 88, 449, 364]",0.805479452054813,0.6743119266055565,1123.2785840984434
1029,547,928,"[473, 40, 781, 314]",0.8765740740740836,0.7802686887002692,1109.058832982555
103,453,780,"[284, 117, 498, 280]",0.8635226396283107,0.7598238818817625,1123.437250033021
1031,545,859,"[338, 112, 675, 402]",0.7393327424664679,0.5864614457529331,1101.0657089063898
1033,473,592,"[106, 116, 162, 194]",0.8541631048044894,0.745449119666531,1110.2109999628738
1034,644,1059,"[404, 205, 530, 308]",0.8652092442224453,0.76243945398529,1103.5567079670727
1036,336,368,"[215, 57, 294, 127]",0.8203585307762061,0.695430393199372,1105.128249968402
1038,624,910,"[194, 56, 909, 511]",0.9307995291561042,0.8705566023754624,1112.7327079884708
1040,584,661,"[331, 119, 660, 377]",0.8266168633575512,0.7044731064764401,1107.119542080909
1042,548,806,"[521, 148, 696, 325]",0.9403740653661349,0.8874585215688292,1112.5497920438647
1044,492,743,"[224, 50, 402, 216]",0.8552534539554906,0.7471116265087201,1113.6117500718683
1046,501,592,"[311, 171, 417, 275]",0.8288449266114685,0.7077157802967439,1111.0213750507683
1048,547,929,"[138, 97, 344, 278]",0.8487184744720425,0.7371945572416695,1115.1850830065086
1050,425,743,"[98, 135, 204, 244]",0.7493991441469317,0.5992312740230624,1112.7515829866752
1052,535,1048,"[461, 149, 595, 281]",0.7527582514781654,0.6035383696628818,1115.2989999391139
1054,629,875,"[257, 165, 771, 560]",0.6531119589248717,0.48490441596285483,1100.4287080140784
1056,555,750,"[236, 96, 405, 297]",0.9054760806030023,0.8272784765653056,1110.395499970764
1058,336,569,"[113, 39, 421, 175]",0.8985006873181965,0.8157069886232251,1109.6533329691738
1062,336,466,"[308, 75, 381, 161]",0.8016961835871768,0.6690258118241694,1107.2617919417098
1064,590,831,"[416, 140, 822, 472]",0.7351401803501756,0.5812028882012551,1102.7289999183267
1066,424,592,"[239, 106, 329, 185]",0.7038123167158898,0.5429864253401937,1110.9918330330402
1068,562,864,"[124, 85, 462, 306]",0.9405690127178898,0.887805835404964,1107.8104169573635
107,565,702,"[224, 131, 560, 356]",0.9000317878388902,0.8182343615826972,1110.7862089993432
