sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
case001,,,,,,,537,485,"[167, 4, 430, 216]",0.2656475202608511,0.15316812664332521,0.17261338164399545,0.576209512095121,0.7763237082508415,0.6762666101729813,179.4062152532328,84.52534639915106,2.338150881508815,72.96946550013672
case002,,,,,,,572,761,"[308, 199, 446, 299]",0.8450362247895046,0.7316560423165605,0.7316560423165605,1.0,0.9906785111059285,0.9953392555529643,16.55294535724685,9.085410967047805,0.3667624432292149,72.96946550013672
case003,,,,,,,532,545,"[144, 159, 327, 209]",0.5830697674418605,0.4115021008403361,0.44724574255541816,0.8373708585678661,0.9795657097838397,0.9084682841758529,52.47945657654222,15.325738625350576,0.8722835767723548,72.96946550013672
case004,,,,,,,537,485,"[262, 146, 313, 196]",0.5204198037873603,0.35173477255204316,0.35173477255204316,1.0,0.9837157775677476,0.9918578887838738,26.1725046566048,17.431491208875848,1.8430512932924157,72.96946550013672
case005,,,,,,,538,831,"[256, 31, 642, 307]",0.9419484293555976,0.8902670299727521,0.9004641112985194,0.987439706966792,0.9752193590352319,0.9813295330010119,23.42647918646382,8.607436002630642,0.09658974141995381,72.96946550013672
case006,,,,,,,537,485,"[145, 41, 419, 238]",0.7759178346479033,0.6338772482848136,0.6991989091528891,0.8715475482280955,0.9627539455744984,0.9171507469012969,53.2182907639206,16.741569220661983,0.24649443358545084,72.96946550013672
case007,,,,,,,537,485,"[63, 93, 436, 302]",0.4527412160766155,0.2926085931977064,0.29296758261635497,0.9958297690333618,0.5969188968646458,0.7963743329490038,172.1428179383368,73.06749272777671,2.3991124893071003,72.96946550013672
case008,,,,,,,569,794,"[347, 94, 482, 221]",0.6095109172495049,0.4383428282973967,0.4385483929151185,0.9989317995069844,0.9645963750181977,0.981764087262591,104.12012293500234,35.70455062351084,1.2778142974527527,72.96946550013672
case009,,,,,,,338,476,"[117, 80, 354, 174]",0.7394088491733295,0.5865572264952359,0.5944735311227458,0.9778011673524065,0.9536616656806504,0.9657314165165285,27.276338705824063,11.623021581733134,0.6448186776385035,72.96946550013672
case010,,,,,,,469,433,"[166, 22, 263, 133]",0.8218603676008107,0.6975916478823111,0.7596899224806202,0.8951134114781549,0.9905347364992774,0.9428240739887161,19.313207915827967,7.847656196683806,0.17826153143553053,72.96946550013672
case011,,,,,,,542,789,"[238, 69, 569, 355]",0.849830145655917,0.7388736041430652,0.7501290958595437,0.9800966035421299,0.9412537283781659,0.9606751659601479,71.52376700531308,20.56213191375084,0.3065705742543893,72.96946550013672
