sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
train/1,train/1,,1,ovarian_tumor,,#ffffff,537,959,"[[278, 68, 455, 300]]",0.5787950539331754,0.4072565716401333,0.5860415556739478,0.5717255717255717,0.9777111630642131,0.7747183673948924,48.317673159060995,25.182164506567627,-0.02442827442827443,62.02839869001764
train/2,train/2,,1,ovarian_tumor,,#ffffff,536,959,"[[243, 93, 451, 306]]",0.9446165698112575,0.8950458599130408,0.9748358105772554,0.9162145479354147,0.998493511545951,0.9573540297406828,11.0,5.014878970882664,-0.06013449855430298,62.02839869001764
train/4,train/4,,1,ovarian_tumor,,#ffffff,535,478,"[[10, 43, 150, 248]]",0.9453446973783579,0.8963541879782315,0.9056556970398545,0.9886717515909194,0.9902300351496106,0.989450893370265,9.219544457292887,4.179993244708261,0.09166403393961277,62.02839869001764
train/6,train/6,,1,ovarian_tumor,,#ffffff,534,958,"[[245, 165, 649, 408]]",0.8978207249877943,0.8145868329613181,0.8366994811917227,0.9685755718507169,0.9684863025570385,0.9685309372038777,49.25444142409901,15.665276051631741,0.15761464375615628,62.02839869001764
train/7,train/7,,1,ovarian_tumor,,#ffffff,531,957,"[[248, 143, 647, 400]]",0.19143392125283157,0.10584845281707476,0.20742884708152437,0.17772915147094578,0.8688399110603958,0.5232845312656708,106.16779460129703,45.3502233560883,-0.14318016046681253,62.02839869001764
train/9,train/9,,1,ovarian_tumor,,#ffffff,536,480,"[[40, 155, 396, 406]]",0.7992223016440314,0.6655872296248321,0.6665458499456325,0.9978438736024445,0.8132947390345373,0.9055693063184909,104.04662397454702,31.4481181360013,0.4970371110762069,62.02839869001764
train/10,train/10,,1,ovarian_tumor,,#ffffff,542,483,"[[88, 91, 372, 265]]",0.937400281557954,0.8821762939409998,0.9202137460843929,0.9552410099464422,0.9865402548958657,0.9708906324211539,14.035668847618199,6.083833823686406,0.03806426931905126,62.02839869001764
train/11,train/11,,1,ovarian_tumor,,#ffffff,530,480,"[[39, 151, 402, 400]]",0.7787904818215285,0.637720612416414,0.638525564803805,0.99802710585006,0.7857437165224557,0.8918854111862579,108.18964830333815,35.16689819088635,0.5630182421227198,62.02839869001764
train/13,train/13,,1,ovarian_tumor,,#ffffff,530,958,"[[229, 146, 623, 411]]",0.8621132404493308,0.7576441444751179,0.8206282615368874,0.9080159009711669,0.9631591974743606,0.9355875492227638,54.09620771460263,21.968911101848178,0.10648870326573744,62.02839869001764
train/14,train/14,,1,ovarian_tumor,,#ffffff,532,959,"[[344, 78, 631, 285]]",0.8900844541757899,0.8019389020403562,0.9422266959815634,0.8434106321430265,0.9953398829949531,0.9193752575689897,33.17826594181278,11.303241331080875,-0.1048750414947598,62.02839869001764
train/17,train/17,,1,ovarian_tumor,,#ffffff,536,959,"[[321, 88, 612, 270]]",0.8894791080136412,0.8009566631589018,0.8011866028708134,0.9996418081524464,0.977998377623918,0.9888200928881822,20.60946116655973,12.510850800631479,0.24770160231153138,62.02839869001764
train/18,train/18,,1,ovarian_tumor,,#ffffff,533,958,"[[211, 124, 611, 468]]",0.8945209609794117,0.8091704405104981,0.9172675300431689,0.872875240093706,0.9831385464100155,0.9280068932518608,34.40930106817051,16.170844259059177,-0.048396229557339375,62.02839869001764
