sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
100,,,,,,,564,623,"[99, 85, 472, 330]",0.9644903086626809,0.9314160135160885,0.9414740626605034,0.9886601135337028,0.9835575324033491,0.986108822968526,11.180339887498949,5.008136389545317,0.050119331742243436,71.01673481270154
1002,,,,,,,543,592,"[341, 61, 588, 271]",0.945001081236935,0.8957365400382619,0.9351371914974559,0.9550752792617776,0.9902667370734561,0.9726710081676169,13.92838827718412,5.880136658973151,0.021321029626032054,71.01673481270154
1004,,,,,,,539,818,"[327, 186, 437, 265]",0.6108496172681025,0.43972893421863235,0.45402501943600254,0.9331783846600813,0.9822011990286117,0.9576897918443465,52.83983540129621,23.28792576458382,1.0553457292271935,71.01673481270154
1010,,,,,,,729,949,"[305, 168, 735, 524]",0.8106144721498435,0.6815405544870291,0.975531800601633,0.693393659975373,0.9968963884318074,0.8451450242035902,79.16840006645491,27.82323414747957,-0.28921470366446167,71.01673481270154
1012,,,,,,,365,485,"[271, 133, 315, 180]",0.8943720543387857,0.808926780341023,0.8171225937183384,0.9877526025719534,0.9979417533296844,0.9928471779508189,5.0,2.3691882762190613,0.2088181261481935,71.01673481270154
102,,,,,,,340,796,"[310, 81, 486, 163]",0.902400629673357,0.822158479741843,0.8231619758759334,0.9985194217035359,0.9904961452087144,0.9945077834561251,12.041594578792296,5.757487666466569,0.21302908900888348,71.01673481270154
1020,,,,,,,622,840,"[246, 120, 628, 448]",0.9342158410751662,0.8765525676583575,0.8790891735701389,0.9967189351720356,0.9667038553305469,0.9817113952512913,25.078875196184626,11.528977321745534,0.13380867964074789,71.01673481270154
1024,,,,,,,547,927,"[293, 53, 801, 250]",0.7987786114990414,0.6649720186017183,0.6980390534502731,0.9334993084370677,0.932847098114171,0.9331732032756194,78.87236514024505,28.810154341357084,0.3373167358229599,71.01673481270154
1026,,,,,,,597,900,"[144, 59, 430, 335]",0.7725189448191453,0.6293530491232908,0.6293530491232908,1.0,0.9268948404603646,0.9634474202301824,101.1338222299495,33.797711101006556,0.5889332726567899,71.01673481270154
1029,,,,,,,547,928,"[442, 62, 750, 336]",0.911176549324053,0.8368450815037003,0.854524685236559,0.9758733890505612,0.9735325755551445,0.9747029823028528,25.0,13.032336982024932,0.1420072537523116,71.01673481270154
103,,,,,,,453,780,"[257, 107, 471, 270]",0.8737100267550006,0.7757416362659427,0.7757416362659427,1.0,0.9756680545796526,0.9878340272898263,20.600967420419718,11.78064853830844,0.2890889869126171,71.01673481270154
1031,,,,,,,545,859,"[280, 55, 617, 345]",0.9117034568929613,0.837734404898584,0.9088015499584833,0.9146239554317549,0.9833734909361557,0.9489987231839553,24.410035236082614,12.264757522192934,0.006406685236768802,71.01673481270154
1033,,,,,,,473,592,"[101, 117, 157, 195]",0.4125843263350356,0.2599094447533561,0.25997139679008424,0.9990839694656488,0.9663439822794598,0.9827139758725543,101.0,32.549263273029,2.843053435114504,71.01673481270154
1034,,,,,,,644,1059,"[400, 207, 526, 310]",0.711722584278703,0.5524606545091182,0.5597317134902556,0.9770267285177822,0.9896603273387603,0.9833435279282712,57.0,19.49018653777528,0.7455268389662028,71.01673481270154
1036,,,,,,,336,368,"[226, 59, 305, 129]",0.8945814684315779,0.8092694693314956,0.8096879848302017,0.9993617021276596,0.9907186333523893,0.9950401677400245,10.0,4.083309263258686,0.23425531914893616,71.01673481270154
1038,,,,,,,624,910,"[153, 81, 889, 536]",0.9184389229821404,0.8491789714867617,0.8636771155308853,0.9806152410141077,0.857570869643141,0.9190930553286243,42.01190307520001,22.758207376828526,0.13539565119928268,71.01673481270154
1040,,,,,,,584,661,"[290, 104, 623, 362]",0.9287817074646126,0.8670330911418138,0.8684061686965047,0.9981796905473931,0.9669512791780432,0.9825654848627181,22.750681050778756,10.436005616042445,0.1494387379187795,34.78480412513818
1042,,,,,,,548,806,"[528, 156, 703, 333]",0.8199296677293193,0.6948142371748455,0.6948142371748455,1.0,0.9737054278446994,0.9868527139223497,31.189480653382393,16.881594259459035,0.43923360590027255,34.78480412513818
