sample_id,height,width,bbox,dice,iou,infer_ms
case001,537,485,"[167, 4, 430, 216]",0.5733517486625751,0.4018872543566195,36.911190625005474
case002,572,761,"[308, 199, 446, 299]",0.7428928105318374,0.5909542294848867,36.911190625005474
case003,532,545,"[144, 159, 327, 209]",0.6415525114158971,0.4722689075638315,36.911190625005474
case004,537,485,"[262, 146, 313, 196]",0.7991729128979086,0.6655187257870618,36.911190625005474
case005,538,831,"[256, 31, 642, 307]",0.8416362344671244,0.7265733438061819,36.911190625005474
case006,537,485,"[145, 41, 419, 238]",0.6842525447409213,0.5200485412348891,36.911190625005474
case007,537,485,"[63, 93, 436, 302]",0.7337083584314558,0.5794149896801504,36.911190625005474
case008,569,794,"[347, 94, 482, 221]",0.8627077090711601,0.7585628742516898,36.911190625005474
case009,338,476,"[117, 80, 354, 174]",0.656653023399623,0.48881862604225995,36.911190625005474
case010,469,433,"[166, 22, 263, 133]",0.8334889511361395,0.714514407684479,36.911190625005474
case011,542,789,"[238, 69, 569, 355]",0.8610957553301264,0.756073883612353,36.911190625005474
case012,469,433,"[105, 27, 298, 162]",0.8080257892397155,0.677888650564358,36.911190625005474
case013,538,831,"[270, 30, 517, 261]",0.8419498570193733,0.727040933523286,36.911190625005474
case014,532,545,"[127, 123, 452, 322]",0.8831336597562368,0.7907245727931141,36.911190625005474
case015,541,437,"[111, 256, 305, 370]",0.7893014941482717,0.6519389347004391,36.911190625005474
case016,526,623,"[220, 76, 336, 175]",0.8345232829975141,0.7160359969644192,36.911190625005474
case017,579,930,"[307, 152, 423, 247]",0.8263364119788509,0.7040658161443852,36.911190625005474
case018,537,485,"[190, 101, 337, 239]",0.8503104318756054,0.7396000237376182,36.911190625005474
case019,572,761,"[344, 67, 463, 171]",0.8207957204949177,0.6960589736322691,36.911190625005474
case020,609,761,"[397, 190, 503, 256]",0.8569911880243581,0.7497677874795657,36.911190625005474
case021,537,485,"[144, 22, 344, 128]",0.8358189848301107,0.7179458983947009,36.911190625005474
case022,538,831,"[292, 131, 623, 274]",0.5832968258394235,0.4117283256495526,36.911190625005474
case023,532,545,"[204, 205, 293, 254]",0.7499620003043777,0.5999513618686771,36.911190625005474
case024,469,433,"[144, 47, 280, 148]",0.7793308456139527,0.6384455958552969,36.911190625005474
case025,609,761,"[196, 230, 466, 376]",0.8344329640234378,0.7159030225356132,36.911190625005474
case026,518,727,"[207, 67, 391, 193]",0.8428401573123251,0.7283696912215574,36.911190625005474
case027,469,433,"[168, 13, 344, 216]",0.871641557731037,0.7724864059849089,36.911190625005474
case028,537,485,"[222, 106, 335, 217]",0.8383185587647479,0.7216423788896005,36.911190625005474
case029,483,930,"[255, 140, 421, 251]",0.7585310075782438,0.6109947265768901,36.911190625005474
case030,526,623,"[283, 127, 390, 206]",0.729360306178486,0.5740103270229862,36.911190625005474
case031,537,485,"[191, 81, 266, 149]",0.8026655786756389,0.6703771013183317,36.911190625005474
case032,537,485,"[223, 192, 318, 281]",0.7617826858610118,0.6152253543564019,36.911190625005474
case033,487,794,"[226, 91, 298, 141]",0.8204811844544099,0.6956066945617307,23.534884374953435
case034,469,433,"[171, 84, 229, 144]",0.7856834842609192,0.647017045455799,23.534884374953435
case035,532,545,"[183, 167, 343, 291]",0.8132453691957147,0.685268334402619,23.534884374953435
case036,537,485,"[47, 17, 484, 201]",0.4917804955527823,0.32606692467691784,23.534884374953435
case037,413,794,"[271, 37, 537, 196]",0.8406217774892409,0.7250625905917364,23.534884374953435
case038,385,930,"[0, 32, 929, 384]",0.8203639782345546,0.6954382225517367,23.534884374953435
case039,537,485,"[161, 79, 351, 139]",0.8099469686112871,0.680597374443357,23.534884374953435
case040,483,930,"[480, 49, 664, 165]",0.8430838051304106,0.7287336877720344,23.534884374953435
case041,413,794,"[372, 103, 577, 184]",0.8513519696207845,0.7411774077911725,23.534884374953435
case042,503,738,"[426, 38, 517, 125]",0.8945402809888898,0.8092020592023661,23.534884374953435
case043,537,485,"[160, 44, 337, 193]",0.8616710099452584,0.7569613156420496,23.534884374953435
case044,500,797,"[283, 145, 388, 229]",0.7481931193989128,0.5976905311784485,23.534884374953435
case046,598,517,"[170, 86, 328, 329]",0.8825940805116252,0.7898598576565449,23.534884374953435
case047,537,485,"[195, 104, 316, 230]",0.8544695407214374,0.7459160372389374,23.534884374953435
case048,580,711,"[336, 123, 487, 265]",0.8621296171019273,0.7576694411416423,23.534884374953435
case049,537,485,"[168, 134, 279, 211]",0.8261144768968025,0.7037436450474446,23.534884374953435
case050,469,433,"[236, 64, 303, 143]",0.8190070921988383,0.6934902714396025,23.534884374953435
case051,537,485,"[110, 63, 409, 191]",0.7839111679182409,0.644616698416986,23.534884374953435
case052,576,761,"[143, 96, 424, 276]",0.8574854451683943,0.7505247452141339,23.534884374953435
case053,537,485,"[145, 148, 390, 294]",0.7263713815954048,0.5703164730275906,23.534884374953435
case054,493,930,"[229, 58, 390, 160]",0.7998714721791893,0.6664881749222075,23.534884374953435
case055,538,831,"[428, 152, 517, 250]",0.7785564120534526,0.6374067699374105,23.534884374953435
case056,469,433,"[93, 21, 308, 149]",0.9090065426198531,0.8331915617557701,23.534884374953435
case057,618,676,"[218, 82, 307, 128]",0.7832486420189535,0.6437211981577081,23.534884374953435
case058,470,503,"[113, 89, 363, 224]",0.8165471021333263,0.6899700897309312,23.534884374953435
case059,532,545,"[198, 105, 337, 183]",0.760011910079083,0.6129187177336859,23.534884374953435
case060,532,545,"[242, 99, 323, 217]",0.8215404915060024,0.6971308607422013,23.534884374953435
case062,519,1024,"[458, 145, 547, 262]",0.8152476349472626,0.6881164866137996,23.534884374953435
case063,469,433,"[193, 76, 259, 128]",0.857830271216409,0.7510532363088814,23.534884374953435
case064,537,485,"[189, 135, 365, 217]",0.8529092166354574,0.7435411643130008,23.534884374953435
case065,532,545,"[236, 128, 335, 182]",0.7868991918335646,0.6486676016838507,23.534884374953435
case066,470,503,"[149, 123, 299, 260]",0.8291723528940238,0.7081933493317051,23.534884374953435
case067,532,545,"[194, 68, 404, 201]",0.8291756733072884,0.7081981937030547,23.009424999941075
case068,532,545,"[201, 22, 349, 100]",0.8255576758571919,0.7029359031827622,23.009424999941075
case069,537,485,"[218, 178, 329, 268]",0.767103580562846,0.6221962919750782,23.009424999941075
case070,526,623,"[283, 79, 390, 194]",0.8756936736959701,0.7788746298126807,23.009424999941075
case071,532,545,"[183, 58, 396, 147]",0.8303016522662459,0.7098425451955486,23.009424999941075
case072,470,503,"[141, 109, 369, 250]",0.8347932093191631,0.7164335257876869,23.009424999941075
case073,537,485,"[116, 9, 299, 215]",0.39551242554954935,0.2465038881246611,23.009424999941075
case074,385,930,"[472, 57, 598, 156]",0.794838030023838,0.659527972028344,23.009424999941075
case075,469,433,"[180, 72, 224, 125]",0.8018750000006192,0.6692749087132537,23.009424999941075
case076,537,485,"[146, 24, 383, 231]",0.8636256006685892,0.7599833304734245,23.009424999941075
case077,538,831,"[214, 44, 636, 420]",0.8826384065985937,0.7899308619618175,23.009424999941075
case078,470,503,"[56, 70, 456, 289]",0.9118910070543046,0.8380511630417402,23.009424999941075
case079,537,485,"[148, 125, 358, 342]",0.7738431832287819,0.6311127358624249,23.009424999941075
case080,609,761,"[382, 175, 557, 297]",0.7747678289820309,0.6323436874322794,23.009424999941075
case081,537,485,"[143, 212, 349, 303]",0.8222194420118344,0.6981091990654358,23.009424999941075
case082,537,485,"[146, 48, 336, 211]",0.8609316558993835,0.7558208955224792,23.009424999941075
case083,562,795,"[211, 80, 647, 281]",0.86714577597565,0.7654522158157481,23.009424999941075
case084,469,433,"[257, 129, 323, 186]",0.8993660855786463,0.8171346292303199,23.009424999941075
case085,289,930,"[374, 63, 829, 247]",0.33928915988122577,0.20430357391842044,23.009424999941075
case086,469,433,"[86, 107, 384, 267]",0.8698971931881736,0.7697504934460829,23.009424999941075
case087,537,485,"[163, 98, 296, 157]",0.7305848513904788,0.5755287009069856,23.009424999941075
case088,386,930,"[312, 44, 512, 292]",0.8261923756785354,0.7038567125990288,23.009424999941075
case089,537,485,"[167, 120, 257, 212]",0.7338374291117827,0.5795759928343094,23.009424999941075
