sample_id,height,width,bbox,dice,iou,infer_ms
100_IM-0246-0030_anon,768,1024,"[281, 366, 466, 540]",0.8558560728306506,0.7480318275587302,41.570637499944496
100_IM-0246-0082_anon,768,1024,"[170, 231, 607, 544]",0.8777395921223284,0.7821175780247385,41.570637499944496
101_IM-0027-0028_anon,480,640,"[132, 181, 479, 347]",0.8602667420708021,0.7547965597089491,41.570637499944496
102_IM-0262-0010_anon,768,1024,"[288, 186, 597, 549]",0.9018126154145263,0.8211828218687279,41.570637499944496
103_IM-0714-0081_anon,768,1024,"[229, 303, 807, 637]",0.7700585409727205,0.6260936529302374,41.570637499944496
104_IM-0112-0030_anon,768,1024,"[116, 282, 705, 662]",0.836206187326133,0.7185174712391034,41.570637499944496
104_IM-0112-0078_anon,768,1024,"[219, 353, 807, 624]",0.8411487667077687,0.7258470652165804,41.570637499944496
105_IM-0418-0051_anon,768,1024,"[255, 264, 781, 557]",0.8531643603437394,0.7439290608368858,41.570637499944496
106_IM-0451-0008_anon,768,1024,"[336, 246, 719, 566]",0.8858435127849466,0.7950799757036044,41.570637499944496
107_IM-0250-0022_anon,768,1024,"[310, 297, 884, 606]",0.8614520074654657,0.7566233598530947,41.570637499944496
108_IM-0831-0005_anon,768,1024,"[394, 252, 724, 510]",0.8826967025791803,0.7900242526955863,41.570637499944496
10_IM-0415-0078_anon,768,1024,"[315, 194, 659, 561]",0.8773390369639203,0.7814817347806335,41.570637499944496
110_IM-0026-0001_anon,768,1024,"[211, 289, 765, 565]",0.8899153719628127,0.8016644402475316,41.570637499944496
110_IM-0026-0005_anon,768,1024,"[115, 298, 784, 649]",0.8379422529483577,0.721084864391965,41.570637499944496
111_IM-0490-0016_anon,768,1024,"[450, 319, 914, 597]",0.7881851794239894,0.6504171809430116,41.570637499944496
112_IM-0503-0038_anon,720,960,"[322, 376, 532, 518]",0.832271132849209,0.7127263496362698,41.570637499944496
113_IM-0536-0008_anon,768,1024,"[183, 324, 668, 600]",0.8480045349002078,0.7361179454180953,41.570637499944496
116_IM-0407-0048_anon,768,1024,"[202, 241, 808, 557]",0.8812565369495481,0.7877199430034244,41.570637499944496
117_IM-0149-0027_anon,768,1024,"[392, 384, 616, 578]",0.8556808296518915,0.7477641306940891,41.570637499944496
117_IM-0149-0055_anon,768,1024,"[273, 383, 773, 633]",0.8128447832278404,0.6846996683702072,41.570637499944496
118_IM-0230-0053_anon,768,1024,"[326, 408, 606, 621]",0.8589222467850604,0.7527289392551135,41.570637499944496
119_IM-0855-0017_anon,768,1024,"[154, 287, 744, 547]",0.8767277831465494,0.7805123014637355,41.570637499944496
11_IM-0288-0017-0002_anon,768,1024,"[346, 280, 669, 573]",0.8177482861938744,0.6916871226697151,41.570637499944496
121_IM-0084-0022_anon,768,1024,"[338, 353, 648, 585]",0.8407081504504861,0.7251911162639533,41.570637499944496
