sample_id,height,width,bbox,dice,iou,infer_ms
100,564,623,"[99, 85, 472, 330]",0.9034280966658307,0.8238658075397842,2524.3766669999986
1002,543,592,"[341, 61, 588, 271]",0.857595957423952,0.7506940849842948,266.0772920000021
1004,539,818,"[327, 186, 437, 265]",0.8047113087885638,0.673235942668587,258.8419579999979
1010,729,949,"[305, 168, 735, 524]",0.8394366712893747,0.7233010474508043,260.4468749999995
1012,365,485,"[271, 133, 315, 180]",0.8695362028699715,0.7691853600958135,255.02462499999723
102,340,796,"[310, 81, 486, 163]",0.7893119433304915,0.651953192221948,255.53262500000073
1020,622,840,"[246, 120, 628, 448]",0.8954119760659899,0.8106298064657387,257.2959589999968
1024,547,927,"[293, 53, 801, 250]",0.8781617514022161,0.7827882072124659,266.8014169999999
1026,597,900,"[144, 59, 430, 335]",0.8662869588515538,0.7641148398311001,259.8348749999992
1029,547,928,"[442, 62, 750, 336]",0.8949786055877254,0.8099197084448765,247.1694169999985
103,453,780,"[257, 107, 471, 270]",0.8427237305956166,0.7281958101753855,261.51641699999925
1031,545,859,"[280, 55, 617, 345]",0.9005167682383619,0.8190363820242436,248.887332999999
1033,473,592,"[101, 117, 157, 195]",0.8352757001220469,0.7171445639196024,247.36341699999898
1034,644,1059,"[400, 207, 526, 310]",0.7832397003746587,0.6437091188922242,266.1197909999977
1036,336,368,"[226, 59, 305, 129]",0.7955998976723003,0.6605777400177133,257.3492090000009
1038,624,910,"[153, 81, 889, 536]",0.8159802431307812,0.6891610029281942,253.18216700000207
1040,584,661,"[290, 104, 623, 362]",0.8806806454818654,0.7868001584418359,269.93829200000266
1042,548,806,"[528, 156, 703, 333]",0.834485149659116,0.7159798516639369,254.17045800000082
1044,492,743,"[208, 70, 386, 236]",0.8529681269967426,0.7436307107696072,255.44908399999855
1046,501,592,"[309, 184, 415, 288]",0.8148046230050806,0.6874854887396243,247.63291700000067
1048,547,929,"[171, 94, 377, 275]",0.8125473617038622,0.6842777012730715,247.96970800000295
1050,425,743,"[78, 120, 184, 229]",0.7371174470312993,0.583678541839702,242.65308300000044
1052,535,1048,"[465, 174, 599, 306]",0.8462608695652842,0.7334941211940508,240.56862500000165
1054,629,875,"[305, 92, 819, 487]",0.8878566025412499,0.7983292483415454,241.38370800000075
1056,555,750,"[242, 104, 411, 305]",0.8277099319140111,0.7060623939819655,241.51733400000097
1058,336,569,"[82, 44, 390, 180]",0.8438355271732302,0.7298576863464198,241.80483299999977
1062,336,466,"[298, 65, 371, 151]",0.8673994387279379,0.7658476151150819,248.20808300000152
1064,590,831,"[343, 102, 749, 434]",0.8935973942607216,0.8076602401561094,250.2510409999985
1066,424,592,"[228, 120, 318, 199]",0.8330893118596181,0.7139272271021438,257.91150000000584
1068,562,864,"[120, 81, 458, 302]",0.8987354485277427,0.8160940505405889,244.46324999999547
107,565,702,"[201, 125, 537, 350]",0.875520632809503,0.7786008870905332,246.78308400000049
1072,426,635,"[269, 50, 336, 127]",0.8374040474531229,0.72028811524677,253.39937500000076
1074,547,927,"[488, 114, 828, 413]",0.8527109055897325,0.7432397899921313,250.50745900000493
1080,581,807,"[408, 249, 539, 387]",0.83038196985225,0.7099599599601414,241.58691600000282
1082,622,927,"[177, 76, 550, 408]",0.9047512758337356,0.8260692351159483,249.14537499999767
1084,525,925,"[96, 119, 400, 313]",0.8986833420961486,0.8160081259522974,258.66245899999996
1086,629,1102,"[417, 104, 746, 326]",0.8469866340396486,0.7345852693860259,257.5782500000017
1088,350,744,"[0, 79, 446, 349]",0.8655560944670435,0.7629783105586172,251.7454169999951
109,601,763,"[467, 213, 618, 365]",0.8113760196529838,0.6826179120298449,247.76562499999955
1090,384,617,"[122, 72, 226, 163]",0.788162762022369,0.6503866503871247,244.12625000000077
1092,500,926,"[575, 104, 821, 284]",0.852659582941734,0.7431618116687282,250.68933300000396
1094,206,313,"[58, 34, 169, 117]",0.8896735718770483,0.8012720848059346,244.8304580000027
1100,501,559,"[162, 89, 477, 277]",0.8613846832280033,0.7565194939324005,246.23995799999676
1102,501,621,"[160, 52, 463, 312]",0.9157913063664396,0.844663312279223,251.62833300000642
1104,571,858,"[246, 207, 426, 375]",0.8897319400272854,0.8013667798830456,246.09866699999827
1108,580,1024,"[130, 59, 594, 402]",0.893317644348267,0.8072032953143033,248.00474999999977
111,602,460,"[52, 99, 357, 312]",0.9044980047288483,0.8256470628380636,253.39587499999539
1110,578,1024,"[125, 72, 525, 436]",0.8832263242375655,0.7908731584621084,259.0672910000009
1120,467,1024,"[438, 107, 717, 352]",0.82395765023429,0.7006190299171339,253.04016700000176
1122,465,1024,"[168, 87, 501, 342]",0.8826907054770445,0.7900146448293286,253.2523749999953
1124,522,1024,"[220, 73, 653, 391]",0.8709374970102336,0.7713811190292789,254.72637499999706
1125,522,1024,"[138, 56, 579, 427]",0.8629985274903099,0.7590126735591936,254.89750000000555
1126,465,1024,"[281, 126, 625, 363]",0.834610046682663,0.7161637564378619,245.0087080000003
1128,521,1024,"[224, 83, 555, 325]",0.8293131091135244,0.7083987320346369,243.42333399999916
113,660,502,"[5, 94, 486, 445]",0.8958621318756922,0.8113679982714254,241.83229099999437
1130,581,1024,"[160, 56, 627, 428]",0.8638719466394307,0.7603649466133509,242.41316599999863
1132,581,1024,"[82, 113, 636, 526]",0.7822044558745483,0.6423118064833215,242.19500000000238
1134,447,494,"[124, 67, 370, 274]",0.9129716225738373,0.8398783707335847,242.3100840000032
1136,447,578,"[224, 127, 310, 246]",0.8058412499020132,0.6748191978965485,241.89616700000016
1141,490,962,"[471, 252, 519, 310]",0.8179071683608407,0.6919144981426956,241.89737500000064
1142,609,1246,"[558, 109, 966, 520]",0.8033191887521933,0.6712894375857563,258.78141599999793
1144,546,922,"[358, 211, 487, 314]",0.8645498870258862,0.761416003351737,247.6967500000029
1148,500,720,"[332, 207, 496, 349]",0.8851361021267181,0.793940949935921,250.1603750000001
1150,512,846,"[253, 101, 560, 268]",0.7739281759215639,0.6312258064516995,250.06625000000327
1152,499,560,"[32, 55, 470, 477]",0.7714728992542992,0.627965715030655,248.4193339999976
1156,500,720,"[186, 93, 502, 341]",0.9233473007607564,0.8576092377915364,248.97495900000166
1158,500,504,"[44, 51, 458, 322]",0.8750734582169732,0.7778938674786533,246.96262499999477
1160,500,720,"[297, 66, 515, 280]",0.8658918797330936,0.7635002908976138,246.5326250000004
1162,500,720,"[162, 106, 619, 441]",0.8769605817701067,0.7808813898557176,262.53425000000163
1164,500,720,"[200, 162, 446, 338]",0.8914534846445004,0.8041642567958924,254.6112499999964
1168,500,720,"[228, 82, 474, 241]",0.7685570396321897,0.624110953058443,247.06591600000394
117,600,654,"[233, 164, 391, 314]",0.7846461221772161,0.6456112384180305,244.59725000000532
1172,500,720,"[265, 97, 567, 369]",0.8890804237447589,0.8003103399633517,251.54683299999903
1174,499,630,"[83, 68, 540, 387]",0.8931740786867515,0.8069688841647381,258.7500420000026
1176,500,720,"[131, 41, 547, 342]",0.8962032372615464,0.8119277638014896,259.3835840000054
1181,500,720,"[329, 172, 559, 345]",0.8728688879273262,0.7744164619165312,248.3278750000011
1182,500,720,"[353, 131, 404, 211]",0.8625385872528373,0.7583014048539007,262.316792
1184,500,720,"[313, 134, 533, 336]",0.8477719167664723,0.735767448392154,254.80404099999987
1186,500,720,"[62, 67, 572, 359]",0.833779708266993,0.7149418631946515,248.90083399999696
1188,428,852,"[326, 140, 494, 248]",0.7317190352648546,0.5769376467917441,248.16049999999734
1190,500,720,"[273, 136, 401, 244]",0.7610582010583274,0.6142808336183684,245.02079199999827
1192,500,720,"[155, 115, 571, 384]",0.8898393622977662,0.8015410852068505,253.93504200000194
1194,500,720,"[248, 143, 403, 254]",0.8262220966375501,0.7038998555611428,259.1018749999989
1196,500,720,"[140, 75, 538, 339]",0.8898634640627177,0.8015801978010054,254.9553340000017
12,603,573,"[128, 119, 388, 417]",0.8669997299487014,0.765224645453497,249.8060419999959
1200,500,504,"[69, 74, 497, 411]",0.8893271836314416,0.8007103176785969,248.74479199999655
1202,499,630,"[180, 71, 547, 399]",0.8459413088527014,0.7330141138764183,248.07241700000304
1206,485,852,"[320, 131, 489, 223]",0.7805044974580658,0.6400224484890242,244.58095899999677
121,660,502,"[130, 138, 318, 308]",0.8983409514135986,0.815443718786087,251.39120900000478
