sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
patient0001_2CH_ED_f000__lv,patient0001_2CH_ED_f000,patient0001_2CH_ED_f000__lv,1,LV,0,#1f77b4,549,389,"[53, 218, 283, 380]",0.8972546932938692,0.8136554178352785,0.8620359128378811,0.935473804653098,0.9766240796881767,0.9560489421706373,19.697715603592208,8.737799672134642,0.08519122083145522,987.4040077500013
patient0001_2CH_ED_f000__la,patient0001_2CH_ED_f000,patient0001_2CH_ED_f000__la,3,LA,0,#2ca02c,549,389,"[284, 259, 388, 378]",0.8205810147299509,0.6957502168256722,0.8990249915947551,0.7547276319503246,0.9955600890938837,0.8751438605221041,20.243515068284605,9.161366884313841,-0.16050428074136797,987.4040077500013
patient0001_2CH_ES_f000__lv,patient0001_2CH_ES_f000,patient0001_2CH_ES_f000__lv,1,LV,0,#1f77b4,549,389,"[64, 241, 249, 343]",0.9378113910892864,0.882904771546197,0.9927904682401153,0.8886020921070507,0.9995222265249775,0.9440621593160141,6.082762530298219,3.366219254143917,-0.10494498030158946,987.4040077500013
patient0001_2CH_ES_f000__la,patient0001_2CH_ES_f000,patient0001_2CH_ES_f000__la,3,LA,0,#2ca02c,549,389,"[246, 242, 388, 382]",0.9315695122705075,0.8719046517009952,0.9778729478943612,0.8894528713923154,0.998265672522353,0.9438592719573342,16.1245154965971,4.436937626695039,-0.0904208227586614,987.4040077500013
patient0001_4CH_ED_f000__lv,patient0001_4CH_ED_f000,patient0001_4CH_ED_f000__lv,1,LV,0,#1f77b4,549,389,"[48, 210, 287, 397]",0.8827586206896552,0.7901234567901234,0.8820065169950077,0.8835120081451758,0.9780925474698474,0.9308022778075116,34.99714227381436,11.49527643789791,0.0017068934539138767,175.71340750009767
patient0001_4CH_ED_f000__la,patient0001_4CH_ED_f000,patient0001_4CH_ED_f000__la,3,LA,0,#2ca02c,549,389,"[284, 249, 388, 381]",0.8383407734363244,0.7216753022452504,0.9800633282514366,0.7324276950043821,0.9991590444766536,0.8657933697405178,19.0,7.9826715523584895,-0.2526730937773883,175.71340750009767
patient0001_4CH_ES_f000__lv,patient0001_4CH_ES_f000,patient0001_4CH_ES_f000__lv,1,LV,0,#1f77b4,549,389,"[54, 243, 247, 365]",0.931861520694008,0.8724163942670354,0.9145447835942854,0.9498466929478756,0.9916998212978182,0.9707732571228469,8.48528137423857,4.1757044192134805,0.03860052562417871,175.71340750009767
patient0001_4CH_ES_f000__la,patient0001_4CH_ES_f000,patient0001_4CH_ES_f000__la,3,LA,0,#2ca02c,549,389,"[245, 234, 388, 375]",0.9414852828407951,0.8894399554193368,0.9859772671114406,0.9008353087255898,0.9988409082785701,0.94983810850208,11.180339887498949,3.9027106474401037,-0.08635286149678294,175.71340750009767
patient0002_2CH_ED_f000__lv,patient0002_2CH_ED_f000,patient0002_2CH_ED_f000__lv,1,LV,0,#1f77b4,748,584,"[106, 289, 365, 438]",0.93299136419713,0.8743990750319479,0.9746320287594112,0.8947630612117815,0.998151781257876,0.9464574212348287,27.029468812791208,5.578998272650369,-0.08194781742325176,134.72795624988976
patient0002_2CH_ED_f000__la,patient0002_2CH_ED_f000,patient0002_2CH_ED_f000__la,3,LA,0,#2ca02c,748,584,"[345, 318, 493, 442]",0.9144414168937329,0.8423694779116466,0.9120887085084795,0.9168062941647848,0.9971330993488614,0.9569696967568231,13.0,5.003372321831423,0.005172288191156116,134.72795624988976
