sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
GIST/original_gist001_5,GIST/original_gist001_5,,1,gastrointestinal_submucosal_tumor,,#ffffff,446,532,"[[250, 129, 382, 246]]",0.9393939393939394,0.8857142857142857,0.9836677554829678,0.8989339019189766,0.9993856739157144,0.9491597879173455,7.0,2.755873294925587,-0.0861407249466951,233.25968498829752
GIST/original_gist002_2,GIST/original_gist002_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,468,475,"[[211, 165, 473, 423]]",0.9602994456327207,0.9236307911917208,0.9539699059017389,0.9667135386913916,0.987991130519385,0.9773523346053883,28.280690238842944,6.075022864688521,0.013358527046623016,233.25968498829752
GIST/original_gist003_2,GIST/original_gist003_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,355,414,"[[206, 190, 322, 277]]",0.9046413502109705,0.8258859784283513,0.8365197034724932,0.9848415250344511,0.9910494947984534,0.9879455099164522,10.295630140987,3.9839488480430734,0.1773082223242995,233.25968498829752
GIST/original_gist004_3,GIST/original_gist004_3,,1,gastrointestinal_submucosal_tumor,,#ffffff,355,414,"[[113, 93, 157, 160]]",0.9387254901960784,0.8845265588914549,0.8969555035128806,0.9845758354755784,0.9981747282834149,0.9913752818794966,4.577708763999658,1.484293946741812,0.09768637532133675,233.25968498829752
GIST/original_gist005_2,GIST/original_gist005_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,497,478,"[[112, 222, 166, 332]]",0.9644805700924173,0.9313978494623656,0.970640968175706,0.9583978756362027,0.9994378816290276,0.9789178786326151,3.1622776601683795,1.117977970457961,-0.012613410046470458,144.02581375907175
GIST/original_gist006_1,GIST/original_gist006_1,,1,gastrointestinal_submucosal_tumor,,#ffffff,467,475,"[[75, 220, 212, 359]]",0.9496407944780955,0.9041105076108094,0.9898685852727406,0.9125549915397632,0.9993334943250423,0.9559442429324028,10.0,3.106685585990022,-0.07810490693739425,144.02581375907175
GIST/original_gist007_3,GIST/original_gist007_3,,1,gastrointestinal_submucosal_tumor,,#ffffff,467,475,"[[186, 263, 321, 354]]",0.9569215611144561,0.9174013434089001,0.9457909543388877,0.9683172704109893,0.9976456545644226,0.9829814624877059,5.385164807134504,2.038303025228002,0.023817436579151436,144.02581375907175
GIST/original_gist008_3,GIST/original_gist008_3,,1,gastrointestinal_submucosal_tumor,,#ffffff,498,477,"[[207, 29, 381, 271]]",0.9543670432437967,0.9127170648909779,0.9745234029205729,0.9350275873599733,0.9964795006766486,0.9657535440183109,11.180339887498949,3.8921946830410072,-0.040528339742517974,144.02581375907175
GIST/original_gist009_1,GIST/original_gist009_1,,1,gastrointestinal_submucosal_tumor,,#ffffff,496,477,"[[33, 11, 357, 240]]",0.8890162328867032,0.8002063209228172,0.9154953756357159,0.8640257609818337,0.9789653606815694,0.9214955608317015,28.231188426986208,12.263109847921474,-0.056220507523745876,149.81016298406757
GIST/original_gist010_5,GIST/original_gist010_5,,1,gastrointestinal_submucosal_tumor,,#ffffff,446,532,"[[175, 123, 279, 212]]",0.9554022334447685,0.9146125561759498,0.9235423542354235,0.9895388242227788,0.9975876955116385,0.9935632598672086,6.464140176446132,1.8984252006607014,0.07146014439369383,149.81016298406757
GIST/original_gist011_1,GIST/original_gist011_1,,1,gastrointestinal_submucosal_tumor,,#ffffff,496,477,"[[333, 145, 384, 243]]",0.9013848090642048,0.8204736440030558,0.8408141962421712,0.9713596623454929,0.997385060550852,0.9843723614481724,8.94427190999916,2.681569862235607,0.15526077781127526,149.81016298406757
GIST/original_gist012_2,GIST/original_gist012_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,497,477,"[[151, 223, 209, 269]]",0.916892502258356,0.8465387823185988,0.8525829483410332,0.991695163654128,0.9985065227936109,0.9951008432238695,5.0,1.9788134016969074,0.16316560820713238,149.81016298406757
GIST/original_gist013_2,GIST/original_gist013_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,497,477,"[[98, 294, 235, 431]]",0.9415002517200872,0.889466675122075,0.9456580366774542,0.9373788678740894,0.9963711020863912,0.9668749849802403,9.219544457292887,3.743986160168192,-0.008754928824433603,146.75391223863699
GIST/original_gist014_11,GIST/original_gist014_11,,1,gastrointestinal_submucosal_tumor,,#ffffff,355,415,"[[145, 25, 300, 136]]",0.9571377116100372,0.917798756619848,0.9551881140666187,0.9590952839268527,0.995840037966142,0.9774676609464974,7.046194077712557,2.453169338431763,0.0040904716073147255,146.75391223863699
GIST/original_gist015_1,GIST/original_gist015_1,,1,gastrointestinal_submucosal_tumor,,#ffffff,355,415,"[[162, 169, 184, 206]]",0.8139029688631426,0.6862026862026862,0.6878824969400245,0.9964539007092199,0.9982624811768794,0.9973581909430497,5.830951894845301,2.3503560480380785,0.44858156028368795,146.75391223863699
GIST/original_gist016_4,GIST/original_gist016_4,,1,gastrointestinal_submucosal_tumor,,#ffffff,596,595,"[[312, 306, 403, 379]]",0.9494550920706502,0.9037739223752459,0.9135780148255288,0.9882652063367886,0.9986323592946637,0.9934487828157261,4.123105625617661,1.8800243754345651,0.08175239585370624,146.75391223863699
GIST/original_gist017_5,GIST/original_gist017_5,,1,gastrointestinal_submucosal_tumor,,#ffffff,498,477,"[[260, 217, 320, 304]]",0.9300790001179107,0.8692968922195283,0.9123294008790191,0.9485329485329486,0.9983760947435172,0.9734545216382329,5.0,2.2911471247498643,0.03968253968253968,146.2332704977598
GIST/original_gist018_5,GIST/original_gist018_5,,1,gastrointestinal_submucosal_tumor,,#ffffff,497,477,"[[209, 153, 266, 193]]",0.9168564920273349,0.8464773922187171,0.8582089552238806,0.9841075794621027,0.9988701668839968,0.9914888731730498,4.242640687119285,1.7272370228642606,0.1466992665036675,146.2332704977598
GIST/original_gist019_1,GIST/original_gist019_1,,1,gastrointestinal_submucosal_tumor,,#ffffff,467,475,"[[240, 241, 331, 327]]",0.9551949624606442,0.9142327306444136,0.9335647782862553,0.9778512396694214,0.998048893523346,0.9879500665963837,5.0,1.8132075496957132,0.04743801652892562,146.2332704977598
GIST/original_gist020_2,GIST/original_gist020_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,467,475,"[[266, 245, 416, 407]]",0.9441057835198495,0.8941291360294118,0.9465458525906105,0.9416782624478189,0.9957183773673135,0.9686983199075663,8.48528137423857,3.570642617561599,-0.005142476858854135,146.2332704977598
GIST/original_gist021_4,GIST/original_gist021_4,,1,gastrointestinal_submucosal_tumor,,#ffffff,481,540,"[[154, 51, 281, 163]]",0.8566057441253264,0.7491779320423821,0.9061982101425257,0.8121596197643332,0.9965991163310514,0.9043793680476923,20.39686201986821,7.018326517861072,-0.10377265075750074,142.47241022530943
GIST/original_gist022_2,GIST/original_gist022_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,445,532,"[[179, 219, 242, 284]]",0.9536307961504812,0.9113712374581939,0.9258210645526613,0.9831629585087192,0.9988775309107423,0.9910202447097307,3.0,1.3781111215924047,0.0619362597714973,142.47241022530943
GIST/original_gist023_1,GIST/original_gist023_1,,1,gastrointestinal_submucosal_tumor,,#ffffff,481,539,"[[186, 98, 358, 183]]",0.9284875528417097,0.8665205479452055,0.9205961113051577,0.936515456591259,0.9972808752232712,0.9668981659072651,9.848857801796104,2.822355039153006,0.01729243160014213,142.47241022530943
GIST/original_gist024_3,GIST/original_gist024_3,,1,gastrointestinal_submucosal_tumor,,#ffffff,498,478,"[[100, 249, 403, 437]]",0.9401842970307701,0.8871205572786902,0.9924628117978327,0.8931377818730963,0.9986681743937681,0.9459029781334323,12.529964086141668,5.375305735305519,-0.10007934679669303,142.47241022530943
GIST/original_gist025_1,GIST/original_gist025_1,,1,gastrointestinal_submucosal_tumor,,#ffffff,467,475,"[[110, 204, 167, 289]]",0.9368607663984727,0.8812211390456645,0.967605633802817,0.9080095162569389,0.9994725786775025,0.9537410474672208,4.0,1.9483564066216021,-0.06159132963256675,141.87225949717686
GIST/original_gist026_2,GIST/original_gist026_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,497,477,"[[242, 168, 337, 226]]",0.9351827845475759,0.8782566350133918,0.9701452393760086,0.9026526526526526,0.9995237543602219,0.9510882035064372,5.811269837220806,1.9950985935058445,-0.06956956956956957,141.87225949717686
GIST/original_gist027_5,GIST/original_gist027_5,,1,gastrointestinal_submucosal_tumor,,#ffffff,445,532,"[[150, 146, 252, 252]]",0.9477447029767321,0.9006794317479926,0.923495883470551,0.973301294887198,0.9973653102085506,0.9853333025478743,5.0297058540778306,2.260513326898011,0.0539313843278601,141.87225949717686
GIST/original_gist028_1,GIST/original_gist028_1,,1,gastrointestinal_submucosal_tumor,,#ffffff,466,475,"[[321, 221, 379, 285]]",0.9117647058823529,0.8378378378378378,0.8792805257696299,0.9467411545623836,0.9984039512496284,0.9725725529060061,5.0,2.4294007674297546,0.07672253258845438,141.87225949717686
GIST/original_gist029_2,GIST/original_gist029_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,468,475,"[[122, 89, 232, 192]]",0.9371014130298863,0.8816470588235295,0.9856635538603183,0.8930997497318556,0.9994904375224979,0.9462950936271768,9.899494936611665,2.795191113442939,-0.09391014181861518,142.86613650619984
GIST/original_gist030_4,GIST/original_gist030_4,,1,gastrointestinal_submucosal_tumor,,#ffffff,354,414,"[[160, 222, 225, 273]]",0.936216609122297,0.8800819952169456,0.9276197335253871,0.9449743213499633,0.9986025168601822,0.9717884191050727,5.0,1.692876561968267,0.018708730741012473,142.86613650619984
GIST/original_gist031_8,GIST/original_gist031_8,,1,gastrointestinal_submucosal_tumor,,#ffffff,356,415,"[[65, 136, 167, 249]]",0.9429312581063554,0.8920245398773006,0.9255906068750884,0.960934057864591,0.9962676770902072,0.9786008674773992,5.656854249492381,2.2530653551504036,0.03818475547070054,142.86613650619984
GIST/original_gist032_3,GIST/original_gist032_3,,1,gastrointestinal_submucosal_tumor,,#ffffff,467,475,"[[190, 276, 293, 363]]",0.8920537010159652,0.8051416407401343,0.8436856554564173,0.9463048498845266,0.9957946535320755,0.971049751708301,9.0,3.7221785809644343,0.1216320246343341,142.86613650619984
GIST/original_gist033_3,GIST/original_gist033_3,,1,gastrointestinal_submucosal_tumor,,#ffffff,445,533,"[[292, 300, 385, 380]]",0.9419225634178905,0.8902208201892744,0.9094424750241702,0.9768085842852198,0.9975713785667677,0.9871899814259937,6.0,2.33359193528621,0.07407407407407407,141.32992524537258
GIST/original_gist034_2,GIST/original_gist034_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,497,478,"[[230, 115, 288, 158]]",0.9214479192317163,0.854337899543379,0.8610216290842154,0.9909957627118644,0.9987185906194045,0.9948571766656344,5.385164807134504,1.777177464902901,0.15095338983050846,141.32992524537258
GIST/original_gist035_1,GIST/original_gist035_1,,1,gastrointestinal_submucosal_tumor,,#ffffff,445,534,"[[158, 150, 234, 240]]",0.9279643008924777,0.865609514370664,0.9516234473741556,0.9054530375285093,0.9990464204255026,0.952249728977006,5.385164807134504,2.439411169404328,-0.04851752021563342,141.32992524537258
GIST/original_gist036_2,GIST/original_gist036_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,497,478,"[[260, 188, 329, 263]]",0.9432864760058167,0.8926605504587156,0.9304327038010997,0.9565003686409437,0.9987537313113231,0.9776270499761334,4.0,1.841591773330137,0.02801671172278201,141.32992524537258
GIST/original_gist037_2,GIST/original_gist037_2,,1,gastrointestinal_submucosal_tumor,,#ffffff,497,478,"[[264, 121, 469, 335]]",0.9630878770845044,0.9288037585833032,0.9669530319182291,0.959253499222395,0.9948689488647428,0.9770612240435689,8.06225774829855,3.370414852329725,-0.007962674961119751,143.76858275500126
GIST/original_gist038_4,GIST/original_gist038_4,,1,gastrointestinal_submucosal_tumor,,#ffffff,497,477,"[[181, 338, 246, 388]]",0.9196177627880832,0.8511966701352758,0.8556485355648535,0.9939246658566221,0.9982352941176471,0.9960799799871346,5.656854249492381,2.126869737694527,0.16160388821385177,143.76858275500126
GIST/original_gist039_8,GIST/original_gist039_8,,1,gastrointestinal_submucosal_tumor,,#ffffff,481,540,"[[163, 179, 213, 238]]",0.9252293577981652,0.8608621425522834,0.8765754019991309,0.9796017484215639,0.9988978620852915,0.9892498052534278,5.0,1.72991069249945,0.11753278290432248,143.76858275500126
