sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
train/predict11_scaled-A0067_frame1__dura,train/predict11_scaled-A0067_frame1,train/predict11_scaled-A0067_frame1__dura,1,dura,0,#800000,275,690,"[[0, 46, 689, 65]]",0.6335781210433021,0.4636767976278725,0.5037043002093735,0.8536918247577453,0.9662158828656474,0.9099538538116964,10.0,4.668911563111297,0.6948273508939539,595.7590725156479
train/predict11_scaled-A0067_frame1__csf,train/predict11_scaled-A0067_frame1,train/predict11_scaled-A0067_frame1__csf,2,csf,0,#008000,275,690,"[[0, 61, 689, 82], [0, 206, 689, 242]]",0.8656356623646343,0.7631019714257691,0.8001714089818307,0.9427659746344615,0.964671014352211,0.9537184944933363,6.0,2.506304486318477,0.1782050246385007,595.7590725156479
train/predict11_scaled-A0067_frame1__pia,train/predict11_scaled-A0067_frame1,train/predict11_scaled-A0067_frame1__pia,3,pia,0,#808000,275,690,"[[67, 57, 689, 69], [0, 231, 689, 262]]",0.7253568584206335,0.5690666153994041,0.5728477889236525,0.9885338973616832,0.9229090020025148,0.9557214496820989,10.0,4.825978173405899,0.7256484470666815,595.7590725156479
train/predict11_scaled-A0067_frame1__spinal_cord,train/predict11_scaled-A0067_frame1,train/predict11_scaled-A0067_frame1__spinal_cord,4,spinal_cord,0,#000080,275,690,"[[0, 73, 689, 215]]",0.9598793099678598,0.9228537795341798,0.9721219636411949,0.9479411828212381,0.9740743791441868,0.9610077809827124,40.0,6.683525094655324,-0.024874225379483084,595.7590725156479
train/predict11_scaled-A0067_frame1__dorsal_space,train/predict11_scaled-A0067_frame1,train/predict11_scaled-A0067_frame1__dorsal_space,5,dorsal_space,0,#800080,275,690,"[[0, 0, 689, 55]]",0.7929945859463166,0.6569933959807797,0.8054322277357012,0.7809352315570312,0.956519765511517,0.8687274985342741,19.0,9.422616740773767,-0.030414720612233413,164.31519226171076
train/predict11_scaled-A0067_frame1__ventral_space,train/predict11_scaled-A0067_frame1,train/predict11_scaled-A0067_frame1__ventral_space,9,ventral_space,0,#c00000,275,690,"[[0, 252, 689, 274]]",0.8766401816118048,0.7803734540457522,0.9199542595769011,0.8372214031740526,0.995286697826831,0.9162540505004417,5.0,1.8999149550056291,-0.08993148902957246,164.31519226171076
train/predict11_scaled-A0069_frame1__dura,train/predict11_scaled-A0069_frame1,train/predict11_scaled-A0069_frame1__dura,1,dura,0,#800000,275,690,"[[0, 45, 689, 240]]",0.010149635589368973,0.005100702932692714,0.005420760704429202,0.07951997890017144,0.39266716803811885,0.23609357346914514,172.0,44.4827607477144,13.669523935118027,164.31519226171076
train/predict11_scaled-A0069_frame1__csf,train/predict11_scaled-A0069_frame1,train/predict11_scaled-A0069_frame1__csf,2,csf,0,#008000,275,690,"[[0, 63, 687, 243]]",0.24279921537614652,0.13817386009653992,0.15163224000852193,0.608881630113548,0.4659338917541485,0.5374077609338482,38.54213062768489,9.961952628218182,3.0155156322911805,164.31519226171076
train/predict11_scaled-A0069_frame1__pia,train/predict11_scaled-A0069_frame1,train/predict11_scaled-A0069_frame1__pia,3,pia,0,#808000,275,690,"[[0, 57, 689, 265]]",0.18206952689711312,0.10015208479692433,0.10613684150242578,0.639788923410761,0.3553191363816065,0.49755402989618375,52.0,13.070489208895712,5.027962716378163,159.5240717579145
train/predict11_scaled-A0069_frame1__spinal_cord,train/predict11_scaled-A0069_frame1,train/predict11_scaled-A0069_frame1__spinal_cord,4,spinal_cord,0,#000080,275,690,"[[0, 75, 686, 215]]",0.9590759513240134,0.9213697700076381,0.9680662527726072,0.9502510968391339,0.9708696403696963,0.9605603686044151,20.0,4.711094706575004,-0.01840282716441099,159.5240717579145
