sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
AP/US_107,,,,,,,480,640,"[[318, 126, 405, 133]]",0.006256234682693137,0.0031379331644944097,0.0031379331644944097,1.0,0.47379781670209853,0.7368989083510493,350.6217294841865,208.871837134955,317.68110236220474,235.40499125010683
AP/US_108,,,,,,,480,640,"[[313, 127, 404, 134]]",0.008277352720841982,0.0041558761869527686,0.0041558761869527686,1.0,0.4731083170758761,0.736554158537938,346.91986139039085,207.1182713900719,239.62314540059347,235.40499125010683
AP/US_109,,,,,,,480,640,"[[311, 125, 395, 134]]",0.007833251352680768,0.003932025950136726,0.003932025950136726,1.0,0.4736285853152533,0.7368142926576267,345.18418628455504,209.58725410550534,253.32182103610674,235.40499125010683
AP/US_110,,,,,,,480,640,"[[310, 126, 397, 134]]",0.007889546351084813,0.0039603960396039604,0.0039603960396039604,1.0,0.47494780793319413,0.7374739039665971,344.415736939064,208.1005014812414,251.5,235.40499125010683
AP/US_111,,,,,,,480,640,"[[311, 125, 399, 133]]",0.007127916035357408,0.0035767052450135436,0.0035767052450135436,1.0,0.4721168616426249,0.7360584308213125,346.75971260074715,209.11130986729847,278.5869191049914,149.769355249191
AP/US_112,,,,,,,480,640,"[[312, 124, 386, 135]]",0.007496270358908602,0.0037622365506231204,0.0037622365506231204,1.0,0.4748786661100094,0.7374393330550046,344.55436471996103,212.74007366989918,264.7993421052632,149.769355249191
AP/US_113,,,,,,,480,640,"[[310, 123, 407, 134]]",0.008062481151642346,0.004047557252851828,0.004047557252851828,1.0,0.4742337992790618,0.7371168996395309,345.0710071854777,205.1781215699938,246.06259541984733,149.769355249191
AP/US_114,,,,,,,480,640,"[[311, 126, 376, 133]]",0.0045289574091882,0.0022696182066907103,0.0022696182066907103,1.0,0.47706422018348627,0.7385321100917431,341.37906669110004,216.2206175963892,439.6027397260274,149.769355249191
AP/US_115,,,,,,,480,640,"[[312, 124, 388, 135]]",0.007450863904153671,0.0037393626933349897,0.0037393626933349897,1.0,0.47687851845087054,0.7384392592254353,343.6426140242388,212.2259090218792,266.42524916943523,149.0008040000248
AP/US_116,,,,,,,480,640,"[[311, 125, 387, 134]]",0.0075641381009578365,0.003796427401054838,0.003796427401054838,1.0,0.4744802437162819,0.7372401218581409,346.3600326635054,212.94351433093348,262.4055374592834,149.0008040000248
AP/US_117,,,,,,,480,640,"[[316, 127, 376, 132]]",0.004054845170235711,0.0020315413779901943,0.0020315413779901943,1.0,0.4733389600190308,0.7366694800095154,347.2177989797382,219.49490586009532,491.2370820668693,149.0008040000248
AP/US_118,,,,,,,480,640,"[[316, 127, 374, 133]]",0.004005578320728868,0.002006808374423658,0.002006808374423658,1.0,0.47170174077960336,0.7358508703898017,348.3727175724261,220.90659478041877,497.3036809815951,149.0008040000248
AP/US_119,,,,,,,480,640,"[[313, 126, 374, 133]]",0.004349081348706639,0.0021792796064984393,0.0021792796064984393,1.0,0.4717708557387093,0.7358854278693546,346.4878064005387,219.15932999395702,457.8672316384181,143.32282049963396
AP/US_120,,,,,,,480,640,"[[318, 126, 392, 134]]",0.006342753587696527,0.0031814664226314042,0.0031814664226314042,1.0,0.47078733019870744,0.7353936650993538,350.72496346852756,214.25214074167798,313.3204633204633,143.32282049963396
AP/US_485,,,,,,,480,640,"[[265, 130, 350, 142]]",0.00979522767395885,0.0049217185136737115,0.0049217185136737115,1.0,0.6030208938088311,0.8015104469044155,292.0883424924028,173.3176238701515,202.18106312292358,143.32282049963396
AP/US_641,,,,,,,480,640,"[[278, 115, 418, 134]]",0.01082790107180351,0.00544342094765847,0.00544342094765847,1.0,0.4709267970996987,0.7354633985498493,320.68269994904165,189.92922804439425,182.70800450958285,143.32282049963396
AP/US_642,,,,,,,480,640,"[[279, 116, 412, 135]]",0.010481733142387033,0.005268477961221552,0.005268477961221552,1.0,0.4699516876672978,0.7349758438336489,322.22072594107493,192.70172884984942,188.8081395348837,142.73291649988096
AP/US_643,,,,,,,480,640,"[[278, 115, 396, 134]]",0.00993649653257673,0.004993055003151254,0.004993055003151254,1.0,0.46925753303044543,0.7346287665152227,323.19614766689415,197.98487106850524,199.2781862745098,142.73291649988096
AP/US_644,,,,,,,480,640,"[[277, 114, 396, 133]]",0.009919571045576408,0.004984507611477839,0.004984507611477839,1.0,0.4696493965128955,0.7348246982564477,322.62005245238015,197.60946170725722,199.6216216216216,142.73291649988096
AP/US_767,,,,,,,480,640,"[[257, 110, 390, 133]]",0.01064613571060193,0.005351554543266115,0.005351554543266115,1.0,0.47396460714320693,0.7369823035716034,320.6009981269553,192.79286465375623,185.86159169550174,142.73291649988096
AP/US_768,,,,,,,480,640,"[[269, 111, 389, 134]]",0.011238094068374284,0.005650799140337442,0.005650799140337442,1.0,0.47431640465579444,0.7371582023278972,324.7365044527741,197.2585243297423,175.96612021857925,142.6869857505153
AP/US_769,,,,,,,480,640,"[[269, 108, 390, 134]]",0.01125268906172431,0.005658179397570311,0.005658179397570311,1.0,0.4732795267106784,0.7366397633553392,325.31746031595407,197.04383631599526,175.73529411764707,142.6869857505153
AP/US_770,,,,,,,480,640,"[[265, 111, 393, 134]]",0.01154935448671579,0.005808217826666009,0.005808217826666009,1.0,0.47350926343148586,0.736754631715743,322.1443775700579,194.61236299839334,171.16985138004247,142.6869857505153
AP/US_771,,,,,,,480,640,"[[265, 111, 393, 132]]",0.009665682539293634,0.0048563110501080205,0.0048563110501080205,1.0,0.47234270310139,0.736171351550695,321.82679265593055,194.98974277594695,204.91761723700887,142.6869857505153
AP/US_772,,,,,,,480,640,"[[273, 111, 392, 132]]",0.008103469412774305,0.004068218046639874,0.004068218046639874,1.0,0.4721128469786879,0.736056423489344,325.67621766583306,198.32083247337886,244.80786686838124,143.31397875048424
AP/US_773,,,,,,,480,640,"[[272, 112, 391, 132]]",0.009572364998439288,0.004809200209095661,0.004809200209095661,1.0,0.47188807446037767,0.7359440372301889,325.23122404865325,198.16070334799477,206.93478260869566,143.31397875048424
