sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
case001,,,,,,,537,485,"[[167, 4, 430, 216]]",0.10621217734963567,0.05608451806443198,0.2699309478970496,0.06611316113161132,0.985518795681787,0.5258159784066991,110.93561373954451,41.27939952022269,-0.7550738007380073,232.97695175006083
case002,,,,,,,572,761,"[[308, 199, 446, 299]]",0.9621825542878174,0.9271211986878269,0.9552388782314789,0.9692279173231996,0.9988457089820331,0.9840368131526163,4.158966144068143,1.9195276193619186,0.01464454537028455,232.97695175006083
case003,,,,,,,532,545,"[[144, 159, 327, 209]]",0.6455527241839583,0.4766170937108045,0.48951048951048953,0.9476309226932669,0.9804871872428128,0.9640590549680399,78.4687650944407,18.043589528625112,0.935874599216245,232.97695175006083
case004,,,,,,,537,485,"[[262, 146, 313, 196]]",0.8131622978248745,0.6851503759398496,0.7059393156875403,0.958790004384042,0.9964712353387769,0.9776306198614095,18.0,5.065705938144348,0.3581762384918895,232.97695175006083
case005,,,,,,,538,831,"[[256, 31, 642, 307]]",0.9657875892041385,0.9338387154539486,0.9868293236782015,0.94562444844719,0.9971346783511775,0.9713795633991837,13.0,4.745321320222384,-0.04175481437603511,146.6696319998846
case006,,,,,,,537,485,"[[145, 41, 419, 238]]",0.8896991397755557,0.8013135643213907,0.9149901203520747,0.8657686751083539,0.9920096576351457,0.9288891663717498,18.0,6.356401727389774,-0.05379451007053625,146.6696319998846
case007,,,,,,,537,485,"[[63, 93, 436, 302]]",0.8650047107030163,0.7621218509539369,0.9816706832761957,0.7731233960650128,0.9975788770473061,0.8853511365561595,30.90951233836878,9.798821832825466,-0.2124411890504705,146.6696319998846
case008,,,,,,,569,794,"[[347, 94, 482, 221]]",0.818185044539873,0.6923123123123123,0.720122446429687,0.9471651602300739,0.9898092881059835,0.9684872241680287,30.33105012119286,10.596685656024691,0.31528348397699263,146.6696319998846
case009,,,,,,,338,476,"[[117, 80, 354, 174]]",0.6580937972768532,0.4904171364148816,0.7558644656820156,0.5827193569993302,0.9869247592015262,0.7848220581004282,98.43372976213944,22.91400349814569,-0.2290689886135298,153.81171500030177
case010,,,,,,,469,433,"[[166, 22, 263, 133]]",0.8492988053721154,0.7380706732009286,0.8284597568037059,0.8712132744710002,0.9939697111567977,0.932591492813899,13.92838827718412,6.196241117521439,0.051606028314811994,153.81171500030177
case011,,,,,,,542,789,"[[238, 69, 569, 355]]",0.9396045648804772,0.8860888436157491,0.9596757430887549,0.9203557463773672,0.9930412804926839,0.9566985134350255,20.0,7.409898269480903,-0.04097216897952925,153.81171500030177
case012,,,,,,,469,433,"[[105, 27, 298, 162]]",0.9229569070427809,0.8569359137791169,0.9506942658781178,0.8967921896792189,0.9958892950167751,0.946340742347997,9.055385138137417,4.250229844609606,-0.056697592626281004,153.81171500030177
case013,,,,,,,538,831,"[[270, 30, 517, 261]]",0.8826981586422691,0.7900265854476938,0.9683011705156596,0.8110012983227789,0.9975521391909355,0.9042767187568572,23.600847442411894,10.391723387893162,-0.16244932566704645,138.74523749973378
case014,,,,,,,532,545,"[[127, 123, 452, 322]]",0.9443048254518717,0.8944862572248327,0.9956492559764875,0.8979962429555416,0.9992232367888279,0.9486097398721847,11.180339887498949,5.823788077121246,-0.09807973283239407,138.74523749973378
case015,,,,,,,541,437,"[[111, 256, 305, 370]]",0.8949551072995934,0.8098812213072943,0.9887020727693265,0.8174463077375699,0.9994300357686214,0.9084381717530956,9.219544457292887,4.733012374534993,-0.1732127096204766,138.74523749973378
case016,,,,,,,526,623,"[[220, 76, 336, 175]]",0.8753302671494275,0.7782998346819804,0.7975925100312082,0.9698579637861867,0.9928722819687573,0.981365122877472,27.522644441879706,6.668800501440762,0.2159817846687629,138.74523749973378
case017,,,,,,,579,930,"[[307, 152, 423, 247]]",0.9153949129852744,0.8439891384843249,0.970066676124273,0.8665568369028006,0.9996023212377422,0.9330795790702714,8.900581316760658,3.5190474969394874,-0.10670383981751362,142.90985975003423
