sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
train/1,train/1,,1,ovarian_tumor,,#ffffff,537,959,"[[278, 68, 455, 300]]",0.944371070843679,0.8946051446301672,0.8982613647783994,0.9954707454707454,0.9937772386675874,0.9946239920691664,9.219544457292887,4.511746745510099,0.10821948321948321,225.9767919999831
train/2,train/2,,1,ovarian_tumor,,#ffffff,536,959,"[[243, 93, 451, 306]]",0.8399300631909358,0.724033988417355,0.7288082951070336,0.9910334297131347,0.9765107823600135,0.9837721060365741,89.77150130307166,17.23855410297243,0.3597998765472207,225.9767919999831
train/4,train/4,,1,ovarian_tumor,,#ffffff,535,478,"[[10, 43, 150, 248]]",0.9660608714692358,0.9343498517577298,0.9382043975673032,0.9956221510132238,0.993779246745129,0.9947006988791764,5.830951894845301,2.5058160183847686,0.06119962088730424,225.9767919999831
train/6,train/6,,1,ovarian_tumor,,#ffffff,534,958,"[[245, 165, 649, 408]]",0.9694391244870041,0.9406907903469881,0.9693860801050558,0.9694921746744007,0.9948959578175316,0.9821940662459662,12.727922061357855,3.9813286452446492,0.00010944511327569225,225.9767919999831
train/7,train/7,,1,ovarian_tumor,,#ffffff,531,957,"[[248, 143, 647, 400]]",0.9755812882022299,0.9523266970496522,0.9860912760012418,0.9652929734986628,0.9973703179332577,0.9813316457159602,10.116549153849968,3.3467955300497634,-0.021091660588378313,140.81139224981598
train/9,train/9,,1,ovarian_tumor,,#ffffff,536,480,"[[40, 155, 396, 406]]",0.9412431513319478,0.8890078515346181,0.9997270917613819,0.8892236517070524,0.999909210828478,0.9445664312677652,18.981560705424794,7.504471706393584,-0.11053360558593806,140.81139224981598
train/10,train/10,,1,ovarian_tumor,,#ffffff,542,483,"[[88, 91, 372, 265]]",0.8927318442287452,0.8062471945713305,0.9598579152521062,0.834380806645535,0.9943292330920556,0.9143550198687953,26.1725046566048,9.912086576213873,-0.13072466936277188,140.81139224981598
train/11,train/11,,1,ovarian_tumor,,#ffffff,530,480,"[[39, 151, 402, 400]]",0.9447839815519568,0.8953465120265097,0.9989800634273056,0.896165723108595,0.9996530262615748,0.9479093746850848,19.28596956687314,7.059229601691125,-0.10291931148853434,140.81139224981598
train/13,train/13,,1,ovarian_tumor,,#ffffff,530,958,"[[229, 146, 623, 411]]",0.9825763142490628,0.9657494001860647,0.9728709892223839,0.9924772304131233,0.994862789785358,0.9936700100992406,5.830951894845301,2.3379585612798945,0.020152971368187993,139.31410299983327
train/14,train/14,,1,ovarian_tumor,,#ffffff,532,959,"[[344, 78, 631, 285]]",0.9504802325724029,0.9056334735857877,0.9845993544943963,0.9186465594916299,0.9987051669394506,0.9586758632155402,17.804493814764857,4.874049876918715,-0.06698439797031347,139.31410299983327
train/17,train/17,,1,ovarian_tumor,,#ffffff,536,959,"[[321, 88, 612, 270]]",0.9619599046355127,0.9267078496594483,0.9464756182112318,0.9779592616472049,0.9950947480339809,0.986527004840593,9.0,3.8526017844585363,0.03326408290947298,139.31410299983327
train/18,train/18,,1,ovarian_tumor,,#ffffff,533,958,"[[211, 124, 611, 468]]",0.9594336842222333,0.9220303114512302,0.9610851158645276,0.9577879181516393,0.991694111212831,0.9747410146822352,25.60465994079564,5.918787886653145,-0.0034307031276021717,139.31410299983327
train/19,train/19,,1,ovarian_tumor,,#ffffff,534,958,"[[249, 159, 649, 433]]",0.9454702983700656,0.8965800554585601,0.991607244273364,0.9034357464814644,0.998433834820209,0.9509347906508367,30.0,7.965457520663852,-0.0889177628553031,140.38438399984443
train/20,train/20,,1,ovarian_tumor,,#ffffff,531,479,"[[17, 19, 455, 367]]",0.9495623845739128,0.9039683753030336,0.9902861517848598,0.9120557061325224,0.9950362803890285,0.9535459932607755,38.74482322749619,6.766199488578341,-0.07899781847028492,140.38438399984443
train/22,train/22,,1,ovarian_tumor,,#ffffff,534,480,"[[1, 76, 445, 338]]",0.8911263127468928,0.8036319402206968,0.9993979809206261,0.8040211613928766,0.9997781519488498,0.9018996566708632,54.883036669271604,15.430896688366524,-0.19549451095325618,140.38438399984443
train/23,train/23,,1,ovarian_tumor,,#ffffff,533,480,"[[34, 40, 471, 330]]",0.9116654650324442,0.8376702527955906,0.9977433048747771,0.8392603507095164,0.9992077869556305,0.9192340688325735,82.0518001706894,13.438350136938372,-0.15884141080270267,140.38438399984443
train/24,train/24,,1,ovarian_tumor,,#ffffff,534,478,"[[4, 36, 475, 331]]",0.9753832408539452,0.9519493333945249,0.993795515523189,0.95764081255771,0.9969278580409461,0.9772843352993281,16.130711281558376,3.404191679231171,-0.03638042474607572,142.62048399996274
train/25,train/25,,1,ovarian_tumor,,#ffffff,536,481,"[[38, 69, 478, 346]]",0.8708570460226229,0.7712549088271342,0.9986235486535067,0.7720756701263255,0.9995223189448307,0.8857989945355781,59.84789744151878,16.877080689999513,-0.22686014047300088,142.62048399996274
train/28,train/28,,1,ovarian_tumor,,#ffffff,534,959,"[[115, 74, 497, 414], [510, 121, 675, 340]]",0.867445393737298,0.7659192668861827,0.970271463253145,0.7843252693927067,0.9932650336748317,0.8887951515337692,71.894744499765,15.889388064183102,-0.191643473917077,142.62048399996274
train/29,train/29,,1,ovarian_tumor,,#ffffff,531,959,"[[301, 153, 594, 402]]",0.9464988548175491,0.8984317284758427,0.9940216249036687,0.9033127480316632,0.999446016948419,0.9513793824900411,21.0,6.091381402793825,-0.09125443008425119,142.62048399996274
train/30,train/30,,1,ovarian_tumor,,#ffffff,532,959,"[[563, 86, 823, 393], [281, 157, 511, 417]]",0.9410826650685871,0.8887215592986226,0.9734190647293052,0.9108255834529404,0.9938060940200654,0.9523158387365029,29.071461499978493,6.922879565034885,-0.06430270737893475,140.0281329997597
train/31,train/31,,1,ovarian_tumor,,#ffffff,532,479,"[[60, 95, 369, 335]]",0.9023155394829169,0.8220172298493371,0.9941955895996384,0.8259812640815842,0.9988052685697498,0.9123932663256671,31.79675614542186,11.174958370531614,-0.16919641092533302,140.0281329997597
train/32,train/32,,1,ovarian_tumor,,#ffffff,533,479,"[[97, 83, 337, 401]]",0.7912631016826697,0.65461979590776,0.7760752577743089,0.8070572655232073,0.9477097222888388,0.877383493906023,60.95077995717023,22.197720994407486,0.03992139607407565,140.0281329997597
train/33,train/33,,1,ovarian_tumor,,#ffffff,534,959,"[[325, 182, 753, 494]]",0.9470969314189395,0.8995100875670254,0.9970496429640399,0.9019107294809314,0.9993246715114146,0.950617700496173,20.0,8.149010346112986,-0.09542043784327377,140.0281329997597
train/34,train/34,,1,ovarian_tumor,,#ffffff,532,479,"[[0, 76, 477, 514]]",0.9617634945642581,0.9263433615836996,0.9902669520617099,0.9348549932643673,0.985162534887539,0.9600087640759531,36.594291734786616,7.983220264015439,-0.055956586940497675,140.11337349984387
train/35,train/35,,1,ovarian_tumor,,#ffffff,535,480,"[[59, 63, 479, 372]]",0.740994470190521,0.588555373781919,0.9895754434921268,0.5922272190478463,0.9969763368002359,0.7946017779240411,111.67898774982125,31.596105828707383,-0.4015340387207596,140.11337349984387
train/37,train/37,,1,ovarian_tumor,,#ffffff,534,958,"[[436, 131, 637, 361]]",0.7403297647886223,0.5877171215880893,0.957985742454118,0.6032665796427775,0.9982693377040713,0.8007679586734244,70.31177082020295,18.941824100533665,-0.3702760355312172,140.11337349984387
train/38,train/38,,1,ovarian_tumor,,#ffffff,535,481,"[[146, 64, 309, 206]]",0.939598172932571,0.8860774745466594,0.9358019978367373,0.9434252726106479,0.9958261804794308,0.9696257265450394,13.94271062174729,3.463550530624882,0.008146247594611931,140.11337349984387
train/40,train/40,,1,ovarian_tumor,,#ffffff,533,478,"[[144, 61, 310, 201]]",0.9397927933798137,0.8864236986048798,0.9646846364791652,0.9161532109508989,0.9977910814915221,0.9569721462212104,12.863961030678928,3.6770918754064232,-0.05030807342946071,143.82232924981508
train/41,train/41,,1,ovarian_tumor,,#ffffff,533,481,"[[166, 60, 314, 196]]",0.9379823782528516,0.8832079233391215,0.9957221577726219,0.8865719819238218,0.9997550678130046,0.9431635248684132,12.688395099221562,3.8317243072331784,-0.10961910910264687,143.82232924981508
train/42,train/42,,1,ovarian_tumor,,#ffffff,534,480,"[[26, 68, 397, 350]]",0.9612502599756366,0.9253915769481597,0.9980872934585436,0.9270355767467449,0.9990832308129081,0.9630594037798265,17.48570406254517,5.822474787887301,-0.07118787823216578,143.82232924981508
train/43,train/43,,1,ovarian_tumor,,#ffffff,534,481,"[[66, 51, 432, 354]]",0.9686624084052674,0.9392292264916359,0.9629867626269117,0.9744053530051544,0.9816098359513775,0.978007594478266,13.960613552451253,4.709779053283436,0.011857473873362652,143.82232924981508
train/44,train/44,,1,ovarian_tumor,,#ffffff,535,480,"[[68, 68, 448, 361]]",0.9011509351016668,0.8200861827962173,0.8252493112413177,0.9924287497520969,0.8947048474114601,0.9435667985817785,39.96248240537617,15.977653081244455,0.20258052473780608,140.89797125006953
train/45,train/45,,1,ovarian_tumor,,#ffffff,536,941,"[[314, 44, 667, 357]]",0.9460587933170186,0.897639059292979,0.9965375019094659,0.9004474401591921,0.9993484046694471,0.9498979224143196,22.0,7.946449782270762,-0.09642392942177849,140.89797125006953
train/46,train/46,,1,ovarian_tumor,,#ffffff,534,480,"[[88, 36, 428, 369]]",0.9011989548523389,0.8201657241154447,0.9890181404051086,0.8277035843554628,0.9951839321707385,0.9114437582631006,37.53664875824692,15.332542818232907,-0.16310576061180262,140.89797125006953
train/49,train/49,,1,ovarian_tumor,,#ffffff,614,846,"[[276, 111, 599, 406]]",0.9241018481494785,0.858912013706914,0.9617701412106592,0.889272950199567,0.9938795513778914,0.9415762507887292,30.610455730027933,10.348806796812209,-0.07537891633840295,140.89797125006953
train/50,train/50,,1,ovarian_tumor,,#ffffff,614,847,"[[227, 143, 560, 393]]",0.9224652087475149,0.8560885608856088,0.9831990485602774,0.8687981053878034,0.9977834156173065,0.933290760502555,46.51020901159507,10.187806486746268,-0.11635583185316756,140.60866325007737
train/51,train/51,,1,ovarian_tumor,,#ffffff,615,849,"[[225, 97, 548, 401]]",0.743557429055669,0.5917957941339236,0.9374931509851623,0.6161058938756697,0.9937001195033432,0.8049030066895064,100.17085399971086,31.548585075997906,-0.34281557872904306,140.60866325007737
