sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
100,,,,,,,564,623,"[[99, 85, 472, 330]]",0.96270302248037,0.9280881399870382,0.959953880599016,0.9654679557191591,0.989224736570602,0.9773463461448806,12.0,5.139518745643066,0.005744104202904414,243.020454499856
1002,,,,,,,543,592,"[[341, 61, 588, 271]]",0.9460164509404995,0.8975628241870159,0.9732645041990908,0.9202525497814473,0.9962858039932067,0.958269176887327,19.430549227179817,5.509840828501501,-0.05446818844099077,243.020454499856
1004,,,,,,,539,818,"[[327, 186, 437, 265]]",0.8909393645067296,0.8033279119229325,0.852722443559097,0.9327425915165601,0.9974448064365994,0.9650936989765797,11.66404359574205,4.589472067869172,0.09384079023823358,243.020454499856
1010,,,,,,,729,949,"[[305, 168, 735, 524]]",0.8512763936134351,0.7410628534841532,0.9155268448633862,0.7954525929956187,0.9869024866367548,0.8911775398161867,56.61271941887264,22.21256045412556,-0.13115317430772314,243.020454499856
1012,,,,,,,365,485,"[[271, 133, 315, 180]]",0.9293447293447293,0.8680149015433741,0.8689397975492807,0.9987752602571953,0.9985974274767379,0.9986863438669666,3.0,1.4869754451867239,0.1494182486221678,161.55404524988626
102,,,,,,,340,796,"[[310, 81, 486, 163]]",0.9393487976165141,0.8856340288924559,0.9185881961208691,0.9610695000870928,0.9962262403630218,0.9786478702250573,7.810249675906654,3.0128399454486803,0.04624629855425884,161.55404524988626
1020,,,,,,,622,840,"[[246, 120, 628, 448]]",0.9636581372045849,0.9298651070653712,0.9618574606767886,0.9654655684077531,0.990701248159399,0.9780834082835761,14.0,6.082520713047173,0.0037511875495832557,161.55404524988626
1024,,,,,,,547,927,"[[293, 53, 801, 250]]",0.7737569873492204,0.6309980806142035,0.6947563069607714,0.8730290456431535,0.9362144035108299,0.9046217245769916,107.02102574212671,31.669866303696192,0.25659751037344397,161.55404524988626
1026,,,,,,,597,900,"[[144, 59, 430, 335]]",0.9161125930644584,0.8452101087275933,0.8682494641832946,0.9695606006977803,0.981737309323408,0.9756489550105941,37.31820121418911,11.029525039344504,0.11668436399184237,151.10764949986333
1029,,,,,,,547,928,"[[442, 62, 750, 336]]",0.9393654911459715,0.8856637072471993,0.9391837670526195,0.9395472855770747,0.9903073820567808,0.9649273338169277,21.542977924357256,8.449353657268663,0.0003870579296701406,151.10764949986333
103,,,,,,,453,780,"[[257, 107, 471, 270]]",0.9231010289176343,0.8571844283497154,0.8834644094908024,0.9664613029054719,0.9892700109539779,0.9778656569297249,14.866068747318506,6.808436958342377,0.09394480697021618,151.10764949986333
1031,,,,,,,545,859,"[[280, 55, 617, 345]]",0.9209464038421874,0.8534760526459505,0.9774219776096066,0.8706406685236768,0.9963568013523231,0.933498734938,23.323807579381203,10.65063380457613,-0.10924791086350975,151.10764949986333
1033,,,,,,,473,592,"[[101, 117, 157, 195]]",0.8559591216682778,0.7481892805408016,0.7813918305597579,0.9462595419847328,0.9968671067893807,0.9715633243870567,10.0,4.281215512127724,0.21099236641221375,148.4636774998762
1034,,,,,,,644,1059,"[[400, 207, 526, 310]]",0.8484730407676196,0.7368242957448609,0.7589091225930121,0.9620057433178706,0.995888204332617,0.9789469738252439,23.345235059857504,7.843891278398303,0.2676165230837199,148.4636774998762
1036,,,,,,,336,368,"[[226, 59, 305, 129]]",0.9044289044289044,0.825531914893617,1.0,0.825531914893617,1.0,0.9127659574468086,6.781152949374527,3.3349814910283335,-0.17446808510638298,148.4636774998762
1038,,,,,,,624,910,"[[153, 81, 889, 536]]",0.9582482270403309,0.9198431448961201,0.9453654698898584,0.9714869488205614,0.9483360893280445,0.9599115190743029,22.360679774997898,10.99585114403933,0.027631090581028292,148.4636774998762
1040,,,,,,,584,661,"[[290, 104, 623, 362]]",0.9585519643723268,0.9204030653287607,0.9754992147184205,0.9421835045291033,0.9948296270576538,0.9685065657933785,20.0,5.680219592941931,-0.03415247258700646,148.63823474979654
1042,,,,,,,548,806,"[[528, 156, 703, 333]]",0.9675972185403454,0.9372284111558821,0.9848076044996057,0.9509780343113676,0.9991217545711955,0.9750498944412815,6.0,2.6169814332149564,-0.034351451018117686,148.63823474979654
1044,,,,,,,492,743,"[[208, 70, 386, 236]]",0.9190027546933957,0.8501434750952932,0.974950884086444,0.8691273698498183,0.998511891735747,0.9338196307927826,19.0,6.213168055795968,-0.10854240553439293,148.63823474979654
1046,,,,,,,501,592,"[[309, 184, 415, 288]]",0.9256130948913613,0.8615267837779224,0.8949087632349628,0.9584992158282061,0.9967638213962394,0.9776315186122227,7.211102550927978,3.3835019024486237,0.07105802871275184,148.63823474979654
