epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.931,2.02952,2.92242,2.64353,1.51652,0.6944,0.60336,0.67995,0.29599,0.69987,0.59491,0.68482,0.25788,1.82662,2.57872,2.51777,1.38363,0.000551392,0.000551392,0.000551392
2,545.758,1.80278,2.45116,1.87134,1.38912,0.67939,0.70731,0.7596,0.35119,0.7647,0.64649,0.78378,0.35096,1.77324,2.21761,1.99521,1.38946,0.00108514,0.00108514,0.00108514
3,817.09,1.77769,2.45361,1.70856,1.35286,0.79203,0.67745,0.77599,0.35816,0.81862,0.68406,0.78315,0.34504,1.72523,2.21544,1.77973,1.37449,0.00159688,0.00159688,0.00159688
4,1080.78,1.74999,2.35948,1.60669,1.34831,0.78681,0.73468,0.83366,0.39744,0.78195,0.76469,0.84092,0.38285,1.54815,2.05855,1.47995,1.26278,0.00156798,0.00156798,0.00156798
5,1332.81,1.70484,2.26225,1.50413,1.31652,0.73665,0.77057,0.79977,0.42111,0.7384,0.76826,0.79639,0.34842,1.54989,2.26161,1.44168,1.2736,0.00153497,0.00153497,0.00153497
6,1610.25,1.6951,2.20903,1.39335,1.29138,0.89755,0.83971,0.91795,0.46676,0.88746,0.82627,0.90559,0.40372,1.5811,1.93261,1.28363,1.24727,0.00150197,0.00150197,0.00150197
7,1889.12,1.64209,2.19296,1.33461,1.27601,0.80341,0.76932,0.82639,0.41121,0.82838,0.76579,0.85014,0.36823,1.59474,2.14816,1.28936,1.2467,0.00146896,0.00146896,0.00146896
8,2162.19,1.61742,2.20974,1.27979,1.27391,0.83645,0.8803,0.91785,0.49534,0.83335,0.87493,0.90753,0.41648,1.51218,1.91093,1.25724,1.23597,0.00143595,0.00143595,0.00143595
9,2434.41,1.60847,2.13484,1.2273,1.25993,0.8776,0.89974,0.93578,0.50303,0.87152,0.89226,0.92721,0.43236,1.49468,1.92013,1.10714,1.22777,0.00140295,0.00140295,0.00140295
10,2704.8,1.58441,2.13093,1.19915,1.25814,0.87156,0.84448,0.92745,0.47507,0.87652,0.8548,0.93419,0.41104,1.56399,1.948,1.10649,1.26118,0.00136994,0.00136994,0.00136994
11,2977.87,1.59652,2.09846,1.16205,1.24596,0.78703,0.88509,0.92306,0.48576,0.79105,0.88378,0.92139,0.42462,1.52016,1.90151,1.16746,1.23679,0.00133693,0.00133693,0.00133693
12,3250.02,1.52488,2.08206,1.11447,1.21972,0.90191,0.90534,0.95118,0.5215,0.90693,0.90449,0.94837,0.43352,1.45517,1.87341,1.03052,1.21739,0.00130393,0.00130393,0.00130393
13,3523.38,1.53146,2.03785,1.09631,1.23735,0.86061,0.88593,0.93813,0.54751,0.86683,0.87036,0.93451,0.47179,1.43634,1.8502,0.97625,1.19551,0.00127092,0.00127092,0.00127092
14,3794.85,1.50305,2.02804,1.01632,1.19195,0.89651,0.88331,0.9521,0.53488,0.89504,0.87103,0.94468,0.46532,1.45373,1.87153,0.9878,1.1893,0.00123791,0.00123791,0.00123791
15,4066.86,1.48281,2.07128,1.03151,1.20262,0.87178,0.89246,0.93868,0.50543,0.87328,0.89136,0.94088,0.43877,1.50818,1.91194,1.0111,1.24571,0.00120491,0.00120491,0.00120491
16,4332.77,1.5291,2.04255,1.04011,1.22038,0.90942,0.93669,0.96659,0.54211,0.90708,0.93415,0.96452,0.47259,1.4934,1.9494,0.91662,1.19506,0.0011719,0.0011719,0.0011719
17,4600.53,1.50584,2.01841,1.01122,1.20291,0.9202,0.9116,0.96039,0.55111,0.93573,0.90534,0.96408,0.49353,1.4148,1.82846,0.92998,1.17456,0.00113889,0.00113889,0.00113889
18,4872.8,1.48567,2.00323,0.97755,1.18433,0.83871,0.91006,0.91611,0.4925,0.89738,0.87279,0.93377,0.46086,1.44984,1.86462,0.9645,1.20698,0.00110589,0.00110589,0.00110589
19,5145.37,1.47889,2.01984,1.01377,1.1932,0.91219,0.93669,0.96264,0.54469,0.92153,0.92032,0.96091,0.48542,1.42476,1.87982,0.88905,1.18233,0.00107288,0.00107288,0.00107288
20,5415.32,1.45941,1.97566,0.93022,1.1838,0.93415,0.92079,0.96982,0.58012,0.93642,0.92311,0.97042,0.50939,1.37301,1.86875,0.82204,1.14571,0.00103987,0.00103987,0.00103987
21,5679.49,1.43918,1.92552,0.92098,1.17186,0.92388,0.92322,0.97042,0.55692,0.9336,0.91259,0.96407,0.49755,1.39016,1.7876,0.87684,1.16013,0.00100687,0.00100687,0.00100687
22,5947.27,1.45075,1.95701,0.935,1.19428,0.92159,0.9418,0.9712,0.5613,0.92159,0.9418,0.97049,0.50331,1.41425,1.81585,0.85866,1.18504,0.000973861,0.000973861,0.000973861
23,6217.71,1.42798,1.92352,0.9161,1.16858,0.96739,0.89186,0.97249,0.57615,0.95148,0.90018,0.97025,0.49363,1.38816,1.86299,0.84048,1.15914,0.000940855,0.000940855,0.000940855
24,6481.64,1.4243,1.93466,0.89956,1.1677,0.93735,0.91198,0.96767,0.56846,0.93926,0.90916,0.96732,0.49379,1.38158,1.82376,0.85344,1.16071,0.000907848,0.000907848,0.000907848
25,6744.88,1.41141,1.91811,0.90163,1.15225,0.94323,0.88175,0.96802,0.59679,0.9456,0.88406,0.96829,0.51821,1.34378,1.78557,0.81976,1.14312,0.000874842,0.000874842,0.000874842
26,7012.07,1.40612,1.93309,0.86591,1.15068,0.95393,0.92026,0.9721,0.56952,0.95378,0.92004,0.97233,0.51472,1.40263,1.77345,0.81271,1.15843,0.000841835,0.000841835,0.000841835
27,7281.54,1.41551,1.9097,0.85967,1.15719,0.93247,0.94953,0.97546,0.59043,0.93247,0.94953,0.97546,0.4914,1.35719,1.85033,0.78642,1.14837,0.000808828,0.000808828,0.000808828
28,7549.75,1.40623,1.90386,0.84771,1.15513,0.95245,0.93433,0.9727,0.57473,0.95251,0.93558,0.97256,0.50177,1.39646,1.85553,0.79937,1.17739,0.000775822,0.000775822,0.000775822
29,7818.76,1.38209,1.85366,0.83881,1.15317,0.92603,0.93923,0.97261,0.60296,0.92879,0.94639,0.97456,0.5176,1.31236,1.78304,0.79482,1.14009,0.000742815,0.000742815,0.000742815
30,8087.92,1.36259,1.84507,0.82005,1.13396,0.95529,0.95372,0.97698,0.60832,0.95529,0.95372,0.97684,0.54068,1.34136,1.72909,0.74763,1.13595,0.000709809,0.000709809,0.000709809
31,8353.1,1.34825,1.81869,0.82003,1.1154,0.95641,0.93027,0.9748,0.60884,0.95912,0.93281,0.97754,0.53777,1.30151,1.76822,0.76315,1.11429,0.000676802,0.000676802,0.000676802
32,8618.24,1.34005,1.80681,0.80237,1.11927,0.96091,0.94717,0.98134,0.59672,0.96091,0.94717,0.98134,0.52633,1.32717,1.81198,0.74366,1.12622,0.000643795,0.000643795,0.000643795
33,8887.16,1.32798,1.82809,0.79769,1.12155,0.947,0.95095,0.98217,0.63209,0.947,0.95095,0.98217,0.54973,1.30633,1.74007,0.7177,1.11074,0.000610789,0.000610789,0.000610789
34,9155.37,1.32235,1.80287,0.77422,1.1098,0.95692,0.93082,0.97992,0.61088,0.95933,0.93314,0.97936,0.53732,1.32858,1.75064,0.75066,1.13412,0.000577782,0.000577782,0.000577782
35,9420.65,1.32035,1.80087,0.77361,1.11199,0.96701,0.94386,0.98324,0.6141,0.96701,0.94386,0.98343,0.53777,1.2942,1.73169,0.71243,1.11971,0.000544776,0.000544776,0.000544776
36,9687.82,1.32619,1.81329,0.77581,1.1178,0.9558,0.94984,0.98578,0.61613,0.95324,0.9473,0.98481,0.55714,1.28971,1.70106,0.71826,1.12088,0.000511769,0.000511769,0.000511769
37,9955.69,1.30576,1.77407,0.75679,1.10995,0.95712,0.93735,0.98247,0.62858,0.96101,0.93875,0.98539,0.54665,1.27167,1.7591,0.69001,1.09534,0.000478762,0.000478762,0.000478762
38,10223.4,1.29717,1.77227,0.74557,1.09931,0.96213,0.93668,0.98205,0.61859,0.96472,0.93922,0.98375,0.53773,1.3233,1.73052,0.69834,1.12243,0.000445756,0.000445756,0.000445756
39,10489.6,1.27373,1.7406,0.72813,1.08686,0.95214,0.94154,0.98234,0.62596,0.95214,0.94154,0.98234,0.55075,1.28154,1.73163,0.69795,1.10379,0.000412749,0.000412749,0.000412749
40,10754.8,1.26911,1.78494,0.74678,1.09107,0.95059,0.94393,0.98241,0.63082,0.95059,0.94393,0.98333,0.55564,1.31635,1.71688,0.69686,1.10547,0.000379743,0.000379743,0.000379743
41,11027.3,1.26216,1.68481,0.70665,1.08843,0.96272,0.94316,0.98259,0.62471,0.96002,0.94062,0.98278,0.5458,1.29241,1.70563,0.68973,1.10205,0.000346736,0.000346736,0.000346736
42,11298,1.21483,1.60682,0.65892,1.06614,0.97705,0.95132,0.98497,0.63569,0.97707,0.95232,0.98552,0.54902,1.28672,1.69534,0.67084,1.09606,0.000313729,0.000313729,0.000313729
43,11578.3,1.20291,1.61092,0.63704,1.05313,0.97385,0.94356,0.98576,0.63285,0.97385,0.94356,0.98656,0.55227,1.29571,1.68595,0.67835,1.10858,0.000280723,0.000280723,0.000280723
44,11850.4,1.19106,1.59149,0.63528,1.05867,0.97197,0.95819,0.98669,0.63327,0.97197,0.95819,0.98669,0.55158,1.24699,1.67477,0.66809,1.0919,0.000247716,0.000247716,0.000247716
45,12120.3,1.15827,1.58499,0.62262,1.03811,0.96016,0.95213,0.98258,0.63126,0.96016,0.95213,0.98375,0.55884,1.27057,1.67406,0.67394,1.1065,0.00021471,0.00021471,0.00021471
46,12396.3,1.16211,1.57634,0.61316,1.04449,0.95837,0.95279,0.98657,0.6288,0.95837,0.95279,0.98657,0.54955,1.26234,1.68126,0.65321,1.09689,0.000181703,0.000181703,0.000181703
47,12672.7,1.15686,1.56574,0.61061,1.03628,0.96668,0.95443,0.98857,0.64548,0.96668,0.95443,0.98857,0.56693,1.24706,1.65568,0.63689,1.08312,0.000148696,0.000148696,0.000148696
48,12947.8,1.15541,1.54788,0.59599,1.03623,0.96716,0.93943,0.9868,0.65234,0.96716,0.93943,0.9868,0.56601,1.23521,1.64726,0.62908,1.08377,0.00011569,0.00011569,0.00011569
